rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss
97.23809523809524,-160.22418338095235,0,2242,2048,1,,,,,,,,,,
98.09756097560975,-156.01771907317072,2,1690,4096,2,-0.005958676338195801,-0.004847531848645304,1922.3137409210206,0.00703125,1380.1751708984375,0.0061206687,0.0003,10,0.2,-1.383751718327403
96.53968253968254,-161.43468044444444,3,1576,6144,3,-0.032540082931518555,-0.008910177410871255,1067.3502561569214,0.05029296875,569.6915283203125,0.008510677,0.0003,20,0.2,-1.3731553964316845
97.90361445783132,-159.77723133734938,5,1522,8192,4,-0.0018624067306518555,-0.009422922302474036,994.477281665802,0.056005859375,211.28736877441406,0.009281447,0.0003,30,0.2,-1.3605358127504588
99.24,-161.09928044,6,1490,10240,5,-0.0007892847061157227,-0.008025033539888681,668.9694136142731,0.111376953125,338.1906433105469,0.013087455,0.0003,40,0.2,-1.3432799626141787
101.84,-156.56404265999998,8,1468,12288,6,-0.0024220943450927734,-0.003973937267437578,417.96850509643554,0.056005859375,188.4837188720703,0.008358538,0.0003,50,0.2,-1.333225143700838
105.94,-156.14496545,9,1449,14336,7,-0.06111443042755127,-0.011515482702088775,862.4757931709289,0.102685546875,730.135986328125,0.009903926,0.0003,60,0.2,-1.3189890589565039
114.22,-154.72723524,11,1429,16384,8,-0.004713773727416992,-0.005393495758471545,570.1617738723755,0.0791015625,211.81707763671875,0.00700699,0.0003,70,0.2,-1.2838248781859876
119.01,-148.48485878,13,1412,18432,9,-5.435943603515625e-05,-0.012862374435644596,318.60736684799195,0.10966796875,144.69342041015625,0.0109052025,0.0003,80,0.2,-1.2954731862992048
126.58,-144.54963483999998,14,1395,20480,10,-0.0008519887924194336,-0.007988930988358334,476.83033404350283,0.0396484375,251.7037353515625,0.007151378,0.0003,90,0.2,-1.2305849570780993
132.52,-137.02008060999998,16,1385,22528,11,-4.1604042053222656e-05,-0.007103689226642018,403.7104917049408,0.092431640625,218.07669067382812,0.007788806,0.0003,100,0.2,-1.2009117357432841
