rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl
90.5909090909091,0,2048,-161.09463877272728,2317,1,,,,,,,,,,
94.55813953488372,2,4096,-151.54512702325582,1642,2,10,-1.382338335365057,0.03720703125,2150.7858016967775,967.3887939453125,0.007110178470611572,0.0003,0.2,-0.007535669398203026,0.006784491
93.36923076923077,4,6144,-157.79063033846154,1520,3,20,-1.3775860849767922,0.035009765625,1807.392393875122,679.2968139648438,-0.016623258590698242,0.0003,0.2,-0.005258563478128054,0.0069772135
93.45977011494253,5,8192,-160.1396961264368,1454,4,30,-1.3719619318842888,0.02177734375,1220.679405927658,497.8001403808594,-0.14503955841064453,0.0003,0.2,-0.005143643783958396,0.009426829
95.03,7,10240,-159.63079820999997,1432,5,40,-1.3410943865776062,0.023828125,1057.6144839286803,504.7115783691406,-0.002190828323364258,0.0003,0.2,-0.00645310709514888,0.007023165
99.63,8,12288,-165.15158406999998,1415,6,50,-1.3446271169930697,0.05185546875,881.8255556583405,292.09796142578125,-0.00502169132232666,0.0003,0.2,-0.006171209605963668,0.009893915
104.61,10,14336,-168.2435701,1396,7,60,-1.3181245353072881,0.09013671875,664.9940585613251,157.26907348632812,-0.016368389129638672,0.0003,0.2,-0.0044432654445699885,0.010206266
108.4,11,16384,-160.16959406,1385,8,70,-1.301072706654668,0.035791015625,771.1403772354126,208.73361206054688,0.00037407875061035156,0.0003,0.2,-0.004569886532408418,0.005081788
112.73,13,18432,-154.83023804,1377,9,80,-1.2624409705400468,0.123486328125,476.2155101776123,331.7243957519531,-0.00631868839263916,0.0003,0.2,-0.010208852811774704,0.013899125
120.98,14,20480,-153.69657515,1365,10,90,-1.2721712779253722,0.051806640625,715.0010924339294,267.93377685546875,-0.002779722213745117,0.0003,0.2,-0.006139311219158117,0.011336644
124.89,16,22528,-146.74897249,1352,11,100,-1.2600398622453213,0.058740234375,503.8381395816803,194.4035186767578,0.0012743473052978516,0.0003,0.2,-0.00935297661126242,0.0085092615
127.77,18,24576,-145.19182977,1344,12,110,-1.2337316066026687,0.007470703125,417.08924398422243,160.34939575195312,0.02017444372177124,0.0003,0.2,-0.003267321817111224,0.0051771645
133.63,19,26624,-140.98070995,1340,13,120,-1.1684577599167825,0.1369140625,432.7592813491821,639.9329833984375,0.03876495361328125,0.0003,0.2,-0.009366789930209053,0.013572338
138.5,21,28672,-140.2869059,1328,14,130,-1.1828668806701899,0.082958984375,430.00766298770907,260.3744812011719,0.026828229427337646,0.0003,0.2,-0.007692783561651595,0.011342234
149.79,23,30720,-137.87461784,1315,15,140,-1.1382846836000682,0.050927734375,276.9892503976822,103.33748626708984,0.11019778251647949,0.0003,0.2,-0.009705611057870555,0.008858545
165.34,26,32768,-134.2498891,1242,16,150,-1.1352045692503452,0.0525390625,304.38695220947267,303.8988037109375,0.12622135877609253,0.0003,0.2,-0.010843332565855235,0.008218667
176.41,28,34816,-132.5519559,1229,17,160,-1.155713427066803,0.0181640625,249.506374669075,81.07750701904297,0.12119215726852417,0.0003,0.2,-0.004267368072760291,0.005684154
187.6,31,36864,-131.66655708,1171,18,170,-1.1005639903247357,0.10810546875,333.8484627723694,222.7263641357422,0.12486952543258667,0.0003,0.2,-0.010702746715105604,0.009207253
