time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/entropy_loss
2282,2048,1,-173.18564308695656,88.26086956521739,0,,,,,,,,,,
1731,4096,2,-177.10217647826087,87.82608695652173,2,525.6078491210938,0.005461692810058594,0.0057440316,0.0003,-0.006290911910764407,10,0.017919921875,1668.967102432251,0.2,-1.3834121078252792
1589,6144,3,-174.63337973529408,90.32352941176471,3,712.358154296875,0.004476189613342285,0.008997535,0.0003,-0.0061284574825549495,20,0.02509765625,1193.1355748176575,0.2,-1.3766231395304203
1534,8192,4,-170.01562286363637,93.0,5,481.7455139160156,-0.015030622482299805,0.0062907496,0.0003,-0.007564282540988643,30,0.045458984375,792.0083563804626,0.2,-1.3710184652358293
1503,10240,5,-161.97483632,94.68,6,520.2543334960938,-0.0003790855407714844,0.014599672,0.0003,-0.011510979554441293,40,0.176904296875,633.355983543396,0.2,-1.3427876882255076
1478,12288,6,-163.20967515,101.36,8,264.5524597167969,-0.034940481185913086,0.016309304,0.0003,-0.011519488095655107,50,0.143994140625,879.8018497943879,0.2,-1.3337146434932947
1461,14336,7,-158.68921397,108.34,9,197.968994140625,0.0019480586051940918,0.005197068,0.0003,-0.0035559609430492857,60,0.02666015625,583.7992359161377,0.2,-1.316842932999134
1436,16384,8,-154.29574646999998,115.73,11,322.00384521484375,0.01152724027633667,0.0044632293,0.0003,-0.005643673155282159,70,0.018212890625,644.7689452648162,0.2,-1.30115614682436
1421,18432,9,-151.73547491000002,118.54,12,105.58538818359375,0.008198976516723633,0.008165469,0.0003,-0.008698883744364139,80,0.05673828125,504.87104868888855,0.2,-1.2982418965548277
1405,20480,10,-150.79793113000002,121.18,14,183.7281036376953,0.13178956508636475,0.0059232577,0.0003,-0.00606965212864452,90,0.04609375,487.16866688728334,0.2,-1.2660376608371735
1391,22528,11,-150.35511601,127.56,16,199.9355010986328,-0.3389933109283447,0.008610539,0.0003,-0.008421398964128458,100,0.03701171875,483.93721413612366,0.2,-1.230940703675151
1360,24576,12,-146.34756102,132.76,18,248.43312072753906,0.08119142055511475,0.015425419,0.0003,-0.015389391245116712,110,0.127783203125,398.9445106983185,0.2,-1.1802328929305077
1333,26624,13,-144.66301077999998,142.7,19,81.27047729492188,0.17583578824996948,0.017041856,0.0003,-0.012689716661407146,120,0.146240234375,335.8781245470047,0.2,-1.1095174476504326
1318,28672,14,-142.50166892999997,151.39,21,155.09866333007812,0.18591821193695068,0.007442629,0.0003,-0.009478386989212596,130,0.070556640625,443.2854681491852,0.2,-1.1031013745814562
1314,30720,15,-139.03145131,157.31,23,130.4398193359375,0.2273288369178772,0.00966272,0.0003,-0.009343197429552674,140,0.106103515625,415.43693323135375,0.2,-1.1310855682939291
