time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates
2048,0,-157.34217585714288,2279,1,96.0952380952381,,,,,,,,,,
4096,2,-162.95875313636364,1688,2,91.43181818181819,0.04912109375,-1.3816059295088052,0.2,1751.4266574859619,824.6666259765625,-0.00786853184836218,-0.00623011589050293,0.009368533,0.0003,10
6144,3,-160.9655955076923,1544,3,92.50769230769231,0.063916015625,-1.3697264831513167,0.2,992.9081444740295,223.92433166503906,-0.008882289440953173,-0.02819228172302246,0.009750286,0.0003,20
8192,5,-160.63798389285716,1480,4,96.33333333333333,0.020654296875,-1.3581835329532623,0.2,890.7349589347839,237.7201385498047,-0.005981117706687656,-0.004950761795043945,0.006740698,0.0003,30
10240,7,-162.04344752999998,1440,5,99.19,0.0380859375,-1.3528659354895354,0.2,600.2041592597961,314.9833679199219,-0.004706663267279509,-0.05345463752746582,0.009997157,0.0003,40
12288,8,-158.97756758000003,1423,6,101.66,0.019189453125,-1.320251962542534,0.2,607.0897214412689,721.0950317382812,-0.0025902767221850807,-0.002600550651550293,0.0056539983,0.0003,50
14336,10,-154.83134719,1405,7,108.53,0.096142578125,-1.290175300091505,0.2,504.7266409397125,215.82679748535156,-0.009441124390286859,-0.0001837015151977539,0.009311034,0.0003,60
16384,11,-153.01723006999998,1390,8,113.78,0.071337890625,-1.253338123485446,0.2,415.6259958744049,146.04701232910156,-0.00795340198383201,0.0006314516067504883,0.0118293585,0.0003,70
18432,13,-148.90836077000003,1375,9,124.79,0.131787109375,-1.1437303684651852,0.2,383.0587277889252,234.56362915039062,-0.013366489503823686,0.020001888275146484,0.0131762205,0.0003,80
20480,15,-147.99701227000003,1363,10,131.12,0.0255859375,-1.1665043342858552,0.2,567.6123313903809,245.0464630126953,-0.0034088612810592167,0.043796420097351074,0.0039523495,0.0003,90
22528,17,-141.42466606,1288,11,144.73,0.031494140625,-1.1498062644153833,0.2,428.6679729938507,337.3989562988281,-0.00590327495301608,0.09598195552825928,0.0052829236,0.0003,100
24576,19,-136.13084397000003,1288,12,151.19,0.018359375,-1.233129595965147,0.2,281.2204932808876,208.6006317138672,-0.003899516089586541,0.11663991212844849,0.0056196777,0.0003,110
26624,21,-134.28976497999997,1212,13,162.84,0.03779296875,-1.1078601725399495,0.2,490.57768921852113,146.85780334472656,-0.006999862041266169,0.06885266304016113,0.005698577,0.0003,120
28672,24,-129.66052606,1177,14,177.54,0.043408203125,-1.1841369956731795,0.2,197.13250156641007,53.381980895996094,-0.006357840120472247,0.3520169258117676,0.009028086,0.0003,130
