time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,train/value_loss,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction,train/policy_gradient_loss
2048,0,-152.3638885,1,2318,90.54545454545455,,,,,,,,,,
4096,2,-153.8837298372093,2,1741,92.65116279069767,1545.9160362243651,0.2,0.0003,0.0022510290145874023,-1.3816270008683205,0.010843204,10,401.29888916015625,0.027197265625,-0.006480534201546107
6144,3,-150.80158198412698,3,1598,97.23809523809524,1995.8164670944213,0.2,0.0003,-0.04549884796142578,-1.3655401438474655,0.008933712,20,647.8905639648438,0.038818359375,-0.006726523672114126
8192,5,-147.0917172195122,4,1504,98.71951219512195,1193.4505865097046,0.2,0.0003,-0.00044608116149902344,-1.3566524628549814,0.006218951,30,380.2701721191406,0.028125,-0.004749056044965982
10240,7,-148.44762578,5,1453,100.88,791.9601423740387,0.2,0.0003,-0.0006105899810791016,-1.3343901973217727,0.0070151025,40,388.9694519042969,0.144091796875,-0.010450498305726797
12288,8,-145.10606534,6,1409,106.55,746.4503467559814,0.2,0.0003,-0.008619427680969238,-1.2932497043162585,0.014893623,50,353.47625732421875,0.134130859375,-0.007824311451986431
14336,11,-139.32391173999997,7,1234,117.79,824.6833372116089,0.2,0.0003,-0.0008943080902099609,-1.2933202661573886,0.005135133,60,358.5386962890625,0.004736328125,-0.003129367376823211
16384,13,-138.51973730999998,8,1231,123.02,367.8127331972122,0.2,0.0003,0.017128944396972656,-1.3070834189653397,0.0015955959,70,70.15921020507812,0.0005859375,-0.0022337859008985106
18432,15,-139.32080476,9,1228,128.44,389.43068199157716,0.2,0.0003,-0.015160918235778809,-1.2124723494052887,0.012050822,80,205.35118103027344,0.140185546875,-0.008243160738493316
20480,16,-133.14826975000003,10,1229,133.58,600.807290315628,0.2,0.0003,-0.0007799863815307617,-1.2323839984834195,0.0051616803,90,146.19300842285156,0.03466796875,-0.004405304661486298
22528,18,-132.59464995,11,1220,141.92,480.16220326423644,0.2,0.0003,-0.0007169246673583984,-1.2136440712958574,0.0051844865,100,171.04527282714844,0.066064453125,-0.005711061931651784
24576,20,-128.49989496,12,1218,146.71,602.8171843528747,0.2,0.0003,-0.059098124504089355,-1.2228659629821776,0.014603303,110,380.7321472167969,0.05,-0.006608113494439749
26624,21,-129.2767121,13,1210,153.55,638.2866795539856,0.2,0.0003,-0.00046837329864501953,-1.1502732876688242,0.009861436,120,330.53594970703125,0.10732421875,-0.010617649595224066
28672,24,-124.45263730999999,14,1158,166.5,513.9706847190857,0.2,0.0003,-1.2636184692382812e-05,-1.1600002072751523,0.004412494,130,161.1863555908203,0.02646484375,-0.0059764011952211146
30720,27,-120.69137183999999,15,1130,180.57,338.1215605735779,0.2,0.0003,0.0004379153251647949,-1.2432855375111103,0.0051814136,140,212.63018798828125,0.01240234375,-0.002985327145870542
32768,28,-123.16393803000001,16,1131,178.1,284.8251506090164,0.2,0.0003,6.872415542602539e-05,-1.233818396553397,0.0059318747,150,67.57225036621094,0.024853515625,-0.005232899347902276
34816,31,-121.23154485,17,1104,189.19,530.7060754776,0.2,0.0003,-0.002822399139404297,-1.138261977955699,0.007003884,160,451.7035217285156,0.052880859375,-0.007980043085990474
36864,33,-121.24216977,18,1110,198.03,428.5168313026428,0.2,0.0003,0.0006170868873596191,-1.1995736859738826,0.007324791,170,99.29215240478516,0.019775390625,-0.005008436643402092
38912,35,-118.00680408999999,19,1103,209.72,421.0247453689575,0.2,0.0003,-0.0019502639770507812,-1.1278694424778224,0.012988566,180,121.05842590332031,0.10390625,-0.010412705548515078
40960,37,-115.27258473,20,1081,218.4,393.3479168891907,0.2,0.0003,0.017762303352355957,-1.1494124609977008,0.0061001424,190,180.44020080566406,0.02470703125,-0.006632037543022306
43008,40,-115.16057803,21,1070,232.14,274.9466574192047,0.2,0.0003,0.021838843822479248,-1.2097048938274384,0.008675143,200,116.62284088134766,0.03642578125,-0.005517969178617932
45056,42,-110.81759205000002,22,1050,254.01,388.44689972400664,0.2,0.0003,-0.272924542427063,-1.1220808017998933,0.005996321,210,416.08245849609375,0.018896484375,-0.005249306992482161
47104,45,-110.33872208999999,23,1029,267.4,284.7619401216507,0.2,0.0003,-0.01899433135986328,-1.1155609760433436,0.0055531585,220,64.44573211669922,0.01494140625,-0.00549032886265195
49152,48,-109.53252100000002,24,1018,277.36,142.11086958646774,0.2,0.0003,-0.0334850549697876,-1.1227344814687967,0.009058781,230,53.13951873779297,0.14775390625,-0.012116917554521933
51200,52,-106.85615505999998,25,984,295.71,343.25166580677035,0.2,0.0003,-0.04098379611968994,-1.0520135905593633,0.005629358,240,69.26882934570312,0.047314453125,-0.006675426832225639
53248,54,-105.06951599,26,969,310.41,122.21852313280105,0.2,0.0003,0.09297960996627808,-1.1675676509737969,0.008453943,250,29.049211502075195,0.1029296875,-0.013025165523140458
55296,58,-104.53270479000001,27,945,325.5,148.32000275850297,0.2,0.0003,0.12695753574371338,-1.0776745330542326,0.008169809,260,35.148406982421875,0.124365234375,-0.008238397199602333
57344,62,-100.63524249999999,28,924,343.28,93.21412981152534,0.2,0.0003,0.1741754412651062,-1.080392612889409,0.006915882,270,15.098529815673828,0.0541015625,-0.004842959823145065
59392,65,-99.01620734999999,29,904,360.63,107.80693994760513,0.2,0.0003,0.23120778799057007,-1.0713650397956371,0.006630231,280,36.9911994934082,0.050048828125,-0.0059619417101202995
61440,69,-97.21917734,30,883,377.26,86.7682440906763,0.2,0.0003,0.4781697988510132,-1.1340809281915427,0.0065360186,290,9.654129981994629,0.04423828125,-0.004249525249178987
63488,73,-94.13430279000002,31,866,396.26,64.6603883087635,0.2,0.0003,0.4139717221260071,-1.0682688280940056,0.004244631,300,11.610038757324219,0.0423828125,-0.0028065812992281282
65536,76,-91.77461433,32,856,413.03,129.90071501135827,0.2,0.0003,0.24220532178878784,-1.1053315702825786,0.011079041,310,25.598054885864258,0.0994140625,-0.004591109209286515
67584,81,-87.60691618000001,33,833,430.28,225.57881537675857,0.2,0.0003,0.043354153633117676,-1.0250939324498176,0.0047634,320,96.64122772216797,0.01279296875,-0.0035480244761856737
69632,85,-83.2414911,34,819,442.81,66.81360327005386,0.2,0.0003,0.37178128957748413,-1.13300163410604,0.010150217,330,13.562661170959473,0.13291015625,-0.007349346640694421
71680,87,-81.66688404,35,814,462.15,119.93016213178635,0.2,0.0003,0.3680729269981384,-1.035276428796351,0.008916653,340,9.607919692993164,0.078759765625,-0.008930449157924158
73728,91,-80.59131733999999,36,804,478.42,177.56273970901967,0.2,0.0003,0.14678668975830078,-0.9506481183692813,0.0067048534,350,20.789113998413086,0.0412109375,-0.004336770832014736
75776,96,-79.21765434,37,784,489.65,54.47214977741241,0.2,0.0003,0.5285099148750305,-0.8961906369775534,0.0050476007,360,7.048581600189209,0.037158203125,-0.002997017026791582
77824,100,-73.03355929,38,772,513.89,83.98100169599056,0.2,0.0003,0.48079752922058105,-1.036356900073588,0.006364433,370,6.324135780334473,0.0337890625,-0.0022725397553585935
79872,104,-74.02667779999999,39,762,530.23,61.55915130600333,0.2,0.0003,0.5721727907657623,-1.0451508577913047,0.013237813,380,6.967065811157227,0.089111328125,-0.0020454529963899403
81920,108,-74.4494752,40,758,536.46,23.259464472532272,0.2,0.0003,0.45335596799850464,-1.1197569601237773,0.012781285,390,6.110138893127441,0.1828125,-0.013332227709179278
83968,112,-71.66450178,41,747,552.12,190.77177746593952,0.2,0.0003,0.2794116735458374,-1.0026767918840052,0.004575898,400,75.96198272705078,0.058154296875,-0.0019086127056652912
86016,115,-71.18657015,42,741,562.81,50.07927120402455,0.2,0.0003,0.7501632422208786,-0.999542829208076,0.007114898,410,6.791044235229492,0.10263671875,-0.00504375180171337
88064,119,-69.35251801,43,738,572.28,122.11491423249245,0.2,0.0003,0.313456654548645,-1.0534528786316515,0.004109852,420,5.7833027839660645,0.03837890625,-0.0017539491382194683
90112,122,-64.51280383,44,736,585.01,162.0151126086712,0.2,0.0003,0.5233018696308136,-0.984141081944108,0.0027932446,430,10.74966812133789,0.019873046875,-0.0034552175115095452
92160,125,-63.80682393,45,731,601.61,100.32130436599255,0.2,0.0003,0.6093407273292542,-0.9659814039245248,0.0076697636,440,36.11771011352539,0.06005859375,-0.003520839271368459
94208,128,-62.001282780000004,46,732,622.03,61.15990950912237,0.2,0.0003,0.7361165583133698,-1.0353905254974962,0.00834728,450,4.697393417358398,0.12373046875,-0.004755309238680639
96256,132,-55.544649840000005,47,725,637.07,112.14868629127741,0.2,0.0003,0.6271827816963196,-1.0595568707212806,0.007560022,460,6.396977424621582,0.048193359375,-0.0044574860043212535
98304,137,-52.21384679,48,717,654.33,123.8819340467453,0.2,0.0003,0.4603812098503113,-0.9154218371957541,0.004143717,470,37.56166076660156,0.027197265625,-0.0024407091288594527
100352,140,-50.49652106999999,49,713,670.19,48.80936494544149,0.2,0.0003,0.6910527944564819,-1.0555879319086672,0.018507574,480,4.215207576751709,0.1666015625,-0.006124072003876791
102400,145,-49.17512839,50,705,678.22,38.44562771692872,0.2,0.0003,0.7058497667312622,-1.0422143153846264,0.010014442,490,2.716491222381592,0.13427734375,-0.003975816123420373
104448,148,-44.234340949999996,51,702,693.4,44.784315722063184,0.2,0.0003,0.7497508525848389,-1.0102809661999346,0.011698629,500,385.23291015625,0.108837890625,-0.006759553077426972
106496,151,-38.78778147,52,702,704.61,162.68415423482656,0.2,0.0003,0.4368897080421448,-0.9468388034030795,0.0069039785,510,175.65792846679688,0.04541015625,-0.0012863224608736345
108544,154,-34.61412558999999,53,701,721.35,62.23491508811712,0.2,0.0003,0.5957236886024475,-0.9645140811800956,0.0055883415,520,21.244150161743164,0.044287109375,-0.0015151534527831246
110592,158,-33.42579496,54,697,731.56,125.81553596556186,0.2,0.0003,0.40804845094680786,-0.8488954920321703,0.008881341,530,56.58971405029297,0.1123046875,-0.0055625687484280205
112640,161,-29.704664760000004,55,698,749.96,98.82152358368039,0.2,0.0003,0.5131332874298096,-1.010272178798914,0.0082469685,540,3.2761144638061523,0.056005859375,-0.0015729914106486832
114688,165,-29.078905680000002,56,693,753.09,72.22416907846927,0.2,0.0003,0.42503786087036133,-0.9522079413756728,0.0052301614,550,5.135020732879639,0.029638671875,-0.0022322547913063316
116736,167,-27.17740632,57,695,772.23,86.10808172821999,0.2,0.0003,0.48757851123809814,-1.0101950075477362,0.004822662,560,34.28271484375,0.03701171875,-0.002568760101712542
118784,171,-25.842862189999995,58,693,782.88,71.66728433966637,0.2,0.0003,0.5931970179080963,-1.0207303451374172,0.006747313,570,166.39112854003906,0.09189453125,-0.004555374910705723
120832,174,-21.721683009999996,59,693,784.85,101.57016005069018,0.2,0.0003,0.5313516557216644,-1.006757469289005,0.005553049,580,29.5491886138916,0.038427734375,-0.0024300689288793364
122880,177,-18.15220909,60,693,798.36,76.61835240870714,0.2,0.0003,0.5557507276535034,-0.9810356866568327,0.006534445,590,7.651584148406982,0.074853515625,-0.003067405996989692
124928,180,-21.17908772,61,693,798.36,51.62444991692901,0.2,0.0003,0.5259509384632111,-1.0157958682626487,0.007630332,600,5.609283924102783,0.12021484375,-0.003732937341555953
126976,183,-19.30921685,62,690,810.45,28.788077598810197,0.2,0.0003,0.6561157405376434,-0.9840439597144723,0.0042883493,610,2.7609500885009766,0.057421875,0.0005536244192626327
129024,186,-14.297419239999995,63,691,816.97,25.80488478243351,0.2,0.0003,0.7755228579044342,-1.0143892008811235,0.007358176,620,2.88329815864563,0.06669921875,-0.003967323192046024
131072,189,-13.333148329999997,64,690,826.75,119.36749780476093,0.2,0.0003,0.5907607674598694,-0.9531089199706912,0.004679812,630,3.1569223403930664,0.030712890625,-0.00149573760900239
133120,192,-9.943955120000002,65,690,829.66,56.95060411393642,0.2,0.0003,0.5888744294643402,-0.9232538698241115,0.004592359,640,4.017813205718994,0.021044921875,-0.0007605282527947566
135168,196,-9.421335590000002,66,688,823.32,162.16571268141269,0.2,0.0003,0.45388472080230713,-0.8890376802533865,0.00281586,650,140.7577667236328,0.0126953125,-0.0013151753661077236
137216,199,-7.383672710000002,67,686,823.95,110.24147605150938,0.2,0.0003,0.49965351819992065,-0.9448184510692954,0.00229466,660,5.11801815032959,0.014697265625,-0.000885392740383395
139264,202,-7.458779840000003,68,687,823.95,55.02301482260227,0.2,0.0003,0.6945933401584625,-0.9132488800212741,0.008438353,670,4.165212154388428,0.07490234375,-0.002013062924379483
141312,206,-7.5734576500000035,69,684,818.37,35.279220414161685,0.2,0.0003,0.8680848479270935,-0.8883724933490157,0.011181226,680,6.583862781524658,0.17470703125,-0.0013059013930615039
143360,209,-8.90611065,70,683,811.59,66.91300117522478,0.2,0.0003,0.5743559896945953,-0.8628786398097873,0.0049813157,690,6.521113872528076,0.023388671875,-0.0005792599542473909
145408,213,-8.51015026,71,682,816.63,64.46021198406815,0.2,0.0003,0.7409996092319489,-0.880727469176054,0.01290586,700,7.531385898590088,0.071875,-0.003950506394539843
147456,215,-8.13302903,72,683,819.43,82.8157097041607,0.2,0.0003,0.4763423204421997,-1.012851094827056,0.019413445,710,85.216064453125,0.1921875,-0.0030877326280460693
149504,220,-7.770781240000002,73,679,819.43,44.871418848633766,0.2,0.0003,0.777254194021225,-0.963711011596024,0.0045469142,720,61.592613220214844,0.065283203125,-0.001785772452421952
151552,223,-6.664660680000002,74,676,823.38,37.54324676021933,0.2,0.0003,0.6628757119178772,-0.9498994465917349,0.011396177,730,208.0612030029297,0.12861328125,-0.0023738050513202325
153600,228,-8.017853890000001,75,673,824.87,25.682744114100934,0.2,0.0003,0.8194515705108643,-0.9572537861764431,0.012871706,740,1.7440593242645264,0.114013671875,-0.0030215889513783623
155648,231,-6.010364209999999,76,672,823.62,33.36130952462554,0.2,0.0003,0.7313038110733032,-0.9795266102999449,0.0084585175,750,1.998764157295227,0.092578125,-0.0029338420936255716
157696,234,-5.56086367,77,671,828.03,94.67377317994833,0.2,0.0003,0.6085683107376099,-0.847482324205339,0.0065045715,760,27.17669677734375,0.05517578125,-0.0019971101828559767
159744,238,-4.5904789599999996,78,669,828.03,15.524502312391997,0.2,0.0003,0.8594038039445877,-0.9929018361493945,0.010388983,770,3.0732955932617188,0.107421875,-0.005133384079817916
161792,241,-3.998654619999999,79,670,822.98,52.099639025330546,0.2,0.0003,0.582294225692749,-0.9517259201034903,0.0046238983,780,3.522714853286743,0.047216796875,-0.0010772605543024837
163840,245,-3.3953340300000003,80,666,826.55,91.92667464315892,0.2,0.0003,0.5608400404453278,-0.8323065577074885,0.006235404,790,147.0203399658203,0.051953125,-0.002600662122858921
165888,250,-0.18738850999999898,81,662,832.83,25.89267897605896,0.2,0.0003,0.8022744506597519,-0.9654872387647628,0.012767395,800,2.0150234699249268,0.15595703125,-0.010144231430604122
167936,252,-3.937177929999999,82,665,824.09,49.0909023180604,0.2,0.0003,0.6502568423748016,-0.9335572488605977,0.005851102,810,1.8176329135894775,0.087060546875,-0.0017868327726318967
169984,255,-1.8047882899999994,83,665,826.81,208.9843619585037,0.2,0.0003,0.46296823024749756,-0.8883258663117886,0.0044743177,820,57.388248443603516,0.02099609375,-0.0016957817628281192
172032,258,-0.3275474899999998,84,666,823.79,20.4216578155756,0.2,0.0003,0.8531632870435715,-0.9288207987323404,0.003399265,830,1.7244852781295776,0.0537109375,-0.002079275989672169
174080,260,-0.2161664600000006,85,667,818.09,119.03287097513676,0.2,0.0003,0.4635732173919678,-0.8796530341729522,0.0039553847,840,69.98458099365234,0.06064453125,-0.0011903203143447173
176128,263,-1.5147959000000009,86,668,807.25,53.0202257193625,0.2,0.0003,0.6219867467880249,-0.9037359032779932,0.004422039,850,56.3297119140625,0.06943359375,-0.002222276474276441
178176,266,-0.5376640300000008,87,667,812.18,108.8802560031414,0.2,0.0003,0.6165255904197693,-0.8884976042434574,0.0049301204,860,5.974200248718262,0.063916015625,-0.0035639125373563727
180224,271,-0.20458344000000112,88,664,810.43,57.432789504528046,0.2,0.0003,0.6847055554389954,-0.8375560818240047,0.009794589,870,3.879939556121826,0.088330078125,-0.0021718915348174052
182272,274,0.7361803900000007,89,663,805.55,75.0130828499794,0.2,0.0003,0.7203437387943268,-0.7415857389569283,0.009914332,880,46.836578369140625,0.06123046875,-0.001966163268662058
184320,276,-1.1280751100000013,90,665,800.04,58.314983903616664,0.2,0.0003,0.6400727927684784,-0.8294381596148014,0.0076971906,890,3.50868821144104,0.08349609375,-0.0008354950972716324
186368,280,-1.536117840000001,91,663,809.8,124.95953806191683,0.2,0.0003,0.6651819944381714,-0.8578422266989947,0.0028564767,900,19.236713409423828,0.021337890625,-0.0010533387190662324
188416,284,-2.4464242400000025,92,663,809.8,43.14411084353924,0.2,0.0003,0.5055688321590424,-0.8747001765295863,0.020583533,910,3.8666365146636963,0.100537109375,-0.004476517617877107
190464,286,-2.9474012400000014,93,664,805.96,32.05328441485763,0.2,0.0003,0.8106424808502197,-0.8730380730703473,0.009834738,920,295.7701110839844,0.064111328125,-0.0007656393478100654
192512,290,-5.2863640400000005,94,662,807.5,142.76816300153732,0.2,0.0003,0.42784184217453003,-0.8097260020673275,0.0052837715,930,162.3106231689453,0.0482421875,-0.0027252112769929225
194560,294,-4.42071177,95,661,811.5,111.92035785019398,0.2,0.0003,0.3727506995201111,-0.8659828498959541,0.003866475,940,27.18733024597168,0.02294921875,-0.0007580681227409514
196608,296,-1.1073951099999986,96,662,808.19,25.71060252673924,0.2,0.0003,0.754260390996933,-0.8595252746716142,0.005038243,950,3.092602014541626,0.06181640625,-0.0010706754241255113
198656,299,-3.364689399999999,97,662,798.84,70.15545237213374,0.2,0.0003,0.6880893409252167,-0.8132244303822518,0.005341498,960,5.458426475524902,0.027099609375,-0.0006546574717503972
200704,303,-2.243635220000001,98,662,799.95,156.32843930721282,0.2,0.0003,0.5879151225090027,-0.8478895854204893,0.004504318,970,35.427982330322266,0.03681640625,-0.001557172524917405
202752,306,-6.397365490000002,99,661,791.29,54.33660800755024,0.2,0.0003,0.7201268970966339,-0.8253114320337772,0.00431855,980,18.452350616455078,0.0451171875,-0.001212277973536402
204800,310,-5.282012690000001,100,658,788.11,162.86816758066416,0.2,0.0003,0.6133929491043091,-0.8963533198460937,0.01207612,990,189.927490234375,0.043408203125,-0.00022508997717523015
206848,313,-5.98909959,101,659,780.85,68.99212872311473,0.2,0.0003,0.7561678737401962,-0.885378279350698,0.008541974,1000,10.848612785339355,0.06748046875,-0.002403367165243253
208896,316,-11.43345064,102,660,766.7,248.54670682549477,0.2,0.0003,0.48256099224090576,-0.7797573266550899,0.00776881,1010,71.8956298828125,0.083935546875,-0.004659548589552287
210944,319,-9.743445130000003,103,660,762.93,164.8739790290594,0.2,0.0003,0.5795804858207703,-0.8549061704427003,0.00496743,1020,54.832027435302734,0.04736328125,-0.0015141242394747679
212992,322,-10.93812852,104,660,764.85,188.35513658076525,0.2,0.0003,0.4946443438529968,-0.8058077467605471,0.0046868026,1030,138.89569091796875,0.051611328125,-0.002611225783039117
215040,326,-10.077946139999998,105,659,761.64,54.47253982275724,0.2,0.0003,0.7472560405731201,-0.8677199451252818,0.009666763,1040,3.7418713569641113,0.096337890625,0.0020054678308952132
217088,329,-7.777825139999999,106,659,754.22,52.840824662148954,0.2,0.0003,0.7825952172279358,-0.8137649638578296,0.003968021,1050,16.15630531311035,0.066259765625,-0.0023925326895550825
219136,332,-5.29604095,107,659,757.83,139.93476229012012,0.2,0.0003,0.27173084020614624,-0.7641238171607256,0.009166995,1060,53.051300048828125,0.07236328125,-0.0016671121626131934
221184,336,-7.184029819999999,108,656,745.27,40.59617011174559,0.2,0.0003,0.7933680713176727,-0.8988135391846299,0.006728569,1070,4.099193096160889,0.091748046875,-0.004382909550622571
223232,340,-5.38823803,109,656,749.15,100.72811126708984,0.2,0.0003,0.6085290312767029,-0.8612441815435886,0.0069568576,1080,63.82038879394531,0.05458984375,-0.002038431246182881
225280,343,-4.162975920000003,110,655,749.15,63.38818986713886,0.2,0.0003,0.7504027783870697,-0.8230496710166335,0.011443684,1090,2.576329231262207,0.118115234375,-0.010601791898079683
227328,345,-6.958273940000002,111,657,735.01,35.18875584602356,0.2,0.0003,0.7615711539983749,-0.8929153831675649,0.007674369,1100,2.1085498332977295,0.068505859375,-0.0009177353720588143
229376,348,-8.891459670000003,112,658,733.51,82.39047531187535,0.2,0.0003,0.5922278165817261,-0.8528455873951316,0.0045569194,1110,56.23817825317383,0.043701171875,7.190500546130351e-05
231424,350,-11.618358420000002,113,659,724.11,61.809786695986986,0.2,0.0003,0.7125749886035919,-0.8444064104929566,0.0036881906,1120,3.9313952922821045,0.029931640625,0.0004803625030035619
233472,353,-15.038825849999997,114,660,709.93,105.31003607064486,0.2,0.0003,0.6050722897052765,-0.874338416568935,0.0039512888,1130,15.010368347167969,0.040966796875,-0.0011169272191182244
235520,356,-13.504966869999997,115,660,707.72,138.2043540328741,0.2,0.0003,0.6770441234111786,-0.8544018235057592,0.003901701,1140,20.434585571289062,0.042626953125,-0.0031071800403879024
237568,360,-10.98747336,116,659,709.64,69.50821919813752,0.2,0.0003,0.42635399103164673,-0.8361868588253856,0.006674448,1150,12.869378089904785,0.084228515625,-0.0008471632972941734
239616,363,-9.912237219999998,117,659,704.53,104.81547657251357,0.2,0.0003,0.5199755430221558,-0.7897681197151541,0.004663571,1160,386.2021484375,0.048583984375,-0.002361076355737168
241664,367,-9.821266469999998,118,657,706.17,88.33536281436682,0.2,0.0003,0.4411998391151428,-0.8584293654188514,0.0045155175,1170,126.40448760986328,0.069384765625,-0.0008734409015232813
243712,369,-13.98006128,119,658,712.8,51.185011494159696,0.2,0.0003,0.447814404964447,-0.8673233767971397,0.005845014,1180,5.0614776611328125,0.063330078125,-0.004876611887448234
245760,372,-15.783185969999998,120,659,703.35,73.1342116355896,0.2,0.0003,0.6985949575901031,-0.8565852591767907,0.010548717,1190,35.363609313964844,0.150830078125,-0.00531143165571848
247808,376,-11.442765829999999,121,657,712.43,115.6975643798709,0.2,0.0003,0.5649294853210449,-0.8568868674337864,0.009175481,1200,4.073276996612549,0.053515625,-0.00015756785760459024
249856,380,-16.01749638,122,656,700.89,51.65639391988516,0.2,0.0003,0.4492039084434509,-0.7283564500510693,0.003905747,1210,13.061271667480469,0.04111328125,-0.001481549257368897
251904,383,-18.807546490000004,123,656,701.29,110.57610080540181,0.2,0.0003,0.6191914081573486,-0.7277106489986181,0.004947915,1220,63.295387268066406,0.058642578125,0.0015839433293876938
