time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss
2048,2278,89.04545454545455,1,0,-157.32802722727268,,,,,,,,,,
4096,1711,88.02173913043478,2,2,-167.444413326087,0.0003,-0.0012290477752685547,0.0034525096,0.000439453125,0.2,745.5037231445312,10,-1.3850273903459311,-0.0019248119497206062,2224.1067615509032
6144,1588,87.51428571428572,3,3,-165.4563563857143,0.0003,-0.023856520652770996,0.0048990957,0.00771484375,0.2,918.0401611328125,20,-1.3816531911492347,-0.002237043961213203,1961.7633829116821
8192,1534,88.8695652173913,4,5,-163.5936492173913,0.0003,-0.005908966064453125,0.0074117095,0.034130859375,0.2,626.4404907226562,30,-1.3819497141987085,-0.0075984921146300625,1568.4333227157592
10240,1499,91.07,5,6,-161.06896147,0.0003,-0.00036895275115966797,0.013487288,0.08173828125,0.2,274.9901123046875,40,-1.3702703338116407,-0.009852726758981589,589.2450810432434
12288,1472,93.65,6,8,-154.16408442,0.0003,-0.006882429122924805,0.0028017,0.003759765625,0.2,587.4935913085938,50,-1.3674911275506019,-0.0032159907066670714,1143.88738117218
14336,1443,95.18,7,9,-153.67320744000003,0.0003,-0.0010914802551269531,0.010293668,0.113427734375,0.2,620.1239624023438,60,-1.342009135708213,-0.008127514584339223,847.9662585735321
16384,1409,99.74,8,11,-161.20210397,0.0003,-0.016167163848876953,0.008710653,0.106640625,0.2,202.7893829345703,70,-1.3112985890358686,-0.007919786887941881,573.9405493736267
18432,1383,104.01,9,13,-158.89832815,0.0003,-0.00018513202667236328,0.0109908525,0.060693359375,0.2,395.5634460449219,80,-1.3010160751640796,-0.006806340132607147,574.6263162612915
20480,1365,111.2,10,14,-158.00276459,0.0003,0.001736760139465332,0.003901946,0.02578125,0.2,387.40081787109375,90,-1.2657893598079681,-0.003127642994513735,589.3517021656037
22528,1349,116.57,11,16,-162.48212489000002,0.0003,-0.0010071992874145508,0.009935304,0.1283203125,0.2,196.38072204589844,100,-1.2553732894361018,-0.009902983583742753,332.04321513175967
24576,1346,123.21,12,18,-161.90858467999996,0.0003,-0.0002161264419555664,0.008774221,0.08330078125,0.2,299.19720458984375,110,-1.2253542754799127,-0.0095262714457931,368.77267732620237
26624,1330,134.2,13,20,-157.34037241,0.0003,-0.00013959407806396484,0.009428532,0.043408203125,0.2,91.5640869140625,120,-1.1918633304536344,-0.005281194506096654,290.90771441459657
28672,1320,141.7,14,21,-158.07128587,0.0003,-0.0048743486404418945,0.00871007,0.09296875,0.2,298.9184265136719,130,-1.1596719644963742,-0.010420733185310383,643.0122498989106
30720,1309,149.98,15,23,-153.71300303,0.0003,-1.1563301086425781e-05,0.014308122,0.08173828125,0.2,251.9373016357422,140,-1.1782748900353908,-0.006637718300044071,406.9158178329468
32768,1304,157.4,16,25,-147.69574852999997,0.0003,-3.123283386230469e-05,0.004279919,0.015234375,0.2,139.7080078125,150,-1.156636094674468,-0.0024580983437772373,279.85101454257966
34816,1276,171.75,17,27,-148.31292803000002,0.0003,-2.2292137145996094e-05,0.014842628,0.145068359375,0.2,79.12993621826172,160,-1.1047767221927642,-0.008925770707719494,317.77272589206694
36864,1270,180.2,18,29,-141.51888753,0.0003,0.0011332035064697266,0.007696404,0.042236328125,0.2,108.38016510009766,170,-1.153456024825573,-0.005013168940786272,228.57785942554474
38912,1261,188.39,19,30,-137.81803844,0.0003,-0.029186725616455078,0.012841631,0.078955078125,0.2,150.39328002929688,180,-1.0726214550435542,-0.006755025406891946,470.6720183849335
40960,1254,197.07,20,32,-130.36256631,0.0003,-0.0023603439331054688,0.010469148,0.113818359375,0.2,170.4604034423828,190,-1.1153484705835581,-0.005352377566305222,355.9418715953827
43008,1250,203.47,21,34,-127.32741172999998,0.0003,-8.0108642578125e-05,0.006401602,0.045751953125,0.2,172.61329650878906,200,-1.074703262746334,-0.004148039088613586,387.1025107383728
45056,1226,211.06,22,36,-129.82900098,0.0003,-0.0002919435501098633,0.0059557427,0.053466796875,0.2,438.9921569824219,210,-1.04837956558913,-0.007826961208775175,354.24289643764496
47104,1187,224.85,23,39,-127.78547060999999,0.0003,0.0015390515327453613,0.008722015,0.057958984375,0.2,161.26560974121094,220,-1.0824684493243695,-0.007022168635739945,260.4095140695572
49152,1179,239.53,24,41,-122.2770941,0.0003,0.030476808547973633,0.0064509436,0.0564453125,0.2,85.14976501464844,230,-1.0962580844759942,-0.006477077741874382,166.3817672252655
51200,1139,257.71,25,44,-120.08545324,0.0003,-0.014909744262695312,0.0074330503,0.04365234375,0.2,114.61207580566406,240,-0.9803749207407236,-0.003038998653937597,326.01069793701174
53248,1112,271.53,26,47,-118.16130067,0.0003,0.1687745451927185,0.008605353,0.01357421875,0.2,339.2084045410156,250,-1.1863096110522746,-0.00251201624123496,143.12144469022752
55296,1101,284.99,27,50,-116.69163471999998,0.0003,0.07064229249954224,0.0070539634,0.05390625,0.2,44.85363006591797,260,-1.1076864287257195,-0.00592725787719246,172.03505400419235
