time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss
1,2345,90.81818181818181,0,-138.34548149999998,2048,,,,,,,,,,
2,1747,92.06818181818181,2,-142.55239954545453,4096,-1.3827500861138105,-0.007639218714029994,0.0003,542.0225219726562,0.006689448,-0.003198385238647461,10,0.2,0.02607421875,1599.1341974258423
3,1571,94.52307692307693,3,-150.0152138,6144,-1.3803776141256094,-0.0033093935635406524,0.0003,1049.46923828125,0.004300856,-0.030269503593444824,20,0.2,0.00888671875,1895.5222261428833
4,1488,96.72619047619048,5,-151.91372747619047,8192,-1.3760147336870432,-0.004489743430895032,0.0003,386.7996826171875,0.004043768,-0.049774885177612305,30,0.2,0.02666015625,1553.0371384620667
5,1433,100.12,7,-151.95830009,10240,-1.3648000322282314,-0.007972179692296777,0.0003,358.8135986328125,0.014146085,-0.007652997970581055,40,0.2,0.09912109375,1181.5350351333618
6,1393,104.09,8,-155.38403395,12288,-1.3297305081039668,-0.011879595945356414,0.0003,369.9403381347656,0.010522577,-0.0001360177993774414,50,0.2,0.073583984375,944.0128657341004
7,1388,107.83,10,-153.10786109999998,14336,-1.3206681467592716,-0.00695325558190234,0.0003,503.9697265625,0.008291981,-0.0039299726486206055,60,0.2,0.073974609375,763.0157407283783
8,1379,113.78,11,-150.44024378,16384,-1.2807420704513788,-0.005938160089135636,0.0003,265.8498229980469,0.0071857935,-0.00040650367736816406,70,0.2,0.079052734375,530.1846514701843
9,1377,117.07,13,-143.69342292,18432,-1.2781129345297813,-0.005148417048621923,0.0003,167.51133728027344,0.003621092,0.0002918839454650879,80,0.2,0.047216796875,455.99769415855405
10,1373,120.37,14,-144.07149516,20480,-1.2780024692416192,-0.009241335938713745,0.0003,337.1721496582031,0.010188488,-0.009795188903808594,90,0.2,0.114990234375,565.693120765686
