time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance
2229,0,2048,-149.47339140909088,91.18181818181819,1,,,,,,,,,,
1685,2,4096,-155.900752,87.6304347826087,2,0.2,0.023193359375,666.9231567382812,-0.006982083576440345,10,0.0003,-1.383564006537199,2828.806199264526,0.005627378,0.002062082290649414
1538,3,6144,-158.37435707246377,88.55072463768116,3,0.2,0.091162109375,406.67193603515625,-0.007873711196589283,20,0.0003,-1.373895538970828,1112.0273424148559,0.010613708,-0.0026096105575561523
1468,5,8192,-159.8413138,90.42222222222222,4,0.2,0.072021484375,939.5249633789062,-0.009331309859408065,30,0.0003,-1.3724861707538367,978.0267899513244,0.011797795,-0.01006615161895752
1437,7,10240,-161.59669116999999,93.73,5,0.2,0.059033203125,381.7552185058594,-0.006964289559982717,40,0.0003,-1.3537766072899102,985.5871973991394,0.011519363,-0.007834553718566895
1416,8,12288,-159.38858806000002,100.24,6,0.2,0.1185546875,196.50274658203125,-0.011397766825393774,50,0.0003,-1.3286550100892782,598.5070107460022,0.011266532,0.0002161264419555664
1397,10,14336,-158.17332893,107.14,7,0.2,0.129296875,221.52932739257812,-0.008287858888797928,60,0.0003,-1.2799493502825499,761.074000120163,0.012763947,3.24249267578125e-05
1386,11,16384,-152.60108466999998,112.42,8,0.2,0.04130859375,747.4656982421875,-0.0023315465572522954,70,0.0003,-1.2352720342576504,878.8501465797424,0.015056939,-0.0026388168334960938
1380,13,18432,-145.21542713,120.01,9,0.2,0.0849609375,398.2252502441406,-0.0038287959920126013,80,0.0003,-1.2367626249790191,572.9792464256286,0.011827983,-0.0014437437057495117
1374,14,20480,-144.81175293,124.82,10,0.2,0.018603515625,1012.418701171875,-0.0024838643395924008,90,0.0003,-1.2493388991802932,973.5679600715637,0.004660155,-0.04380524158477783
1366,16,22528,-140.52908508000002,129.45,11,0.2,0.113671875,254.97052001953125,-0.004463882710842882,100,0.0003,-1.1941343668848277,577.9652039527894,0.007410929,-0.0007935762405395508
