rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/explained_variance,train/n_updates
90.54545454545455,1,2285,2048,0,-157.51574881818178,,,,,,,,,,
96.9047619047619,2,1716,4096,2,-155.29562019047617,0.0003,-1.3806641541421414,0.008970329,-0.008550495089730248,0.040576171875,1577.32181930542,453.2214050292969,0.2,0.005761504173278809,10
98.2258064516129,3,1590,6144,3,-153.41713129032257,0.0003,-1.375187724083662,0.008446572,-0.01016571772415773,0.065380859375,1550.838591003418,622.9738159179688,0.2,-0.0039681196212768555,20
99.96296296296296,4,1533,8192,5,-152.90728975308642,0.0003,-1.353328027576208,0.009166488,-0.006916035868198378,0.044921875,902.4871992111206,308.5780944824219,0.2,-0.005352020263671875,30
102.84848484848484,5,1501,10240,6,-154.96446972727273,0.0003,-1.344766354933381,0.00962415,-0.011751818037009799,0.084228515625,659.0362568855286,421.3456115722656,0.2,-0.013102293014526367,40
105.44,6,1479,12288,8,-156.78193104,0.0003,-1.337047528475523,0.010149751,-0.004424947179359151,0.04765625,793.3905522823334,187.7171173095703,0.2,-0.0060520172119140625,50
105.71,7,1461,14336,9,-152.76235245,0.0003,-1.3274807509034872,0.007552363,-0.00568136907677399,0.032421875,488.2148351192474,93.802734375,0.2,-0.0015070438385009766,60
106.52,8,1450,16384,11,-158.89811175,0.0003,-1.3147476274520158,0.014733543,-0.005813994214986451,0.202880859375,576.5681335449219,235.25425720214844,0.2,0.001301109790802002,70
107.83,9,1442,18432,12,-158.21489155,0.0003,-1.3251538578420878,0.009379923,-0.0067314297892153265,0.09404296875,392.99091930389403,189.7052459716797,0.2,-0.0029730796813964844,80
109.54,10,1429,20480,14,-154.26337537,0.0003,-1.2904357343912125,0.012636823,-0.010990019439486787,0.126025390625,381.0454142808914,265.5495300292969,0.2,1.3053417205810547e-05,90
113.74,11,1347,22528,16,-154.65306791,0.0003,-1.2758475299924612,0.010406286,-0.003706331964349374,0.02041015625,294.76006426811216,122.82354736328125,0.2,0.006342768669128418,100
