rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss
96.95238095238095,0,2253,1,-167.3830102380952,2048,,,,,,,,,,
99.8,2,1707,2,-162.70409137500002,4096,0.00969357,-1.3816984474658967,-0.0010762214660644531,1166.0358665466308,10,0.0003,517.856201171875,0.2,0.03583984375,-0.00704904706144589
104.0677966101695,3,1586,3,-162.9818155254237,6144,0.0072355988,-1.363315048068762,-0.044255852699279785,1124.5528688430786,20,0.0003,545.6090087890625,0.2,0.028173828125,-0.004150720073084813
103.65384615384616,5,1530,4,-158.19283069230772,8192,0.0047083166,-1.3438538506627082,-0.005632162094116211,1042.3477246284485,30,0.0003,435.123291015625,0.2,0.00908203125,-0.005435219033097382
106.27368421052631,6,1491,5,-158.2222878,10240,0.012348413,-1.3149398118257523,-0.0016487836837768555,784.8395493507385,40,0.0003,217.52980041503906,0.2,0.097900390625,-0.009604024625150486
117.68,8,1381,6,-156.11149586,12288,0.008659583,-1.3113020464777947,-0.022197842597961426,638.3566755771637,50,0.0003,287.2323303222656,0.2,0.081787109375,-0.0065764353741542434
123.15,10,1377,7,-149.12939864999996,14336,0.0060663885,-1.3220736399292945,0.01596754789352417,309.55186035633085,60,0.0003,107.9023666381836,0.2,0.03583984375,-0.006337877364421729
128.51,11,1369,8,-149.16556350000002,16384,0.010532899,-1.2583522070199251,-0.021602630615234375,721.8593049049377,70,0.0003,1008.78076171875,0.2,0.0677734375,-0.004574113913986366
135.69,13,1362,9,-137.45289053999997,18432,0.0053498577,-1.1972573298960925,-0.005721926689147949,862.5115574836731,80,0.0003,330.63604736328125,0.2,0.021875,-0.003158036308013834
149.15,15,1283,10,-138.10418311,20480,0.01016395,-1.1896858517080546,-6.020069122314453e-05,319.91218638420105,90,0.0003,141.23309326171875,0.2,0.131005859375,-0.0037082168186316268
154.4,17,1283,11,-136.72842881999998,22528,0.0033842446,-1.2627244722098112,0.0003579854965209961,710.3994762420655,100,0.0003,209.56442260742188,0.2,0.007421875,-0.004323997056053486
163.35,19,1281,12,-129.70943802000002,24576,0.0057337284,-1.1954892013221978,0.00029283761978149414,456.57871918678285,110,0.0003,185.9733123779297,0.2,0.068115234375,-0.00872081986599369
177.57,21,1251,13,-127.30306406,26624,0.0033470236,-1.1765420943498612,0.026338934898376465,444.56853885650634,120,0.0003,334.52496337890625,0.2,0.003466796875,-0.0042943711625412105
184.82,22,1249,14,-124.34610618999999,28672,0.0051406855,-1.2596989899873734,0.1304410696029663,267.48490967750547,130,0.0003,136.4446563720703,0.2,0.000341796875,-0.0028349073334538845
179.45,24,1253,15,-124.65272939,30720,0.003503976,-1.171901572495699,0.026832103729248047,550.514777803421,140,0.0003,212.5605926513672,0.2,4.8828125e-05,-0.0016358605644199997
184.21,26,1231,16,-127.30857266000001,32768,0.010981163,-1.12976960465312,0.26080381870269775,305.4889536857605,150,0.0003,84.44876861572266,0.2,0.078466796875,-0.006951006159215467
201.21,29,1188,17,-122.1308049,34816,0.007067415,-1.147971621155739,0.29941195249557495,307.9464486598969,160,0.0003,131.77259826660156,0.2,0.01689453125,-0.005434527182660531
215.91,32,1145,18,-119.81193566,36864,0.0053459415,-1.1452259443700314,0.41654258966445923,245.17101409435273,170,0.0003,133.54666137695312,0.2,0.022314453125,-0.006994860549457371
224.05,33,1144,19,-114.76502115,38912,0.008322724,-1.1556259177625179,0.4344326853752136,175.51978108882903,180,0.0003,74.65787506103516,0.2,0.026123046875,-0.005843524778902065
238.98,36,1116,20,-116.18266392,40960,0.0040066876,-1.039655464142561,0.05414968729019165,482.43754091262815,190,0.0003,270.1144714355469,0.2,0.020068359375,-0.0052489703783066945
248.27,38,1109,21,-119.3632071,43008,0.01022419,-1.109399390220642,0.5535048544406891,147.95911560058593,200,0.0003,76.96800231933594,0.2,0.082177734375,-0.006832965796638746
265.23,41,1086,22,-116.25140827,45056,0.012159704,-1.0498929638415575,-0.008477091789245605,430.437283039093,210,0.0003,186.740966796875,0.2,0.10966796875,-0.005690288192272419
269.6,43,1071,23,-116.18910265000001,47104,0.010119139,-1.073787260428071,0.055069804191589355,249.55159323215486,220,0.0003,84.15373992919922,0.2,0.102587890625,-0.008909760906681186
283.24,46,1054,24,-112.81521652999999,49152,0.007474873,-1.0676512788981198,0.6377310156822205,120.83632827997208,230,0.0003,137.47938537597656,0.2,0.07724609375,-0.010685699203168041
300.62,49,1043,25,-109.11819787,51200,0.010024336,-0.9911271890625357,0.6132952868938446,158.11155138015747,240,0.0003,49.664493560791016,0.2,0.040576171875,-0.00632571145251859
308.39,51,1027,26,-105.7803795,53248,0.0062157805,-1.0701579544693232,0.5824237763881683,134.21888254880906,250,0.0003,39.88817596435547,0.2,0.05517578125,-0.006501698630745523
328.33,54,1015,27,-105.89567668,55296,0.011232608,-0.9522103084251284,0.44960129261016846,176.53874465227128,260,0.0003,34.646968841552734,0.2,0.0859375,-0.006130850767658558
343.5,57,1003,28,-104.77915060000004,57344,0.010379301,-1.0103222455829381,0.2806629538536072,130.60321766138077,270,0.0003,19.697786331176758,0.2,0.08525390625,-0.007844674582884181
361.67,60,989,29,-103.24913691000002,59392,0.008044047,-0.9972576480358839,0.28678983449935913,268.4441017985344,280,0.0003,87.2942123413086,0.2,0.04541015625,-0.004898687706736382
369.76,62,980,30,-102.90842409999999,61440,0.0076041627,-0.9441569970920682,0.3399169445037842,219.7897385954857,290,0.0003,62.00029754638672,0.2,0.094873046875,-0.008779157664685044
394.09,66,951,31,-95.53893386999998,63488,0.004529505,-0.9852708341553807,0.1585303544998169,242.5290151834488,300,0.0003,54.72883224487305,0.2,0.022412109375,-0.002394272453238955
408.64,70,935,32,-96.16310655,65536,0.015088726,-1.011801253259182,0.2722567319869995,140.03398851156234,310,0.0003,32.12116622924805,0.2,0.158740234375,-0.01114341529464582
415.78,73,914,33,-93.39552215999998,67584,0.008077959,-1.0132228428497911,0.5032965838909149,119.1069438457489,320,0.0003,25.239849090576172,0.2,0.074658203125,-0.00887487335712649
428.39,76,910,34,-91.43992173999997,69632,0.009185869,-1.0554628785699607,0.111045241355896,41.86763531863689,330,0.0003,13.556668281555176,0.2,0.09130859375,-0.0075945135919027965
445.12,79,899,35,-91.52839524999997,71680,0.0070088827,-0.9493396874517203,0.5950973927974701,71.55051108002662,340,0.0003,49.52999496459961,0.2,0.045068359375,-0.007518048436031677
460.7,84,876,36,-86.05114918999999,73728,0.007020082,-1.0847942885011435,0.6570912599563599,59.16702560484409,350,0.0003,8.17240047454834,0.2,0.047607421875,-0.006174114019086119
475.94,87,867,37,-85.3318282,75776,0.008286472,-1.0433856831863522,0.5280545353889465,40.96629584729671,360,0.0003,9.914981842041016,0.2,0.06396484375,-0.0075862741432501934
494.73,91,851,38,-83.4347642,77824,0.0082828775,-1.014452339708805,0.15866726636886597,67.23846180140973,370,0.0003,31.723947525024414,0.2,0.045849609375,-0.004012422551022609
508.12,94,842,39,-83.31139917,79872,0.0033128015,-1.030272332392633,0.3584977984428406,107.42395769059658,380,0.0003,35.97260665893555,0.2,0.020068359375,-0.0016514913382707163
527.97,97,840,40,-82.34488367,81920,0.0050773784,-1.0132595671340823,0.6633510589599609,73.87962546944618,390,0.0003,22.042943954467773,0.2,0.03115234375,-0.0016919742301979568
541.41,100,834,41,-81.17859257999999,83968,0.0039031,-1.0414291994646192,0.5113078653812408,110.27413542568684,400,0.0003,36.76677322387695,0.2,0.025048828125,-0.001187395200395258
