time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss
1,2379,2048,-179.710854,0,86.17391304347827,,,,,,,,,,
2,1788,4096,-161.1139909090909,2,91.36363636363636,0.009411799,-0.006559643910441082,0.2,0.0003,0.033056640625,1679.8909112930298,-1.381154514104128,10,0.002990543842315674,448.2733459472656
3,1654,6144,-160.73643346153847,3,93.98461538461538,0.007993297,-0.008197930688038469,0.2,0.0003,0.040625,1457.1595558166505,-1.368348016217351,20,-0.02570629119873047,1153.340576171875
4,1593,8192,-161.4237716235294,5,96.18823529411765,0.0105419755,-0.008864479162730277,0.2,0.0003,0.06484375,974.1767750740051,-1.3439381122589111,30,-0.021518707275390625,267.313720703125
5,1552,10240,-158.29727985,6,101.68,0.009679351,-0.012624778929603054,0.2,0.0003,0.132470703125,685.3434182167053,-1.3001239202916621,40,-0.00047969818115234375,179.19076538085938
6,1410,12288,-152.44037533,8,115.42,0.012945326,-0.00824387728353031,0.2,0.0003,0.169580078125,920.0615530967713,-1.2542476143687964,50,-0.09768354892730713,433.1773986816406
7,1404,14336,-149.11336350999997,10,123.72,0.011310594,-0.008055573041929165,0.2,0.0003,0.092041015625,262.3109993457794,-1.292837643250823,60,0.00456315279006958,130.96435546875
8,1307,16384,-147.18933721999997,12,128.16,0.009556405,-0.006787329513463192,0.2,0.0003,0.09111328125,504.3076543331146,-1.1487388640642167,70,-0.02353823184967041,186.96856689453125
9,1298,18432,-145.91555166,14,145.02,0.003161645,-0.005851510856882669,0.2,0.0003,0.013037109375,432.7866623401642,-1.2168915115296841,80,0.04159557819366455,117.10075378417969
10,1299,20480,-137.61540607,15,153.97,0.008431791,-0.009537597452435875,0.2,0.0003,0.05927734375,584.0588092327118,-1.1222940228879452,90,0.035238444805145264,275.3884582519531
11,1296,22528,-138.71483613,17,164.57,0.0062284125,-0.008117670782667119,0.2,0.0003,0.0427734375,601.83435049057,-1.1092963010072707,100,0.05851268768310547,183.58731079101562
12,1300,24576,-131.39468995000001,18,171.6,0.010795396,-0.00871206272422569,0.2,0.0003,0.08740234375,501.1985754966736,-1.1463483538478614,110,0.19276756048202515,262.1317443847656
13,1248,26624,-126.69674076999999,21,184.68,0.00986224,-0.007914766133762897,0.2,0.0003,0.06796875,445.4093977451324,-1.0650756679475308,120,0.1769394874572754,333.5545959472656
14,1208,28672,-124.98519144,23,199.4,0.0063437475,-0.008258824555377941,0.2,0.0003,0.047216796875,336.4102876186371,-1.1671919602900744,130,0.19904100894927979,354.8814697265625
15,1144,30720,-122.06570502999999,26,217.73,0.0049841786,-0.006613056719652377,0.2,0.0003,0.0291015625,204.71313149929045,-1.1879340190440417,140,0.3990350365638733,75.16346740722656
