time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/approx_kl,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/loss
2048,0,-144.20284561904762,96.0952380952381,1,2327,,,,,,,,,,
4096,2,-153.6137153095238,95.30952380952381,2,1766,0.005937715,1658.413189315796,10,-0.004136443138122559,-0.00401494212783291,-1.3835601907223463,0.2,0.013037109375,0.0003,422.4925231933594
6144,3,-156.14834833333333,96.71428571428571,3,1638,0.0072009787,1033.6011060714723,20,-0.005869388580322266,-0.0051849236377165655,-1.3794891238212585,0.2,0.031884765625,0.0003,503.461181640625
8192,5,-154.91124635365853,99.0,4,1578,0.00811187,694.9311760902405,30,0.0014743804931640625,-0.0071986586830462326,-1.3683672741055488,0.2,0.031640625,0.0003,241.4777069091797
10240,6,-157.56398395,101.91,5,1540,0.0076334057,905.4180201530456,40,-0.022161364555358887,-0.005619179277709918,-1.3580137439072133,0.2,0.04033203125,0.0003,532.3135986328125
12288,8,-161.84489326,104.19,6,1519,0.011771405,546.720419549942,50,-0.010407328605651855,-0.0106986072503787,-1.3309565853327512,0.2,0.075,0.0003,157.37586975097656
14336,9,-164.02643116,106.54,7,1501,0.0076606264,538.3859686374665,60,-0.0006257295608520508,-0.006915198557544499,-1.331861485913396,0.2,0.099755859375,0.0003,149.8787384033203
16384,11,-161.97982385,109.59,8,1488,0.009518119,548.0750743865967,70,0.00024300813674926758,-0.005174177729350049,-1.3237625908106565,0.2,0.014892578125,0.0003,166.1382293701172
18432,12,-158.15293744000002,114.04,9,1472,0.012383902,371.2658250808716,80,-0.0001819133758544922,-0.014411532603844535,-1.2801354624330998,0.2,0.183740234375,0.0003,284.697265625
20480,14,-156.57772140999998,120.5,10,1453,0.0088346135,510.19170026779176,90,-0.0004341602325439453,-0.010148129067238188,-1.234151103720069,0.2,0.06201171875,0.0003,307.35211181640625
22528,15,-157.70743535,124.67,11,1443,0.011065189,382.3130943775177,100,-0.00024175643920898438,-0.005595122552040266,-1.2395663734525442,0.2,0.075146484375,0.0003,140.6300048828125
24576,17,-152.43407819,135.39,12,1381,0.014515408,432.3309022903442,110,-7.82012939453125e-05,-0.007020658642431954,-1.215141287818551,0.2,0.1056640625,0.0003,138.15318298339844
26624,19,-149.27041683000002,143.58,13,1377,0.0026848712,397.36206872463225,120,-0.0038753747940063477,-0.0029399487939372193,-1.2659883748739957,0.2,0.00048828125,0.0003,121.28530883789062
28672,21,-145.30803794000002,154.78,14,1353,0.004314498,446.4311490535736,130,-0.023709535598754883,-0.0042036847265990215,-1.187605668231845,0.2,0.0037109375,0.0003,263.72607421875
30720,22,-143.20410824,162.04,15,1349,0.0056375703,500.2518358707428,140,0.043714284896850586,-0.0059486674654181115,-1.220012304186821,0.2,0.0103515625,0.0003,178.3264617919922
32768,24,-139.67613726,170.3,16,1340,0.009472974,377.62734241485595,150,0.04294407367706299,-0.01000374895738787,-1.1647592645138503,0.2,0.03603515625,0.0003,181.49066162109375
