time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl
2048,1,90.31818181818181,2379,0,-157.71363895454544,,,,,,,,,,
4096,2,90.93333333333334,1796,2,-154.93510744444444,1076.66064453125,2483.701634979248,10,-1.382850644364953,-0.005765547284681816,-0.002366781234741211,0.2,0.0003,0.021044921875,0.007002043
6144,3,91.83333333333333,1673,3,-157.633947,264.3549499511719,921.7746712684632,20,-1.3702012795954943,-0.008877212728839368,0.0022748708724975586,0.2,0.0003,0.085302734375,0.01179043
8192,4,95.04651162790698,1609,5,-151.58091798837208,382.28936767578125,760.8062105178833,30,-1.359235155209899,-0.007317141806561267,-0.03963446617126465,0.2,0.0003,0.078369140625,0.011607422
10240,5,99.28,1571,6,-153.89214477,344.2085266113281,802.6154023170471,40,-1.337287026643753,-0.010060956106462982,-0.008062481880187988,0.2,0.0003,0.114697265625,0.012437877
12288,6,103.61,1547,7,-154.68719352,730.9392700195312,1232.262949371338,50,-1.302884354069829,-0.005970207718200981,-0.03412950038909912,0.2,0.0003,0.045361328125,0.009655258
14336,7,107.99,1531,9,-152.69176686999998,331.8833923339844,829.6059428215027,60,-1.2949436284601687,-0.0030493065190967173,-9.191036224365234e-05,0.2,0.0003,0.0767578125,0.009236882
16384,8,113.93,1512,10,-150.89277102,274.9983825683594,560.5972820281983,70,-1.2555625796318055,-0.009839453770837281,-0.0039626359939575195,0.2,0.0003,0.091796875,0.011242571
18432,9,125.8,1432,12,-146.84901810999997,170.7519073486328,430.0396569252014,80,-1.2090192172676324,-0.007952940484392457,-0.0009299516677856445,0.2,0.0003,0.09052734375,0.007660074
20480,10,131.5,1430,14,-142.9014334,89.73313903808594,290.94765691757203,90,-1.2218101989477872,-0.003211904875934124,0.0008916854858398438,0.2,0.0003,0.00830078125,0.004946406
22528,11,137.14,1425,15,-141.73241252000003,218.4207305908203,647.7338701248169,100,-1.186147578060627,-0.007570637371827615,-0.0026901960372924805,0.2,0.0003,0.06806640625,0.013326338
24576,12,146.44,1405,17,-142.53784966999999,285.1606140136719,612.1278812885284,110,-1.156801164150238,-0.00310709379700711,-0.0002313852310180664,0.2,0.0003,0.0416015625,0.009382449
26624,13,153.4,1400,19,-133.76383208000001,232.63832092285156,363.4324695110321,120,-1.193386495485902,-0.0064223906534607526,0.00242459774017334,0.2,0.0003,0.0265625,0.0041072313
28672,14,159.66,1395,20,-133.50859585,312.4410400390625,341.82173428535464,130,-1.1203733768314124,-0.003080147672153544,0.04220616817474365,0.2,0.0003,0.019970703125,0.0056403615
30720,15,169.52,1381,22,-127.20618658000001,203.32481384277344,385.529101228714,140,-1.101534667983651,-0.004426765674725175,0.07794302701950073,0.2,0.0003,0.006640625,0.004047214
32768,16,179.54,1371,23,-126.31547517000003,151.70428466796875,320.14164938926695,150,-1.125938881188631,-0.006699274395941757,0.14491117000579834,0.2,0.0003,0.048779296875,0.008250858
34816,17,188.2,1365,25,-124.53582866999997,102.10798645019531,388.3746235370636,160,-1.1108476478606462,-0.00851054757804377,0.10063338279724121,0.2,0.0003,0.064306640625,0.009073958
36864,18,196.03,1355,27,-125.40147486999999,88.94730377197266,317.60894825458524,170,-1.1006380088627339,-0.0031285096010833513,0.3025074601173401,0.2,0.0003,0.01015625,0.008112932
38912,19,201.01,1324,29,-120.76092122,94.10637664794922,525.2021073341369,180,-1.0582241779193282,-0.004907976700633298,0.23145991563796997,0.2,0.0003,0.017724609375,0.004716748
40960,20,214.29,1289,31,-121.35653495000001,192.5408172607422,289.4431135416031,190,-1.128078841045499,-0.00589783918003377,0.5252918004989624,0.2,0.0003,0.02333984375,0.005050038
43008,21,227.87,1254,34,-120.50261246,68.1130142211914,271.0176570653915,200,-1.1331087466329337,-0.0030100938347459305,0.5808567404747009,0.2,0.0003,0.021435546875,0.005971675
45056,22,242.31,1242,36,-118.70379209000001,30.053537368774414,161.2722768306732,210,-1.1044219426810742,-0.00883661259431392,0.607395201921463,0.2,0.0003,0.096044921875,0.010205154
47104,23,257.3,1211,38,-114.56370647,87.67781829833984,149.66763612031937,220,-0.9419968133792281,-0.009270319897768785,0.6442402601242065,0.2,0.0003,0.08271484375,0.007993504
49152,24,267.83,1200,40,-117.11381466,116.31416320800781,196.8155195236206,230,-1.0215904107317328,-0.00774766338581685,0.6614435911178589,0.2,0.0003,0.04501953125,0.007009792
51200,25,279.99,1169,43,-113.45051202999998,64.7376708984375,269.48510870933535,240,-0.9430070381611586,-0.008414855468436145,0.5706949532032013,0.2,0.0003,0.109716796875,0.009265678
53248,26,290.26,1163,45,-109.80107161,49.529930114746094,267.60330538749696,250,-1.0096142446622252,-0.010079375120403711,0.3454989194869995,0.2,0.0003,0.14013671875,0.013407778
55296,27,299.18,1156,47,-105.80533425000002,170.29296875,363.6640558719635,260,-0.937940763682127,-0.00479049890418537,0.43047255277633667,0.2,0.0003,0.022705078125,0.005394199
57344,28,315.73,1137,50,-102.53983715999999,148.3742218017578,270.73486652374265,270,-1.0179964313283563,-0.007091975246294169,0.2999993562698364,0.2,0.0003,0.072607421875,0.0067357165
59392,29,327.53,1119,53,-97.07639230999999,35.680152893066406,231.11690963506697,280,-0.9766440559178591,-0.0066818428749684244,0.4587578773498535,0.2,0.0003,0.05791015625,0.009217091
61440,30,344.1,1092,56,-92.54693394999997,40.145198822021484,218.38201233148575,290,-0.8748372215777636,-0.00370727907102264,0.2964041829109192,0.2,0.0003,0.056005859375,0.0069308234
63488,31,358.6,1080,58,-88.38411848,148.2761688232422,258.2411129593849,300,-0.8938827164471149,-0.00684092427327414,0.23222237825393677,0.2,0.0003,0.128466796875,0.013067659
65536,32,376.85,1051,62,-84.83514027999999,63.1083984375,189.95191323757172,310,-0.8912695167586208,-0.006298471195623279,0.39657968282699585,0.2,0.0003,0.068701171875,0.0074004848
67584,33,389.5,1042,64,-83.72947747000002,47.147605895996094,156.78947435617448,320,-0.8843751475214958,-0.005753853001806419,0.5509372651576996,0.2,0.0003,0.046484375,0.006881033
69632,34,402.93,1027,67,-79.20460901,126.82693481445312,160.1867828130722,330,-0.9920050442218781,-0.005975660079275258,0.6060494184494019,0.2,0.0003,0.07373046875,0.006855279
71680,35,418.17,1010,70,-76.49231895,12.398748397827148,136.6274014532566,340,-0.9889016501605511,-0.0036256700710509903,0.21802300214767456,0.2,0.0003,0.06513671875,0.0053098756
73728,36,438.86,988,74,-71.07302995,8.527230262756348,35.96267266571522,350,-1.069856933504343,-0.00809035234269686,0.7709311246871948,0.2,0.0003,0.11416015625,0.010513161
75776,37,450.71,975,77,-68.14052937,44.87681579589844,141.78563822805882,360,-0.9732723813503981,-0.00552781059013796,0.27088725566864014,0.2,0.0003,0.079345703125,0.01037654
77824,38,466.86,956,81,-64.7404389,77.4656982421875,80.94816162884236,370,-0.9502337081357837,-0.005093104593834141,0.48546409606933594,0.2,0.0003,0.078271484375,0.0076971697
79872,39,481.52,945,84,-61.20215514,11.322375297546387,90.04585419893264,380,-0.9882283929735423,-0.0037442663895490115,0.4931105375289917,0.2,0.0003,0.076025390625,0.008410291
81920,40,502.14,927,88,-56.32421303,72.66537475585938,72.5250905007124,390,-0.9489123526960611,-0.004268381687870715,0.5522518754005432,0.2,0.0003,0.08740234375,0.0067843064
83968,41,512.12,924,90,-57.695478940000015,37.701263427734375,81.77603306919336,400,-0.8719953866675496,-0.0015585872199153528,0.581610381603241,0.2,0.0003,0.0451171875,0.009809744
86016,42,528.73,904,95,-55.18473169,4.202596664428711,86.66848640143871,410,-0.9994188649579883,-0.001911979379656259,0.5758996307849884,0.2,0.0003,0.02158203125,0.0036683
88064,43,543.64,888,99,-51.644490239999996,94.09197235107422,24.124771922826767,420,-1.0467435318976641,-0.00607853759865975,0.8309092670679092,0.2,0.0003,0.100732421875,0.010561279
90112,44,560.11,877,102,-49.736846910000004,6.2573418617248535,28.98332362473011,430,-0.9426650952547788,-0.008148732007248327,0.813180536031723,0.2,0.0003,0.07724609375,0.008029452
92160,45,576.24,859,107,-48.35688213,10.728102684020996,45.92563150078058,440,-0.932409749738872,-0.0061715610776445825,0.8080689311027527,0.2,0.0003,0.06083984375,0.007545622
94208,46,597.86,846,111,-44.58244556,7.3578033447265625,27.361942210793494,450,-0.8729452414438128,-0.002205427145236172,0.9011738449335098,0.2,0.0003,0.023974609375,0.004493759
96256,47,612.73,828,116,-42.02866150999999,32.667518615722656,134.29126491546631,460,-0.8355116855353117,-0.0007995128311449662,0.7372265756130219,0.2,0.0003,0.008251953125,0.0022734753
98304,48,626.95,814,120,-37.749252979999994,2.8705780506134033,16.65967005044222,470,-0.8724106235429645,-0.0027466518768051174,0.9517593942582607,0.2,0.0003,0.043408203125,0.0037921686
100352,49,638.93,808,124,-35.70031368,86.38288116455078,82.45534438490867,480,-0.8675893321633339,-0.0038638662423181812,0.8005832433700562,0.2,0.0003,0.034814453125,0.0045079067
102400,50,652.0,800,127,-32.52772969,11.431727409362793,74.2704048037529,490,-0.83368886038661,-0.005694828296691412,0.855734720826149,0.2,0.0003,0.058984375,0.008147947
104448,51,665.81,789,132,-32.55625009,16.51326560974121,77.9328770339489,500,-0.8197111770510673,-0.0007551907383458456,0.8367234915494919,0.2,0.0003,0.015869140625,0.0034346185
106496,52,681.88,785,135,-28.635780729999997,4.938954830169678,26.422550708055496,510,-0.8968189584091306,-0.004638894552772399,0.9150756746530533,0.2,0.0003,0.047998046875,0.0060922503
108544,53,696.36,780,139,-26.00514705,88.01001739501953,84.65963286906481,520,-0.8237662417814136,-0.0029407012785668484,0.7464984059333801,0.2,0.0003,0.0564453125,0.005050241
110592,54,709.15,779,141,-22.40649703,35.38182067871094,111.62046478837729,530,-0.8931592242792249,-0.0035947769429185428,0.7251279652118683,0.2,0.0003,0.055419921875,0.0059580887
112640,55,721.65,775,145,-19.99343735,222.89427185058594,97.56962577402592,540,-0.7248104868456722,-0.002633433476876235,0.7733983099460602,0.2,0.0003,0.026025390625,0.0040949853
114688,56,725.44,771,148,-17.828931999999995,27.989551544189453,117.92786427736283,550,-0.8117268102243542,-0.0012800915028492454,0.7486222982406616,0.2,0.0003,0.02109375,0.0053836326
116736,57,735.64,770,151,-18.156457999999997,69.22986602783203,164.8839275598526,560,-0.7385631535202265,-0.0032277048096148063,0.7506112307310104,0.2,0.0003,0.033251953125,0.004451558
118784,58,739.39,770,154,-16.289905839999996,189.47073364257812,67.98471909612417,570,-0.8816859276965261,-0.0022664805423119106,0.8022052645683289,0.2,0.0003,0.084765625,0.0090048555
120832,59,751.0,766,157,-12.358539819999994,28.665021896362305,194.87322684079408,580,-0.9016225067898631,-0.0015969497468176995,0.5365695059299469,0.2,0.0003,0.014697265625,0.0029656533
122880,60,755.0,763,160,-11.974361539999995,67.48284912109375,185.29523516595364,590,-0.7897996930405498,-0.0013145482527761488,0.6300521194934845,0.2,0.0003,0.026708984375,0.002823135
124928,61,761.05,762,163,-7.3346266099999955,105.22383880615234,177.93823884725572,600,-0.8662190409377217,-0.004487558476103004,0.6438429355621338,0.2,0.0003,0.065869140625,0.006851322
126976,62,774.25,761,166,-7.779859609999999,85.74810028076172,126.86051008403301,610,-0.8583224372938275,-0.0025410507711058016,0.6110030710697174,0.2,0.0003,0.04921875,0.0066021
129024,63,782.54,759,169,-2.9087495700000012,99.09268951416016,198.10515954494477,620,-0.8885957712307573,-0.004146229236357613,0.6415361166000366,0.2,0.0003,0.027294921875,0.0035458407
131072,64,795.82,756,173,0.10008030999999874,55.507598876953125,132.65442869365216,630,-0.8316465763375163,-0.0011719091402483174,0.7083197832107544,0.2,0.0003,0.0208984375,0.0029238504
133120,65,804.5,755,176,3.6750009199999982,135.2469024658203,71.81429005265235,640,-0.7985838597640396,-0.0060386929755622985,0.8187925666570663,0.2,0.0003,0.110498046875,0.009941895
135168,66,813.46,755,178,4.311151950000001,4.589797019958496,65.11845178157091,650,-0.8978043772280216,-0.0006456456001615151,0.8636210262775421,0.2,0.0003,0.067041015625,0.0066955616
137216,67,823.12,754,181,1.9805688300000006,23.129945755004883,97.59385325014591,660,-0.8065347623080015,-0.001502113634342095,0.8220079690217972,0.2,0.0003,0.035205078125,0.0057833334
139264,68,829.35,752,185,3.0783927900000014,14.624923706054688,63.75991201847792,670,-0.9062081884592772,-0.003245336077088723,0.8252245336771011,0.2,0.0003,0.084375,0.009164216
141312,69,840.25,752,187,4.075331279999999,8.816507339477539,61.64751483350992,680,-0.8849143024533987,-0.003293657624089974,0.7794052213430405,0.2,0.0003,0.051904296875,0.009005547
143360,70,844.64,749,191,2.4408423699999995,26.69225311279297,73.19867263138295,690,-0.9071905536577105,-0.001487577519583283,0.7960330843925476,0.2,0.0003,0.075341796875,0.006799175
145408,71,850.98,742,195,0.12652061999999983,1.7966831922531128,26.929851322621108,700,-0.9669677143916487,-0.002556285311584361,0.8719554394483566,0.2,0.0003,0.077197265625,0.008771809
147456,72,858.04,740,199,0.35918399000000134,2.198794364929199,24.03727242201567,710,-0.9375554142519832,-0.0018734697237960062,0.8747139275074005,0.2,0.0003,0.064013671875,0.0053665196
149504,73,864.27,737,202,0.13253551000000066,1.498365879058838,20.72071614190936,720,-0.9352749539539218,-0.006183169083669782,0.8993847668170929,0.2,0.0003,0.08837890625,0.005862967
151552,74,867.86,736,205,-1.8118936199999995,2.325014114379883,23.799780573323368,730,-0.8801188722252846,-0.004195982705277856,0.8847687989473343,0.2,0.0003,0.05849609375,0.0069849864
153600,75,867.29,732,209,-0.23339071999999988,3.359494924545288,42.951203083246945,740,-0.9808974890038371,-0.004963011178188026,0.7590788900852203,0.2,0.0003,0.092578125,0.0067543183
155648,76,867.18,733,212,-4.745464200000001,39.839481353759766,82.78205533325672,750,-0.9342156562954187,-0.0002696674484468531,0.6276671290397644,0.2,0.0003,0.0220703125,0.0027868734
157696,77,845.92,733,214,-10.599212820000002,94.28736114501953,114.99930045604705,760,-0.9383862670511007,-0.002301513853308279,0.7645879238843918,0.2,0.0003,0.03046875,0.00405105
159744,78,847.33,733,217,-9.9431816,8.207195281982422,145.16455983817576,770,-0.9662514260038734,-0.0035569868035963737,0.7262695729732513,0.2,0.0003,0.0458984375,0.00670111
161792,79,849.36,730,221,-12.595802219999998,2.7168729305267334,20.606499347090722,780,-0.9167657697573304,-0.003046983892272692,0.9313007295131683,0.2,0.0003,0.061865234375,0.0044676014
163840,80,848.81,727,225,-10.61752148,2.930062770843506,17.169367929548024,790,-0.9598402416333556,-0.0031663867019233296,0.9359724745154381,0.2,0.0003,0.053955078125,0.0038864524
165888,81,848.7,724,228,-12.667558699999995,9.605212211608887,59.33006792515516,800,-0.8894386718049645,-0.0034879585007729476,0.8257472068071365,0.2,0.0003,0.096533203125,0.0087838005
167936,82,854.46,722,232,-10.784720380000001,6.962374687194824,33.42218381166458,810,-0.8910596886649728,-0.0023183660727227108,0.8574822247028351,0.2,0.0003,0.109326171875,0.009124548
169984,83,853.33,724,234,-13.327856450000002,295.18841552734375,84.36137581318617,820,-0.8754705337807536,-0.0017603880573005882,0.6821404695510864,0.2,0.0003,0.0400390625,0.0054090894
172032,84,842.07,724,237,-15.387327860000003,6.757387161254883,47.53974403291941,830,-0.923932900838554,-0.0052187258530466355,0.7775142639875412,0.2,0.0003,0.065576171875,0.007415386
174080,85,838.75,725,239,-16.222667750000003,17.563602447509766,106.28194472640753,840,-0.9250535460188984,-0.0007028606472886167,0.6059105396270752,0.2,0.0003,0.0478515625,0.009361888
176128,86,835.04,724,243,-16.52676812,80.07063293457031,66.09009367227554,850,-0.8863425053656101,-0.003196297305112239,0.6924603581428528,0.2,0.0003,0.08349609375,0.0075719114
178176,87,835.5,721,247,-16.564280260000004,7.405519485473633,57.12895706892014,860,-0.9266467869281769,-7.577426222269424e-05,0.7783243954181671,0.2,0.0003,0.024072265625,0.0034082746
180224,88,826.63,719,250,-19.37846208,1.9422509670257568,16.52934288010001,870,-0.9488403614610433,-0.009164245466672582,0.8973080888390541,0.2,0.0003,0.15380859375,0.011345357
182272,89,826.6,718,253,-16.342227130000005,24.184762954711914,158.24008197188377,880,-0.8798385096713901,-0.0015706722595496103,0.5162029564380646,0.2,0.0003,0.04833984375,0.004766302
184320,90,830.04,716,257,-17.86648234,113.27140808105469,90.429492752254,890,-0.8491930279880762,-0.0021308578958269208,0.7410446107387543,0.2,0.0003,0.057666015625,0.005286892
186368,91,823.09,715,260,-18.69151468,2.9233834743499756,40.20485593080521,900,-0.8840965919196606,-0.0019212659921322484,0.8151145428419113,0.2,0.0003,0.075439453125,0.0076748524
188416,92,823.47,713,264,-19.64545872,5.965903282165527,56.55175790041685,910,-0.9193399718031288,-0.0016031818962801482,0.7724557518959045,0.2,0.0003,0.023681640625,0.0040318286
190464,93,814.09,714,266,-20.88359346,0.5450395345687866,27.74715748988092,920,-0.9242275388911366,-0.003928042990446556,0.8904991745948792,0.2,0.0003,0.088134765625,0.007876795
