time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/value_loss
0,-163.15931365217395,2264,85.26086956521739,1,2048,,,,,,,,,,
2,-166.08822881818185,1717,91.56818181818181,2,4096,10,0.2,-1.3779814094305038,677.9074096679688,0.0003,0.0521484375,0.016041754,-0.00733737151895184,0.0013608336448669434,1671.373582649231
3,-164.973057,1612,93.4,3,6144,20,0.2,-1.3689792923629285,326.7219543457031,0.0003,0.045703125,0.008471947,-0.007763177342712879,4.678964614868164e-05,1176.6217695236205
5,-165.8802705783133,1561,97.65060240963855,4,8192,30,0.2,-1.3486843895167113,624.947509765625,0.0003,0.026513671875,0.0069178096,-0.009159784440271324,0.0020296573638916016,1126.7056729316712
6,-159.9824356,1531,101.77,5,10240,40,0.2,-1.3209717776626348,498.374755859375,0.0003,0.099072265625,0.0100206,-0.01125943919760175,-0.011393547058105469,673.5281322479248
8,-158.99114447,1510,106.81,6,12288,50,0.2,-1.2730585157871246,268.99481201171875,0.0003,0.030712890625,0.006549855,-0.0049092505403677935,-0.0013540983200073242,1054.402904510498
9,-152.10997913,1492,114.44,7,14336,60,0.2,-1.2511828161776066,284.3353576660156,0.0003,0.127099609375,0.010810666,-0.008050205826293677,-0.0009633302688598633,535.42438082695
11,-148.15472627,1464,120.29,8,16384,70,0.2,-1.2700535368174315,368.7876281738281,0.0003,0.04921875,0.006993114,-0.005717816286778543,-0.00035321712493896484,690.3434014320374
12,-140.64171753,1429,128.44,9,18432,80,0.2,-1.1863717760890722,888.2225952148438,0.0003,0.13759765625,0.011714984,-0.00915554958046414,3.314018249511719e-05,492.3549208641052
14,-139.16573482,1372,134.16,10,20480,90,0.2,-1.1776077639311553,229.68902587890625,0.0003,0.023681640625,0.0077146855,-0.005314719498710474,0.019039928913116455,301.05512714385986
17,-132.02250023,1284,149.86,11,22528,100,0.2,-1.1700834687799215,270.843017578125,0.0003,0.0646484375,0.006105571,-0.006964919916936196,0.196111261844635,373.78614621162416
19,-130.75528812000002,1277,158.89,12,24576,110,0.2,-1.1526443190872668,90.75096893310547,0.0003,0.02333984375,0.009530608,-0.0030507588235195726,-0.22926342487335205,290.44172298908234
21,-127.21706101,1224,171.67,13,26624,120,0.2,-1.13768021017313,212.64602661132812,0.0003,0.050732421875,0.01018168,-0.004769307673996082,0.1434658169746399,643.6448342323304
24,-127.00226166000002,1183,186.17,14,28672,130,0.2,-1.2023731887340545,140.32095336914062,0.0003,0.017138671875,0.004611109,-0.00385040633045719,0.3916971683502197,278.1058743953705
25,-121.84857963000002,1186,194.72,15,30720,140,0.2,-1.206427114084363,86.722900390625,0.0003,0.048291015625,0.00957929,-0.007397786231740611,-0.12287247180938721,236.16266911029817
27,-118.99897515999997,1188,201.86,16,32768,150,0.2,-1.093550742045045,183.71409606933594,0.0003,0.00341796875,0.0023283595,-0.0025810704682953656,-0.08082866668701172,511.6144994258881
30,-117.36850719999998,1141,216.64,17,34816,160,0.2,-1.0821718901395798,181.52694702148438,0.0003,0.069873046875,0.0079071745,-0.009742702732910401,0.2330622673034668,262.36916189193727
33,-118.18408699,1090,234.26,18,36864,170,0.2,-1.2033834133297205,494.7912902832031,0.0003,0.02421875,0.005332203,-0.0040615064666781105,0.4603424668312073,226.30712654590607
35,-113.61285684999999,1090,243.26,19,38912,180,0.2,-1.265254643931985,47.578369140625,0.0003,0.03017578125,0.007134537,-0.005139816200244241,0.4634970426559448,190.81828904151917
38,-110.47199034000003,1066,256.36,20,40960,190,0.2,-1.105983231961727,106.15757751464844,0.0003,0.045458984375,0.0065299273,-0.008623776374588488,0.3089253306388855,248.81265614032745
40,-110.79572672000002,1069,267.18,21,43008,200,0.2,-1.1643531233072282,42.732112884521484,0.0003,0.056494140625,0.0055313017,-0.0039986318624869455,0.6955328285694122,168.4751706123352
42,-108.47288770999998,1061,278.97,22,45056,210,0.2,-1.0166255386546255,195.40225219726562,0.0003,0.0759765625,0.010530752,-0.005985114270879421,0.44898390769958496,286.709942984581
45,-104.01958288999998,1046,290.63,23,47104,220,0.2,-1.1063449073582887,43.224788665771484,0.0003,0.05673828125,0.007454208,-0.006303284826572053,0.6856286227703094,211.87576582431794
48,-106.97256515000001,1016,307.88,24,49152,230,0.2,-0.9439766498282551,133.44259643554688,0.0003,0.023876953125,0.0049198503,-0.004912463124492205,0.6608501970767975,190.49991630315782
50,-101.83315232,1008,321.76,25,51200,240,0.2,-1.1303926713764667,40.0400505065918,0.0003,0.243212890625,0.017867278,-0.020209525863901946,0.6697365641593933,127.70384930372238
54,-99.06198914999999,978,339.37,26,53248,250,0.2,-1.1449176326394082,21.899059295654297,0.0003,0.1322265625,0.010300501,-0.011788116069510579,0.7756194323301315,84.89805485010147
57,-95.93867831000001,953,356.09,27,55296,260,0.2,-1.0563921412453054,10.170591354370117,0.0003,0.073486328125,0.0075868536,-0.0079513661126839,0.8137602806091309,70.55323712825775
61,-94.92854473000001,938,371.86,28,57344,270,0.2,-1.100438005849719,8.665729522705078,0.0003,0.09375,0.011008284,-0.005360347278474365,0.88003920763731,39.58836458921432
63,-95.22870537,931,384.38,29,59392,280,0.2,-1.0099652560427785,21.03709602355957,0.0003,0.03291015625,0.00566817,-0.0046988992136903105,0.6817639172077179,114.97037435770035
66,-94.8960037,922,391.95,30,61440,290,0.2,-1.0293933169916272,101.96466064453125,0.0003,0.040380859375,0.005127537,-0.003005996419960866,0.607471764087677,158.86823366880418
69,-91.99616008999999,917,412.93,31,63488,300,0.2,-0.9750455498695374,16.931171417236328,0.0003,0.0625,0.0073148664,-0.0058991299039917065,0.7620570957660675,104.98417621850967
73,-88.21562209000001,896,429.32,32,65536,310,0.2,-1.0435027234256267,43.07228469848633,0.0003,0.058349609375,0.0063442113,-0.004952779744053259,0.5872327089309692,135.7344110906124
75,-84.58710754000002,890,440.51,33,67584,320,0.2,-1.0163283780217172,9.673474311828613,0.0003,0.060009765625,0.0067974646,-0.006147823352512205,0.8065911531448364,49.67412922382355
79,-83.40223331000001,878,457.38,34,69632,330,0.2,-0.9960050156340003,51.03048324584961,0.0003,0.039599609375,0.0048482856,-0.0029878537410695572,0.7436444759368896,82.0314707428217
82,-80.90474443,873,471.53,35,71680,340,0.2,-0.9060449844226242,19.93620491027832,0.0003,0.102734375,0.010291444,-0.004651223286055028,0.742895781993866,70.0984659999609
84,-79.97262884,869,485.45,36,73728,350,0.2,-1.07030230127275,12.429636001586914,0.0003,0.086083984375,0.008032417,-0.005484732078912202,0.8159116208553314,68.99701719880105
87,-79.21148277,861,492.55,37,75776,360,0.2,-0.9370220705866814,14.472333908081055,0.0003,0.0490234375,0.005592944,-0.004329023801255971,0.7365781962871552,104.87606808245182
90,-75.63053109,855,509.44,38,77824,370,0.2,-0.8717665052041411,7.673649787902832,0.0003,0.0982421875,0.008821037,-0.005790753061592113,0.7914769798517227,47.712921211123465
93,-76.88569846,851,519.83,39,79872,380,0.2,-0.8707382302731276,31.57223129272461,0.0003,0.1134765625,0.011682162,-0.005678415748116094,0.6767759025096893,90.42765901684761
96,-73.03579584999999,849,530.02,40,81920,390,0.2,-0.847767997160554,10.89546012878418,0.0003,0.043798828125,0.007863782,-0.0048576384389889425,0.7878395915031433,80.80247218310834
99,-73.18646915000001,841,545.27,41,83968,400,0.2,-0.8991684805601835,6.695605278015137,0.0003,0.034423828125,0.0071811182,-0.005110197796602734,0.7966595888137817,78.06350538730621
102,-69.92753707000001,838,561.18,42,86016,410,0.2,-0.8670422883704305,108.4105224609375,0.0003,0.136328125,0.011246073,-0.009533969328913372,0.9183203428983688,38.75166932493448
105,-65.38409888000001,833,577.54,43,88064,420,0.2,-0.8406719651073218,31.18613624572754,0.0003,0.01884765625,0.004437811,-0.0022900284282513896,0.7672402113676071,145.12975696623326
108,-63.278531160000014,827,587.79,44,90112,430,0.2,-0.8204287448897958,28.89452362060547,0.0003,0.061181640625,0.0061886567,-0.007905438830130151,0.851445198059082,57.09527467489242
111,-55.672137430000014,824,607.38,45,92160,440,0.2,-0.8213710332289338,204.3461456298828,0.0003,0.099951171875,0.02389399,-0.00948843653750373,0.5421412587165833,184.07331076860427
114,-49.95083854000001,822,622.32,46,94208,450,0.2,-0.9256800226867199,32.91991424560547,0.0003,0.035986328125,0.009605605,-0.006020119271852309,0.3762778639793396,229.5548507153988
117,-43.28028333,816,637.18,47,96256,460,0.2,-0.7752966510131956,22.97747230529785,0.0003,0.0306640625,0.0029538458,-0.0019711901295522694,0.3978191614151001,194.0339518070221
120,-35.92208372,813,638.11,48,98304,470,0.2,-0.9334853393957019,523.4532470703125,0.0003,0.05380859375,0.008282263,-0.0028206767950905488,0.4456157684326172,154.12343378067015
123,-29.0670499,812,635.37,49,100352,480,0.2,-0.8868674973025918,330.2126159667969,0.0003,0.057666015625,0.005298107,-0.0023260469148226547,0.2720676064491272,196.4818235039711
126,-26.567642050000003,811,647.67,50,102400,490,0.2,-0.80635618660599,74.18434143066406,0.0003,0.0341796875,0.0040755672,-0.003070237012434518,0.35059696435928345,129.474955368042
128,-21.39501264,811,656.59,51,104448,500,0.2,-0.8261895276606083,327.45440673828125,0.0003,0.043115234375,0.004592951,-0.002153268555412069,0.3283422589302063,173.54177800416946
131,-16.31104454,809,659.87,52,106496,510,0.2,-0.8661750117316842,141.4940948486328,0.0003,0.027734375,0.0029258516,-0.0029692054937186184,0.3943188190460205,179.9247372686863
133,-7.472413010000001,811,670.17,53,108544,520,0.2,-0.7806899171322584,24.40865135192871,0.0003,0.051806640625,0.005913823,-0.0026790470594278302,0.24808090925216675,131.74920507371425
136,1.5418644299999982,811,680.33,54,110592,530,0.2,-0.7927166786044836,107.5561752319336,0.0003,0.0236328125,0.0034299493,-0.002148503808712121,0.16058701276779175,263.6430028140545
138,8.197652190000001,813,686.95,55,112640,540,0.2,-0.8667943866923451,57.38273239135742,0.0003,0.0947265625,0.010298416,-0.0071422091816202736,0.34795188903808594,181.7882866203785
140,13.973743700000002,816,690.27,56,114688,550,0.2,-0.731353885307908,271.75775146484375,0.0003,0.030859375,0.0065413434,-0.0018670657147595194,0.40258628129959106,137.26144987940788
142,18.21549731,816,685.6,57,116736,560,0.2,-0.8901282886043191,78.83855438232422,0.0003,0.035400390625,0.005812512,-0.007932146413077134,0.217382550239563,309.6037809550762
145,24.059720130000002,817,675.17,58,118784,570,0.2,-0.7688537877053022,77.18231201171875,0.0003,0.065185546875,0.0056717936,-0.002075307397171855,0.34642016887664795,184.4322517156601
147,28.95013013,818,648.05,59,120832,580,0.2,-0.8815469421446324,92.93384552001953,0.0003,0.06611328125,0.006799901,-0.004895594288245775,0.4050588011741638,163.8734353005886
149,34.98435304,820,641.16,60,122880,590,0.2,-0.7603169655427336,21.41213607788086,0.0003,0.07353515625,0.008275394,-0.004670600356621435,0.33962923288345337,178.8766961365938
152,33.55609466000001,821,633.34,61,124928,600,0.2,-0.8199999365955591,27.96100616455078,0.0003,0.036572265625,0.0049139466,-0.004343740257900209,0.35828113555908203,179.2630050957203
154,39.90566524,820,634.31,62,126976,610,0.2,-0.7531957408413291,97.9476547241211,0.0003,0.055517578125,0.011589894,-0.003240911105967825,0.27393341064453125,209.2992734670639
156,41.43859504,822,619.4,63,129024,620,0.2,-0.763099811784923,23.802988052368164,0.0003,0.048388671875,0.0050654365,-0.0033989907624345506,0.4770577549934387,102.65713909268379
159,42.80406226,819,617.09,64,131072,630,0.2,-0.7934756755828858,33.01971435546875,0.0003,0.0412109375,0.0057358784,-0.004028704545999062,0.557990163564682,183.08358842134476
162,43.16593009,819,612.7,65,133120,640,0.2,-0.8372664477676153,14.430042266845703,0.0003,0.055029296875,0.005546676,-0.003132390863902401,0.5404411256313324,167.20425806045532
164,43.20849429,819,613.95,66,135168,650,0.2,-0.825425673276186,15.723997116088867,0.0003,0.053564453125,0.007241313,-0.00344467751274351,0.4223073720932007,195.90352460741997
167,44.61111465,819,605.86,67,137216,660,0.2,-0.9131000306457281,101.0553207397461,0.0003,0.099609375,0.008558491,-0.005254317153594456,0.6937617659568787,84.97993003427982
171,45.4218779,810,602.34,68,139264,670,0.2,-0.7933487145230174,64.50596618652344,0.0003,0.045556640625,0.0061284234,-0.0028811049451178405,0.6649271249771118,98.818155631423
175,47.87537804000001,804,611.58,69,141312,680,0.2,-0.9473411010578274,12.262382507324219,0.0003,0.053662109375,0.004600298,-0.002262694458477199,0.8129342347383499,42.000485868752
