time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss
1,2340,99.45,0,2048,-169.72299955,,,,,,,,,,
2,1763,97.11904761904762,2,4096,-158.62356864285715,0.006235919,1547.1860786437987,0.0003,-1.3840258322656154,0.01181640625,546.2996215820312,0.2,0.0004050731658935547,10,-0.004637273853586521
3,1616,103.08474576271186,3,6144,-161.28679008474577,0.0078120516,1610.1561515808105,0.0003,-1.369319224357605,0.027001953125,703.19287109375,0.2,-0.03550601005554199,20,-0.009742996856220997
4,1551,106.55263157894737,5,8192,-154.97359567105264,0.010585429,1093.7972531318665,0.0003,-1.3381785407662392,0.08837890625,582.5692749023438,0.2,-0.03244006633758545,30,-0.008061713312054053
5,1520,107.46315789473684,6,10240,-156.09621509473686,0.007866417,773.3100472450257,0.0003,-1.3465161077678203,0.0396484375,288.931640625,0.2,-0.006258130073547363,40,-0.004282658219744917
6,1503,108.22,8,12288,-154.21246212,0.008346733,810.2824568748474,0.0003,-1.3385425832122564,0.06806640625,261.54345703125,0.2,-0.0008522272109985352,50,-0.0019563510752050204
7,1491,113.03,9,14336,-153.76954288000002,0.012362123,474.0743989467621,0.0003,-1.3234250124543905,0.08955078125,306.3109436035156,0.2,-0.00010859966278076172,60,-0.010755179975240026
8,1403,122.37,11,16384,-150.2795741,0.0065635936,971.8709483146667,0.0003,-1.3234791859984398,0.02109375,487.08941650390625,0.2,-0.002596259117126465,70,-0.002881977182551054
9,1403,122.74,13,18432,-146.83453039999998,0.0038722437,369.048344373703,0.0003,-1.3370331920683385,0.00966796875,70.15918731689453,0.2,0.010467708110809326,80,-0.003327663922391366
10,1400,125.12,14,20480,-149.29702049,0.012560058,493.3428834199905,0.0003,-1.268206724151969,0.09990234375,169.68772888183594,0.2,-0.013797521591186523,90,-0.010243848509708187
11,1394,129.28,16,22528,-150.11341626,0.0095855165,394.05562233924866,0.0003,-1.2557810328900814,0.02705078125,161.32492065429688,0.2,0.03583025932312012,100,-0.0056118292020983064
12,1382,139.34,17,24576,-152.95160331,0.009351528,396.4949625968933,0.0003,-1.1840618383139372,0.044580078125,155.21133422851562,0.2,0.06763952970504761,110,-0.008085543380002492
13,1376,148.69,19,26624,-143.39710157,0.006859052,590.8532434463501,0.0003,-1.1898328110575676,0.053662109375,229.17343139648438,0.2,0.054255545139312744,120,-0.005398966294160345
14,1367,158.82,20,28672,-139.72123767,0.0076136645,306.6646661043167,0.0003,-1.1616073969751597,0.030517578125,119.01851654052734,0.2,0.09508121013641357,130,-0.005666751530952752
15,1355,169.2,22,30720,-139.26150741,0.0047348267,431.0834935665131,0.0003,-1.1745354492217301,0.018115234375,304.3277282714844,0.2,0.07705283164978027,140,-0.005126563939847983
16,1348,180.27,24,32768,-135.19813062,0.007705279,259.48568539619447,0.0003,-1.1302174910902978,0.0685546875,96.24939727783203,0.2,0.25588512420654297,150,-0.006481323284242535
17,1338,182.9,26,34816,-136.39192387,0.007190029,348.5033957481384,0.0003,-1.1048427313566207,0.0228515625,155.35853576660156,0.2,0.2920212149620056,160,-0.003755051475309301
18,1330,194.74,27,36864,-126.64396821,0.007497101,413.8018756389618,0.0003,-1.1010486237704753,0.05615234375,145.5521697998047,0.2,0.559162437915802,170,-0.005770867026876658
19,1277,208.5,30,38912,-126.80782166,0.00906619,271.0533406972885,0.0003,-1.126439031586051,0.126318359375,135.4615936279297,0.2,0.6331149041652679,180,-0.01387237879098393
20,1272,218.26,32,40960,-125.11710767000001,0.009117629,132.0568627357483,0.0003,-1.1595341440290212,0.05966796875,41.40225601196289,0.2,0.7122120559215546,190,-0.004710097496717936
21,1254,229.2,34,43008,-120.27467842,0.0037120627,441.745839881897,0.0003,-1.1051307700574398,0.01220703125,212.09133911132812,0.2,0.043508946895599365,200,-0.0027393985590606464
22,1250,239.34,36,45056,-118.1906003,0.009709811,194.28322318792343,0.0003,-1.0763182450085877,0.105517578125,80.88957214355469,0.2,0.6481830775737762,210,-0.009691412506799679
23,1242,247.59,37,47104,-118.70709027999997,0.0065004714,187.9498288154602,0.0003,-1.0615696877241134,0.067626953125,47.61481475830078,0.2,0.6087400615215302,220,-0.006571687529503834
24,1221,265.09,40,49152,-111.15875258,0.008942504,254.01281838417054,0.0003,-1.037756689824164,0.07783203125,64.48208618164062,0.2,0.5021410882472992,230,-0.00932816217537038
25,1220,268.4,41,51200,-111.17831950000001,0.010052579,95.78578487038612,0.0003,-1.0741638347506524,0.096435546875,15.95744514465332,0.2,0.8187356144189835,240,-0.01187517264552298
26,1209,270.07,44,53248,-111.44524072999998,0.0078000473,161.75567883253098,0.0003,-1.0777594491839408,0.06455078125,121.63652038574219,0.2,0.7471762299537659,250,-0.007694015800370835
27,1194,289.19,46,55296,-107.67542553999999,0.010080032,114.83615134954452,0.0003,-1.0673249680548906,0.073388671875,22.651935577392578,0.2,0.8452867865562439,260,-0.0038602639680902938
28,1180,301.69,48,57344,-104.42033056,0.009898679,139.85636011362075,0.0003,-0.9800965698435903,0.134228515625,58.71627426147461,0.2,0.8415968269109726,270,-0.007053925551008433
29,1173,304.54,50,59392,-102.18536917,0.008903349,142.196335875988,0.0003,-0.9679890794679522,0.1009765625,78.91552734375,0.2,0.7596644163131714,280,-0.009070297551807016
30,1145,316.92,53,61440,-101.48379913000001,0.007800052,164.43521087169648,0.0003,-0.9636754924431443,0.083984375,27.971296310424805,0.2,0.8329359292984009,290,-0.007106774285057326
31,1113,332.36,57,63488,-98.85068873999998,0.006405834,225.24609357118607,0.0003,-0.9796646501868963,0.045361328125,194.46145629882812,0.2,0.7167908847332001,300,-0.00531028700133902
32,1103,340.61,59,65536,-94.57522585000002,0.0059994785,103.38947532773018,0.0003,-0.9493016749620438,0.058447265625,12.104531288146973,0.2,0.7773453742265701,310,-0.00998481100614299
33,1098,354.43,61,67584,-93.15624884000003,0.007396116,114.42253900170326,0.0003,-0.9344261651858687,0.08544921875,19.647911071777344,0.2,0.7823633104562759,320,-0.009806507744360714
34,1078,370.77,64,69632,-91.44640328999999,0.010151932,88.48556785583496,0.0003,-0.9107074916362763,0.063623046875,24.510112762451172,0.2,0.8561573773622513,330,-0.006514239984971937
35,1056,378.29,67,71680,-90.35492494,0.008523459,94.67098284959793,0.0003,-0.9035344680771231,0.070361328125,61.33722686767578,0.2,0.7907996624708176,340,-0.004709986623493023
36,1037,395.45,71,73728,-90.81123905000003,0.005805891,104.44190364480019,0.0003,-0.8357036082074046,0.04775390625,10.338947296142578,0.2,0.6962674260139465,350,-0.004674796580366092
37,1018,405.32,74,75776,-86.86875798999999,0.0074515967,90.98915187120437,0.0003,-0.9568001622334122,0.07099609375,44.626956939697266,0.2,0.7936809360980988,360,-0.007301402054145001
38,1002,419.96,77,77824,-84.0910617,0.012207257,37.97953243404627,0.0003,-0.8923417007550597,0.124951171875,6.608077526092529,0.2,0.8813206478953362,370,-0.007382254284311785
39,978,442.61,81,79872,-80.35431926999999,0.0055656685,37.36701274439692,0.0003,-0.892306337505579,0.0416015625,9.972274780273438,0.2,0.8486770838499069,380,-0.004000292446289677
40,975,453.79,83,81920,-80.96904746,0.011190757,58.42192288935185,0.0003,-1.0223739033564925,0.1767578125,7.528913497924805,0.2,0.7925895899534225,390,-0.01182489942511893
41,962,464.59,87,83968,-80.00412053999999,0.010504365,95.85942732989788,0.0003,-0.830413556098938,0.107666015625,11.043643951416016,0.2,0.7765762805938721,400,-0.01000003976514563
42,949,474.54,90,86016,-79.79751115999998,0.0030723594,96.35526886582375,0.0003,-0.8680733483284712,0.01552734375,12.132913589477539,0.2,0.6361664235591888,410,-0.002034476160770282
43,930,485.08,94,88064,-75.41722418999998,0.008013098,89.98767321407794,0.0003,-0.9323380155488848,0.082373046875,5.428829669952393,0.2,0.7275305390357971,420,-0.0045111505896784365
