time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction
0,-155.9476844782609,2048,2280,87.56521739130434,1,,,,,,,,,,
2,-148.2604736511628,4096,1733,93.83720930232558,2,-1.3788338541984557,0.0003,2131.2792221069335,-0.011861630207567942,968.3201904296875,10,0.2,0.003209829330444336,0.011808202,0.0587890625
3,-154.80715974193546,6144,1610,97.95161290322581,3,-1.363876623287797,0.0003,819.7701916694641,-0.006441753691615304,304.3324890136719,20,0.2,-0.026595115661621094,0.008596716,0.030419921875
5,-153.13430298765434,8192,1555,100.72839506172839,4,-1.3438717428594829,0.0003,949.7545855522155,-0.009148765770805766,605.8624267578125,30,0.2,-0.025853276252746582,0.012981827,0.142822265625
6,-152.18214683505155,10240,1510,104.3917525773196,5,-1.3263806093484163,0.0003,1024.749674320221,-0.004393751421594061,506.53057861328125,40,0.2,-0.023932456970214844,0.004610532,0.024755859375
8,-148.05324717000002,12288,1481,110.29,6,-1.3007444392889738,0.0003,593.8679125785827,-0.0020669335965067146,233.34024047851562,50,0.2,-0.00022423267364501953,0.0061948793,0.006591796875
9,-145.57293797,14336,1459,117.1,7,-1.2952488217502833,0.0003,645.7520460128784,-0.003092525499232579,251.04019165039062,60,0.2,-0.0013805627822875977,0.008118134,0.017236328125
11,-139.66454939000002,16384,1426,125.57,8,-1.2808871783316136,0.0003,1063.0500030517578,-0.004542320580367232,301.10589599609375,70,0.2,-0.009823203086853027,0.0071909735,0.05234375
13,-137.28616791,18432,1412,130.53,9,-1.22908614911139,0.0003,584.1894103050232,-0.005843456805450842,314.9629821777344,80,0.2,-0.0007025003433227539,0.008777197,0.093994140625
14,-130.94554775,20480,1400,137.96,10,-1.2012138091027738,0.0003,962.7111613750458,-0.0017893702533910982,690.02783203125,90,0.2,-0.0015217065811157227,0.008166888,0.051220703125
16,-129.50947843,22528,1395,143.69,11,-1.2257110323756932,0.0003,570.2930609226227,-0.0038497927656862886,252.14537048339844,100,0.2,-0.00029218196868896484,0.0051728208,0.082421875
17,-126.73321516,24576,1392,146.07,12,-1.1812325041741132,0.0003,676.956407737732,-0.007163455030240584,1062.2926025390625,110,0.2,-1.6808509826660156e-05,0.009502128,0.065869140625
19,-124.37613846999999,26624,1389,151.05,13,-1.195038092881441,0.0003,546.2935315608978,-0.006351568341779057,161.40274047851562,120,0.2,-1.1920928955078125e-06,0.004720671,0.025439453125
20,-127.22208855,28672,1383,151.12,14,-1.165204407274723,0.0003,580.5199691772461,-0.005250106607854832,255.30990600585938,130,0.2,-7.128715515136719e-05,0.010364663,0.068310546875
22,-133.20789864,30720,1380,153.12,15,-1.1397263865917922,0.0003,473.8423822402954,-0.00945642231963575,142.81455993652344,140,0.2,-3.5762786865234375e-07,0.008954609,0.08701171875
23,-130.47334735,32768,1376,154.83,16,-1.1713095355778933,0.0003,535.613099527359,-0.0023078472600900567,357.43115234375,150,0.2,-4.410743713378906e-06,0.00494324,0.01533203125
25,-128.46135493000003,34816,1372,154.23,17,-1.145238545909524,0.0003,330.66442160606385,-0.009145264826656785,166.34510803222656,160,0.2,-4.76837158203125e-06,0.0069333613,0.071630859375
27,-129.18237981000001,36864,1363,161.26,18,-1.093802911788225,0.0003,546.9237399101257,-0.007682543312694179,151.6543426513672,170,0.2,-6.4849853515625e-05,0.013283689,0.0521484375
