rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_fraction,train/explained_variance
-159.12777457142857,2048,1,0,2373,93.85714285714286,,,,,,,,,,
-162.25435123809524,4096,2,2,1783,96.11904761904762,10,0.0003,-0.003691222610359546,576.2180786132812,0.2,0.0035657454,-1.3848149362951516,2065.846444129944,0.003564453125,-0.0018172264099121094
-156.93727187500002,6144,3,3,1656,94.703125,20,0.0003,-0.00785390393139096,528.716796875,0.2,0.011341444,-1.3787592235952615,1441.8580463409423,0.06337890625,-0.015480875968933105
-159.06423290361445,8192,4,5,1593,98.37349397590361,30,0.0003,-0.00895277225645259,572.0379028320312,0.2,0.0069081048,-1.3617660906165838,1177.7971242904664,0.05654296875,-0.002125859260559082
-155.74984832,10240,5,6,1560,97.84,40,0.0003,-0.005247954809601651,340.82470703125,0.2,0.007069935,-1.3593576472252606,1027.9951778411864,0.02236328125,-0.019029974937438965
-159.45205554999998,12288,6,7,1536,101.48,50,0.0003,-0.006285871878208127,452.8108215332031,0.2,0.008725595,-1.334482928365469,834.7222578048707,0.07099609375,-0.0013335943222045898
-156.92241323,14336,7,9,1519,104.56,60,0.0003,-0.005299988848855719,379.78594970703125,0.2,0.0077732773,-1.3236886378377677,966.4584380149842,0.04267578125,-0.0006361007690429688
-155.25916983,16384,8,10,1505,108.01,70,0.0003,-0.007266575357061811,822.8815307617188,0.2,0.009791065,-1.3098666977137328,901.3313272953034,0.123583984375,-0.00423431396484375
-156.7654589,18432,9,12,1487,112.2,80,0.0003,-0.0056886731203121595,172.9998016357422,0.2,0.010640958,-1.2920053515583276,916.9157781124115,0.103759765625,-0.00022399425506591797
-156.31200311,20480,10,13,1477,117.31,90,0.0003,-0.006153647354221903,578.6641845703125,0.2,0.0077091805,-1.2561256919056176,728.1015572547913,0.070703125,2.4378299713134766e-05
-155.30186684000003,22528,11,15,1470,122.27,100,0.0003,-0.006350486171140801,289.7503662109375,0.2,0.006684918,-1.2415362868458033,752.3784234046936,0.0404296875,0.015619099140167236
-148.09850479999997,24576,12,16,1463,123.01,110,0.0003,-0.00585638038610341,415.30419921875,0.2,0.0076080747,-1.259299824014306,897.4990551948547,0.042431640625,0.03603851795196533
-149.04437500999998,26624,13,18,1455,127.62,120,0.0003,-0.0057000475491804535,321.43927001953125,0.2,0.009691853,-1.2222396794706583,434.9648307800293,0.03525390625,0.06298202276229858
-146.17213368,28672,14,19,1448,132.2,130,0.0003,-0.005274741853645537,229.6213836669922,0.2,0.0072127776,-1.2143912497907876,729.2428721427917,0.02412109375,0.09158223867416382
-142.22541091000002,30720,15,21,1442,135.3,140,0.0003,-0.006102946189639624,194.22569274902344,0.2,0.0064677736,-1.2144687201827764,446.91756296157837,0.039453125,0.16098171472549438
-140.01384193,32768,16,22,1436,138.09,150,0.0003,-0.010796821873373118,317.1436767578125,0.2,0.008418797,-1.1958939496427774,673.4142108917237,0.07509765625,0.2253686785697937
-139.91629625,34816,17,24,1430,141.0,160,0.0003,-0.007084586963173933,163.12876892089844,0.2,0.0074305674,-1.17526323646307,440.4629629611969,0.04267578125,0.24433350563049316
-135.61486423,36864,18,25,1422,145.51,170,0.0003,-0.014804395730607212,111.22775268554688,0.2,0.014353911,-1.153413612395525,387.6723042011261,0.177490234375,0.07207036018371582
-132.36470636,38912,19,27,1414,153.85,180,0.0003,-0.006720051375305047,498.5655822753906,0.2,0.011753305,-1.1177228674292565,404.48151364326475,0.080517578125,-0.004333615303039551
-129.18733247000003,40960,20,29,1409,158.74,190,0.0003,-0.0046802421098618655,144.45510864257812,0.2,0.00489611,-1.1511852577328683,329.9585612297058,0.028369140625,0.14114683866500854
-130.91792688,43008,21,31,1375,160.93,200,0.0003,-0.006736261723563075,167.9435272216797,0.2,0.007602603,-1.1238187089562417,398.2910842895508,0.037890625,0.07749670743942261
-125.82912482000003,45056,22,34,1308,179.99,210,0.0003,-0.007877513083803933,136.54124450683594,0.2,0.010075397,-1.096850685030222,289.70171573162077,0.087451171875,0.19630318880081177
-125.73340358000002,47104,23,36,1281,192.52,220,0.0003,-0.008483244059607386,62.562034606933594,0.2,0.007864312,-1.147369282692671,195.3798146009445,0.06083984375,0.37856823205947876
-120.66021475000001,49152,24,38,1261,204.46,230,0.0003,-0.0053341704260674305,65.25212860107422,0.2,0.010289814,-1.169142695516348,231.7582404613495,0.0861328125,0.41436702013015747
-117.83903129999999,51200,25,41,1222,214.18,240,0.0003,-0.007185153871250805,117.05565643310547,0.2,0.00784628,-1.134645851328969,255.33787503242493,0.044140625,0.41456329822540283
-116.04074741000001,53248,26,44,1196,232.24,250,0.0003,-0.006940545646648389,63.239986419677734,0.2,0.008350026,-1.1242971036583185,138.02020672559738,0.054296875,0.473860502243042
-110.92567018000001,55296,27,47,1161,248.81,260,0.0003,-0.005707741672813427,35.389068603515625,0.2,0.0049822684,-1.0597864558920265,121.57752841711044,0.041259765625,0.564091295003891
-110.81930489000003,57344,28,50,1146,267.0,270,0.0003,-0.010843559133354575,288.0673522949219,0.2,0.010933647,-1.2289958357810975,99.87941971421242,0.182763671875,0.619970440864563
-110.23994809,59392,29,51,1142,278.94,280,0.0003,-0.0041223730280762535,44.78514862060547,0.2,0.0062677646,-1.1137201830744743,185.9768455862999,0.029345703125,0.45161378383636475
-106.11496517999998,61440,30,54,1134,292.83,290,0.0003,-0.005074517343746266,159.27911376953125,0.2,0.004131014,-1.012992995418608,251.256352519989,0.023291015625,0.3711082935333252
-106.10490248,63488,31,56,1127,301.61,300,0.0003,-0.00860991272238607,37.8590087890625,0.2,0.011221748,-1.0656654980033635,260.0957992553711,0.1037109375,0.380293607711792
-101.35636303,65536,32,59,1107,320.64,310,0.0003,-0.006115223912638612,108.43702697753906,0.2,0.004448653,-1.046890559233725,227.10778677463531,0.031884765625,0.4192129373550415
-99.59636446,67584,33,61,1105,331.61,320,0.0003,-0.004371849458402721,256.9624328613281,0.2,0.0060360404,-1.1120583791285754,160.95909571051598,0.044873046875,0.4430686831474304
-96.74195337,69632,34,62,1106,341.71,330,0.0003,-0.005138017643184866,75.58602905273438,0.2,0.007797127,-1.0072020638734103,270.77067103385923,0.0685546875,0.2864784002304077
