rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates,train/policy_gradient_loss
85.26086956521739,1,0,2048,2343,-160.02951652173914,,,,,,,,,,
86.1063829787234,2,2,4096,1769,-174.7322788723404,0.2,0.004367351531982422,0.0069097076,1400.789334487915,0.0003,0.010302734375,-1.3834717951714992,535.7823486328125,10,-0.005342429928714409
85.26388888888889,3,3,6144,1645,-168.2783347361111,0.2,-0.012680292129516602,0.0093281325,1132.697880935669,0.0003,0.04296875,-1.3659227982163429,303.6614990234375,20,-0.00804974959610263
94.26744186046511,4,5,8192,1484,-168.1584749767442,0.2,-0.0048482418060302734,0.0069294083,1472.7025114059447,0.0003,0.021533203125,-1.3644753403961658,868.9595947265625,30,-0.006758888157492038
94.92,5,6,10240,1479,-167.58233625999998,0.2,0.030336737632751465,0.008897303,501.5119024515152,0.0003,0.094873046875,-1.3711054679006338,144.82958984375,40,-0.01043041452212492
96.83,6,8,12288,1467,-167.05796531000004,0.2,-0.024665355682373047,0.009295323,552.222570180893,0.0003,0.10107421875,-1.3563970126211644,152.45533752441406,50,-0.009517968312138692
97.46,7,9,14336,1464,-166.73223791,0.2,-0.01205456256866455,0.011789992,699.8682315349579,0.0003,0.08603515625,-1.3452800817787647,937.4976806640625,60,-0.01087010105184163
101.98,8,11,16384,1461,-167.70830173,0.2,-0.006101250648498535,0.013491856,647.9488924026489,0.0003,0.12548828125,-1.315070240944624,507.0164489746094,70,-0.007257173123798566
98.79,9,12,18432,1457,-165.39742643000002,0.2,-6.878376007080078e-05,0.0046408502,572.4177302360534,0.0003,0.04443359375,-1.3031961992383003,143.09710693359375,80,-0.003216342096857261
104.55,10,14,20480,1451,-165.37804770000002,0.2,-0.003750443458557129,0.0075086956,496.12490067481997,0.0003,0.038232421875,-1.2799142863601447,204.41802978515625,90,-0.005453316264174645
111.04,11,15,22528,1443,-161.98336361999998,0.2,0.0279809832572937,0.010209598,330.3238931655884,0.0003,0.02646484375,-1.2397735841572284,344.364013671875,100,-0.007693736731744139
120.41,12,17,24576,1434,-151.46688737,0.2,-0.04920029640197754,0.01310657,600.8262821674347,0.0003,0.039208984375,-1.1940804921090602,207.9238739013672,110,-0.006577803162508644
133.18,13,18,26624,1417,-145.11292674,0.2,0.03854244947433472,0.0052988697,380.898202419281,0.0003,0.01298828125,-1.1748636696487664,189.55438232421875,120,-0.0036191309642163104
143.92,14,20,28672,1407,-143.1140573,0.2,0.03653830289840698,0.0056411326,506.5918927192688,0.0003,0.04541015625,-1.1595240231603383,231.93185424804688,130,-0.009618067579867783
153.04,15,21,30720,1397,-137.18341048,0.2,0.07356667518615723,0.003837842,477.4452021121979,0.0003,0.01044921875,-1.1332869306206703,236.83187866210938,140,-0.0034281061751244126
161.36,16,23,32768,1393,-133.41376659,0.2,0.11485874652862549,0.009532079,454.0921725273132,0.0003,0.055078125,-1.1759231805801391,123.84595489501953,150,-0.007731368976237718
167.76,17,25,34816,1389,-131.01628922,0.2,0.15265119075775146,0.0071914755,427.43819251060484,0.0003,0.038623046875,-1.1443083226680755,128.67840576171875,160,-0.008777716573968064
175.18,18,26,36864,1379,-131.02846598,0.2,0.21163564920425415,0.007623996,397.337144613266,0.0003,0.03310546875,-1.09797837510705,222.71945190429688,170,-0.005810438051412348
190.3,19,28,38912,1349,-125.23794163000001,0.2,0.13125675916671753,0.0064419084,478.7817053794861,0.0003,0.042578125,-1.0857805781066419,168.15505981445312,180,-0.008094154596619774
205.22,20,31,40960,1302,-121.62441604999998,0.2,0.30284279584884644,0.013476882,192.1415727376938,0.0003,0.130859375,-1.0941745657473803,63.26520538330078,190,-0.009319448595124413
220.21,21,34,43008,1247,-119.99864188000001,0.2,0.19507545232772827,0.009077356,178.2681988120079,0.0003,0.0857421875,-1.0118641218170523,150.37002563476562,200,-0.008479587602050743
231.1,22,37,45056,1212,-117.10949889000001,0.2,0.12845873832702637,0.0076656174,159.82209928035735,0.0003,0.091064453125,-1.1639697030186653,67.08496856689453,210,-0.006613547464075964
246.57,23,39,47104,1188,-115.12491797000001,0.2,0.12069779634475708,0.0071725207,234.42731835842133,0.0003,0.048388671875,-0.929754220880568,144.70286560058594,220,-0.0067479001489118675
254.82,24,41,49152,1175,-112.56302358999997,0.2,0.13441866636276245,0.008722236,324.47662034034727,0.0003,0.0509765625,-1.0248056296259165,140.70852661132812,230,-0.005220776175701758
271.31,25,44,51200,1140,-110.25157635000001,0.2,0.3039921522140503,0.006188649,236.67225074768066,0.0003,0.03310546875,-0.9621663419529796,94.22870635986328,240,-0.006091662950348109
281.8,26,46,53248,1133,-108.88692643,0.2,0.19118928909301758,0.0061850566,170.5286531686783,0.0003,0.072509765625,-0.8651176862418651,173.43714904785156,250,-0.005867949589446653
296.05,27,50,55296,1104,-104.24234632,0.2,0.22816473245620728,0.007630167,325.2580851316452,0.0003,0.030078125,-0.9885752798989416,146.71766662597656,260,-0.004540159675525501
306.46,28,53,57344,1074,-105.25150359000001,0.2,0.3539261817932129,0.0065519633,116.13993090391159,0.0003,0.04453125,-0.9983843823894858,33.258277893066406,270,-0.004007901285513071
326.2,29,56,59392,1058,-103.65095829,0.2,0.5619791746139526,0.00443183,148.59098286628722,0.0003,0.033642578125,-0.6860650923103094,25.892553329467773,280,-0.0060309341541142205
338.09,30,58,61440,1041,-99.58183478000001,0.2,0.3550126552581787,0.009000693,152.80231889486313,0.0003,0.100439453125,-1.0048281287774443,47.154510498046875,290,-0.008419030393997672
352.25,31,61,63488,1039,-101.31824656,0.2,0.49892860651016235,0.009832302,97.07027431726456,0.0003,0.093017578125,-1.087513290718198,22.602378845214844,300,-0.003235893920646049
367.05,32,64,65536,1020,-98.60079304999998,0.2,0.4383164048194885,0.005461794,285.1957094192505,0.0003,0.033349609375,-0.9477835580706596,87.13676452636719,310,-0.0033323701441986485
379.87,33,67,67584,997,-98.70636479999999,0.2,0.5140277147293091,0.007463374,137.93418660759926,0.0003,0.072265625,-1.0521043173968792,79.9648208618164,320,-0.003492212974379072
392.26,34,71,69632,978,-95.76728465000001,0.2,0.7077412009239197,0.0064409124,104.0583295404911,0.0003,0.032421875,-0.9713829454034567,27.307302474975586,330,-0.0036111709880060515
409.72,35,74,71680,961,-91.40459402,0.2,0.6437548696994781,0.00974976,49.83485795855522,0.0003,0.1091796875,-1.0704744666814805,11.557401657104492,340,-0.007381813917891123
429.39,36,78,73728,936,-91.40067346999999,0.2,0.8116568177938461,0.009528883,23.01764322370291,0.0003,0.1015625,-1.0332228042185307,5.123752593994141,350,-0.009406461304752155
445.3,37,82,75776,916,-88.88445855,0.2,0.6900050640106201,0.005626239,76.44606629908085,0.0003,0.0365234375,-1.0477690279483796,24.317419052124023,360,-0.0030602686398196965
461.42,38,85,77824,910,-88.37923012000002,0.2,0.7992378622293472,0.0064959927,31.8845250710845,0.0003,0.071630859375,-1.0471933735534549,7.508853435516357,370,-0.004592692586447811
476.42,39,88,79872,899,-84.00065341999999,0.2,0.7834478169679642,0.006082045,53.296856293082236,0.0003,0.0908203125,-1.032481031678617,37.50811767578125,380,-0.0074515028114547025
