rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/loss
93.38095238095238,-150.3460835714286,2303,2048,1,0,,,,,,,,,,
96.61904761904762,-158.3344165714286,1746,4096,2,2,-0.0069699491214123555,0.009005234,0.0642578125,0.0003,0.2,-1.3811441138386726,1740.3001880645752,10,0.010258018970489502,456.7261047363281
94.23076923076923,-157.47255532307693,1628,6144,3,3,-0.005585932915710146,0.007965861,0.028955078125,0.0003,0.2,-1.3742496721446513,1576.385848426819,20,-0.04961097240447998,485.1155090332031
93.49425287356321,-161.19407028735628,1577,8192,4,5,-0.004740260548715014,0.008297417,0.035791015625,0.0003,0.2,-1.3563530068844556,846.1828529357911,30,-0.0011615753173828125,440.78778076171875
91.19,-167.73186969999998,1546,10240,5,6,-0.007264562798809493,0.007848466,0.05322265625,0.0003,0.2,-1.3468312568962575,692.4482863426208,40,-0.0017004013061523438,279.37139892578125
91.44,-167.82974439999998,1523,12288,6,8,-0.010821104436763563,0.008810896,0.101953125,0.0003,0.2,-1.3443432949483394,708.0888812541962,50,0.002530217170715332,187.2709503173828
92.01,-172.56716156,1508,14336,7,9,-0.0074975643961806785,0.008933242,0.021044921875,0.0003,0.2,-1.3544548872858286,612.1570767402649,60,-0.0007462501525878906,155.73321533203125
94.68,-166.62603134,1491,16384,8,10,-0.012336458824574948,0.010782236,0.14990234375,0.0003,0.2,-1.3063237696886063,504.52643208503724,70,0.00046819448471069336,122.96479797363281
100.94,-158.98096677,1476,18432,9,12,-0.009756711087538861,0.011111185,0.094287109375,0.0003,0.2,-1.286633525788784,323.72835783958436,80,-0.017669320106506348,106.99990844726562
108.37,-154.02663818000002,1466,20480,10,13,-0.011527556233340874,0.012567646,0.118994140625,0.0003,0.2,-1.2368858501315116,471.44727716445925,90,0.03256028890609741,246.1599884033203
118.3,-145.33926774000003,1453,22528,11,15,-0.005884187848278088,0.0098836925,0.063427734375,0.0003,0.2,-1.2093697298318147,464.9957931518555,100,0.012430906295776367,237.25741577148438
