time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range
2264,0,1,88.77272727272727,-177.20077413636363,2048,,,,,,,,,,
1696,2,2,90.4,-163.20924277777777,4096,0.0069179297,584.4415283203125,1179.3231328964234,0.008560657501220703,0.0003,10,-1.3833668019622565,0.003662109375,-0.0044479145406512545,0.2
1582,3,3,91.38805970149254,-161.3265740149254,6144,0.0016350129,1204.684326171875,2855.682680130005,0.009677767753601074,0.0003,20,-1.377069377526641,0.0,-0.0010763151636638212,0.2
1547,5,4,91.33707865168539,-161.06155758426965,8192,0.008817637,628.2074584960938,2002.878498840332,0.0013283491134643555,0.0003,30,-1.3748253647238016,0.027978515625,-0.0064845982516999355,0.2
1528,6,5,91.07,-165.65989804999998,10240,0.011925684,371.16290283203125,942.7808724403382,-0.0011529922485351562,0.0003,40,-1.3699496109038591,0.0455078125,-0.007306907852762379,0.2
1514,8,6,88.19,-163.10108696999998,12288,0.009655607,292.4891357421875,792.8397295475006,-0.0019453763961791992,0.0003,50,-1.3673124872148037,0.04970703125,-0.0038902405758562963,0.2
1497,9,7,89.16,-166.52186906999995,14336,0.00998726,349.9614562988281,611.1656772136688,-0.008930444717407227,0.0003,60,-1.3606455948203802,0.0345703125,-0.005616395306424238,0.2
1488,11,8,88.92,-174.87173729999998,16384,0.008616738,294.9813537597656,587.3543837070465,-0.06039595603942871,0.0003,70,-1.361659325659275,0.0494140625,-0.005296639521111502,0.2
1478,12,9,91.03,-171.23380099000005,18432,0.0067295376,610.777587890625,599.0006430149078,-0.0012934207916259766,0.0003,80,-1.3536626536399126,0.041748046875,-0.004883398291713093,0.2
1468,13,10,96.07,-171.17701839,20480,0.008603958,279.15948486328125,422.51154284477235,-0.0007352828979492188,0.0003,90,-1.3216313369572164,0.139892578125,-0.010768694957369008,0.2
1462,15,11,101.8,-162.28557504,22528,0.0072860597,157.67929077148438,407.60755982398985,-0.0003126859664916992,0.0003,100,-1.304168000817299,0.10654296875,-0.00923812900291523,0.2
1374,17,12,112.63,-156.84252812,24576,0.00823611,212.46945190429688,492.080828332901,-0.001209259033203125,0.0003,110,-1.2892090387642383,0.049609375,-0.005101735736388946,0.2
1373,19,13,120.35,-151.10041704,26624,0.008318938,138.1241912841797,428.63840837478637,0.0007990002632141113,0.0003,120,-1.3034982092678546,0.0197265625,-0.00333976035399246,0.2
1297,22,14,125.94,-143.93861522,28672,0.009473517,742.478271484375,637.153461933136,-0.06909215450286865,0.0003,130,-1.2256081487983466,0.055126953125,-0.0048471820635313636,0.2
1281,23,15,145.55,-140.85819724000004,30720,0.0021062566,119.65559387207031,231.93211461305617,0.036929547786712646,0.0003,140,-1.2386756055057049,0.000830078125,-0.0021572432116954586,0.2
1284,25,16,154.49,-134.18254962999998,32768,0.0032514667,224.06581115722656,461.86544528007505,-0.07087492942810059,0.0003,150,-1.22019069083035,0.00146484375,-0.0034574685763800518,0.2
1247,27,17,167.22,-128.59706367999996,34816,0.0032028651,526.601806640625,474.46710953712466,0.10858291387557983,0.0003,160,-1.1766807474195957,0.000390625,-0.0027524358563823627,0.2
1208,30,18,183.69,-128.25805945000002,36864,0.010770308,123.49266815185547,262.96336748600004,0.16676729917526245,0.0003,170,-1.1886105433106422,0.032421875,-0.007915327073715162,0.2
1207,32,19,191.81,-121.79826091000001,38912,0.008619761,107.27330017089844,289.94874980449674,0.014594793319702148,0.0003,180,-1.2049429137259722,0.072607421875,-0.008465157661703415,0.2
1198,34,20,207.04,-121.19314479,40960,0.008351141,252.24502563476562,505.60203742980957,-0.04684042930603027,0.0003,190,-1.1081589855253697,0.020068359375,-0.004068078353157034,0.2
1116,38,21,225.17,-116.01121434000001,43008,0.006263797,191.76882934570312,352.2562536478043,0.23704737424850464,0.0003,200,-1.155866688489914,0.06552734375,-0.007126866230828454,0.2
1120,40,22,236.63,-112.98444019,45056,0.008271494,63.821144104003906,158.31560792922974,0.3022264838218689,0.0003,210,-1.2441200610250234,0.043603515625,-0.006568147685175063,0.2
1089,43,23,252.21,-112.19047565000001,47104,0.007440122,129.95223999023438,547.6394129753113,0.18928086757659912,0.0003,220,-1.1004131127148866,0.023681640625,-0.007007433750550263,0.2
1065,46,24,261.49,-108.42370843000002,49152,0.006380949,117.40546417236328,285.77441890239714,0.48008739948272705,0.0003,230,-1.1949604712426662,0.03671875,-0.0074473543376370795,0.2
1051,48,25,283.28,-108.63888938999999,51200,0.0054118163,23.30539321899414,105.55561705827714,0.6352304816246033,0.0003,240,-1.2273488570004703,0.04609375,-0.005695646716776537,0.2
