time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/loss
2048,92.22727272727273,-152.30983727272724,1,0,2279,,,,,,,,,,
4096,117.0,-140.39344834285714,2,2,1384,0.005118125,0.0008803009986877441,0.0003,10,-1.3836257569491863,-0.0047989849888836035,0.2,0.029443359375,2107.8918437957764,1216.88134765625
6144,109.125,-164.9401772857143,3,4,1403,0.00885405,0.07496917247772217,0.0003,20,-1.3795597471296788,-0.0100035821844358,0.2,0.073388671875,659.0312245130539,478.2957763671875
8192,106.46052631578948,-163.17421664473684,4,5,1407,0.004596376,0.004993259906768799,0.0003,30,-1.374899873137474,-0.006068617118580732,0.2,0.02236328125,811.3931277275085,331.3465881347656
10240,105.23711340206185,-161.5805552886598,5,7,1417,0.012117475,-0.007005095481872559,0.0003,40,-1.3623662069439888,-0.010261334545793943,0.2,0.07060546875,617.2094780445099,148.28976440429688
12288,108.69,-162.28883558,6,8,1417,0.011264484,-0.007870912551879883,0.0003,50,-1.3372390247881412,-0.005637433621450328,0.2,0.13642578125,855.7455057621003,338.6390075683594
14336,101.51,-162.96200671999998,7,10,1420,0.011076588,-0.10966384410858154,0.0003,60,-1.3210143372416496,-0.004993888637545752,0.2,0.097119140625,641.4327048301697,232.04898071289062
16384,105.29,-160.29963252000002,8,11,1403,0.010930961,-0.0005249977111816406,0.0003,70,-1.3095157664269208,-0.004528631757420953,0.2,0.13291015625,399.6495606422424,158.82083129882812
18432,109.22,-152.60949888,9,13,1392,0.00216809,-0.0005800724029541016,0.0003,80,-1.3017889484763145,-0.0038534726067155135,0.2,0.00146484375,876.7521605491638,481.0867004394531
20480,114.27,-150.45883369,10,14,1384,0.007715334,-0.002654552459716797,0.0003,90,-1.298381108418107,-0.003936040086409775,0.2,0.030126953125,823.93127450943,335.515380859375
22528,120.6,-147.94955961000002,11,16,1385,0.0077642994,-0.005560874938964844,0.0003,100,-1.2648086491972208,-0.0064134587730222846,0.2,0.019189453125,618.3020219802856,138.51255798339844
24576,126.45,-146.19728347,12,17,1380,0.0096208975,0.010545134544372559,0.0003,110,-1.2156296245753766,-0.0065242331285844555,0.2,0.04189453125,607.4479146003723,254.59896850585938
26624,131.87,-145.74073166,13,19,1379,0.0026935523,0.05589932203292847,0.0003,120,-1.1959705792367459,-0.0033955653372686355,0.2,0.002587890625,756.8082004547119,315.9504089355469
