rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/loss,train/policy_gradient_loss
-164.8063167272727,2351,2048,1,90.13636363636364,0,,,,,,,,,,
-162.41786629268296,1732,4096,2,97.6829268292683,2,0.0003,0.058203125,0.2,10,-0.003006458282470703,-1.3798158541321754,1435.5059412002563,0.010819557,409.54296875,-0.008495790231972934
-160.26202264516135,1592,6144,3,97.45161290322581,3,0.0003,0.044384765625,0.2,20,-0.047437191009521484,-1.367374100908637,1000.1986856460571,0.0077748834,210.5189971923828,-0.005726544691424351
-156.2480081358025,1500,8192,4,99.8641975308642,5,0.0003,0.0529296875,0.2,30,-0.0006167888641357422,-1.355304518342018,746.6859319686889,0.009832375,304.3236083984375,-0.009825962632021401
-157.41562504081634,1460,10240,5,104.26530612244898,7,0.0003,0.064013671875,0.2,40,-0.02464151382446289,-1.327323418110609,657.0589874267578,0.009799292,473.705810546875,-0.007304748351452872
-154.14353014,1430,12288,6,112.51,8,0.0003,0.051416015625,0.2,50,-0.017683744430541992,-1.3064488787204027,849.6037784576416,0.010536117,412.15826416015625,-0.005033776184427552
-151.11910602,1417,14336,7,117.09,10,0.0003,0.158544921875,0.2,60,-0.0013017654418945312,-1.2348589353263377,538.6243661403656,0.0110770445,219.40447998046875,-0.008169247764453758
-151.83702763000002,1402,16384,8,121.67,11,0.0003,0.08134765625,0.2,70,-0.0002067089080810547,-1.203898622840643,471.9944787502289,0.0057210363,147.90724182128906,-0.00457063322828617
-147.93717989999996,1384,18432,9,127.89,13,0.0003,0.111767578125,0.2,80,-0.0003210306167602539,-1.2104587357491254,497.6812386035919,0.009609966,211.05682373046875,-0.008443595384596847
-150.71335260999996,1367,20480,10,136.61,14,0.0003,0.078466796875,0.2,90,-9.894371032714844e-05,-1.1810012515634298,365.5303378582001,0.015485508,200.9130096435547,-0.0057400120931561105
-146.44190893,1348,22528,11,147.9,16,0.0003,0.113623046875,0.2,100,0.0011529326438903809,-1.1408464651554824,649.2628644943237,0.009559101,218.63400268554688,-0.010591793859202881
-142.30831224000002,1340,24576,12,155.33,18,0.0003,0.059033203125,0.2,110,2.4318695068359375e-05,-1.1866572424769402,433.70445857048037,0.0074518356,316.9954528808594,-0.006266339182911906
-140.71704178,1336,26624,13,158.14,19,0.0003,0.022509765625,0.2,120,0.010370910167694092,-1.1886655997484923,367.2771258831024,0.0056030364,167.12960815429688,-0.00734703759662807
-139.52140558,1256,28672,14,175.12,22,0.0003,0.009912109375,0.2,130,0.09302294254302979,-1.125493064150214,388.4132710933685,0.0053125937,149.114990234375,-0.006671946911956184
-138.44378521,1250,30720,15,181.72,24,0.0003,0.041943359375,0.2,140,0.3784691095352173,-1.2794693697243928,140.92993295192719,0.007916387,48.964229583740234,-0.005281728519912576
-132.82973342,1245,32768,16,189.3,26,0.0003,0.00615234375,0.2,150,0.18596303462982178,-1.1131459418684244,319.29722785949707,0.0032048067,127.03025817871094,-0.003487861013854854
-129.35334498,1204,34816,17,201.26,28,0.0003,0.01396484375,0.2,160,0.23993873596191406,-1.09243408665061,339.04148263931273,0.0054614665,101.13785552978516,-0.0057108485438220665
-126.70859982,1160,36864,18,216.91,31,0.0003,0.035888671875,0.2,170,0.44173747301101685,-1.193395559117198,192.39252905845643,0.005913699,35.065120697021484,-0.006630002021120162
-125.88535938999999,1151,38912,19,229.29,33,0.0003,0.023681640625,0.2,180,0.21344125270843506,-1.1992417223751546,219.0563032746315,0.006333571,45.441768646240234,-0.0028738450761011335
-122.81404200000001,1152,40960,20,237.3,35,0.0003,0.073779296875,0.2,190,0.2509813904762268,-1.0838847249746322,348.3628131866455,0.010230646,124.03358459472656,-0.007313120253093075
-121.22805455,1137,43008,21,248.54,37,0.0003,0.030029296875,0.2,200,0.41138291358947754,-1.067399899289012,343.0343904018402,0.0051774816,349.7747497558594,-0.007533765980042517
-118.16435707,1102,45056,22,259.5,40,0.0003,0.0705078125,0.2,210,0.5373524129390717,-1.0398765996098518,201.7057157635689,0.008530443,43.71453094482422,-0.007020732609089464
-117.01931434,1064,47104,23,275.35,44,0.0003,0.036767578125,0.2,220,0.5756818354129791,-1.0781647140160202,314.1802045345306,0.005038045,59.36418533325195,-0.005428487272001803
-113.31111412999999,1059,49152,24,285.35,46,0.0003,0.114501953125,0.2,230,0.7924635261297226,-1.145375280827284,83.97574721574783,0.018875707,29.421283721923828,-0.008107808339991607
-112.97226527,1056,51200,25,296.05,48,0.0003,0.0724609375,0.2,240,0.5855698585510254,-1.0205821754410862,167.730346763134,0.007652977,95.0988998413086,-0.005517574500117917
-109.76060616,1024,53248,26,308.83,51,0.0003,0.071142578125,0.2,250,0.6434139609336853,-1.0121711354702712,182.46120330095292,0.0069904504,98.2013168334961,-0.00802298198468634
-108.71510763,1012,55296,27,324.68,54,0.0003,0.095849609375,0.2,260,0.7164532542228699,-1.033840768225491,104.8996384203434,0.0089911735,45.29047775268555,-0.00821759808823117
-105.33576872000002,996,57344,28,337.83,57,0.0003,0.094775390625,0.2,270,0.7498590052127838,-1.0493406005203725,50.6247969403863,0.009771172,12.93479061126709,-0.007053049279784318
-103.55384946999999,980,59392,29,354.64,60,0.0003,0.1283203125,0.2,280,0.7361006140708923,-1.0367797186598182,101.15776729881763,0.012598477,38.091495513916016,-0.008155814068595646
