time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss,train/entropy_loss
2048,-171.5415610869565,0,1,2274,87.56521739130434,,,,,,,,,,
4096,-179.3429208095238,2,2,1586,85.83333333333333,0.014208984375,0.0003,0.006380587,-0.0011982917785644531,10,0.2,439.60400390625,1623.1454250335694,-0.005126072544953786,-1.3835616502910852
6144,-170.10980657894737,4,3,1328,107.63157894736842,0.049072265625,0.0003,0.011791253,0.028452157974243164,20,0.2,584.2648315429688,982.7508316040039,-0.007737906556576491,-1.3681411266326904
8192,-160.7255280789474,6,4,1340,107.10526315789474,0.01923828125,0.0003,0.005985958,0.18194293975830078,30,0.2,150.73410034179688,454.4331105709076,-0.0046529949097021015,-1.3668900478631258
10240,-160.62312829896908,7,5,1345,105.29896907216495,0.064794921875,0.0003,0.011076387,-0.12012612819671631,40,0.2,527.5772705078125,955.8938185691834,-0.0067177002245443875,-1.3613177619874477
12288,-159.0881063,9,6,1344,108.51,0.074072265625,0.0003,0.0122167375,-0.021706581115722656,50,0.2,298.468505859375,837.8968330383301,-0.008259809597075219,-1.343905996158719
14336,-155.19682203,10,7,1343,114.9,0.08623046875,0.0003,0.0091678165,-0.002528071403503418,60,0.2,509.8896179199219,1043.6135472774506,-0.005455568761681207,-1.3352435238659381
16384,-151.4401269,12,8,1339,111.56,0.124365234375,0.0003,0.016567387,-6.008148193359375e-05,70,0.2,368.2063293457031,479.9323127746582,-0.0061593752194312405,-1.3011331304907798
18432,-152.91346842000002,13,9,1338,115.28,0.073388671875,0.0003,0.010359729,-0.008563756942749023,80,0.2,298.45733642578125,430.29184432029723,-0.007540209688158939,-1.2747932862490416
20480,-155.47608024000002,15,10,1336,121.61,0.0650390625,0.0003,0.0064979084,7.867813110351562e-06,90,0.2,138.26214599609375,441.1218466281891,-0.007528600293153431,-1.2597361758351326
22528,-154.02193486,16,11,1326,130.6,0.11962890625,0.0003,0.018254448,-0.0022437572479248047,100,0.2,184.0027618408203,528.5457684516907,-0.006467903618249693,-1.1866890098899603
24576,-150.42430633,18,12,1310,142.53,0.07568359375,0.0003,0.010957879,-0.0007938146591186523,110,0.2,120.07893371582031,300.9530183553696,-0.00906207288207952,-1.1827292695641518
26624,-140.60293426,20,13,1307,149.5,0.14384765625,0.0003,0.011463232,-0.004283905029296875,120,0.2,224.05023193359375,461.09357652664187,-0.009406282723648473,-1.1436756242066621
28672,-144.64426244,22,14,1280,162.09,0.058056640625,0.0003,0.008873687,8.881092071533203e-06,130,0.2,185.1375732421875,447.25794525146483,-0.005746985296718776,-1.1108284279704095
30720,-140.09651810000003,24,15,1267,174.33,0.04296875,0.0003,0.007240174,3.1888484954833984e-05,140,0.2,152.7944793701172,416.87912526130674,-0.005206879160687095,-1.0687124356627464
32768,-135.28022432,26,16,1250,184.92,0.079052734375,0.0003,0.009611068,-0.0001277923583984375,150,0.2,188.47360229492188,514.3497992992401,-0.007161691634973977,-1.0508352080360055
34816,-139.17122988,28,17,1225,196.85,0.0873046875,0.0003,0.0099066915,-0.00047016143798828125,160,0.2,167.23654174804688,303.37044088840486,-0.0037304075667634606,-1.0562233241274952
36864,-137.48192214000002,30,18,1198,205.91,0.0353515625,0.0003,0.012472771,-0.0008287429809570312,170,0.2,95.45040893554688,313.10709097385404,-0.000921928339812439,-1.058811827003956
38912,-132.83433617999998,33,19,1160,224.34,0.108251953125,0.0003,0.010638021,0.00013959407806396484,180,0.2,129.2095489501953,433.9478517532349,-0.006335865428263787,-1.0767118126153945
40960,-128.52107087,36,20,1127,240.32,0.048876953125,0.0003,0.006631438,-1.8835067749023438e-05,190,0.2,103.7243423461914,455.8306318998337,-0.008087519887340022,-0.9596592215821147
43008,-128.21444102,39,21,1089,255.36,0.05380859375,0.0003,0.00524132,-0.0021566152572631836,200,0.2,165.83612060546875,240.91149175167084,-0.0035014163062442095,-1.072676734626293
45056,-122.51177575,42,22,1059,273.76,0.022607421875,0.0003,0.0033323218,6.16312026977539e-05,210,0.2,244.29833984375,289.2673085451126,-0.0035034950815315824,-0.993907367810607
