time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss
1,94.33333333333333,0,2048,2116,-148.44973885714288,,,,,,,,,,
2,97.45238095238095,2,4096,1455,-147.86110814285712,907.9714965820312,-0.0013096332550048828,0.055859375,-0.007300488183682318,10,0.0109750535,2216.9242599487307,0.0003,0.2,-1.380797904729843
3,100.39344262295081,4,6144,1313,-150.60846860655738,517.822509765625,-0.017753124237060547,0.011865234375,-0.005164898204384372,20,0.0066893985,1506.9480438232422,0.0003,0.2,-1.366487879678607
4,101.6875,6,8192,1252,-155.7431294,1069.278076171875,-0.00511324405670166,0.07275390625,-0.008752260329492856,30,0.010320613,1461.3097188949585,0.0003,0.2,-1.3587616819888353
5,103.5204081632653,8,10240,1230,-153.2123894489796,219.71954345703125,-0.0010373592376708984,0.106591796875,-0.010124593044020002,40,0.010154048,665.0042407989501,0.0003,0.2,-1.3257621288299561
6,110.32,10,12288,1211,-148.52500157000003,292.5284423828125,-0.010629653930664062,0.2107421875,-0.015364233154105022,50,0.015582243,812.588636302948,0.0003,0.2,-1.2839794665575028
7,113.78,11,14336,1202,-145.16993852000002,369.6623229980469,-0.0018593072891235352,0.103076171875,-0.0018122806446626782,60,0.0057526235,446.95847339630126,0.0003,0.2,-1.274794889613986
8,119.13,13,16384,1189,-145.16005514,288.53497314453125,-0.00342714786529541,0.0658203125,-0.004687801237741951,70,0.00867104,556.6364113330841,0.0003,0.2,-1.273234212026
9,122.46,15,18432,1184,-142.38001435000004,229.3526153564453,-9.584426879882812e-05,0.130517578125,-0.011236177915270673,80,0.010733003,310.4154154777527,0.0003,0.2,-1.2455653119832277
10,128.24,17,20480,1178,-136.57156479000002,288.2560119628906,-0.00015532970428466797,0.038427734375,-0.0046002070303075016,90,0.013596002,500.7887337207794,0.0003,0.2,-1.2215636558830738
