time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/learning_rate
2018,-163.81545331818182,1,89.77272727272727,2048,1,,,,,,,,,,
1512,-157.1091440465116,2,93.97674418604652,4096,2,785.6112670898438,0.007988274097442627,0.2,-1.3797284703701735,0.085400390625,-0.010541125123563689,0.011143095,10,2064.9955018997193,0.0003
1410,-167.15203438461538,3,93.92307692307692,6144,4,400.7327880859375,0.0016664862632751465,0.2,-1.3737338315695524,0.060986328125,-0.010439966964622727,0.0090081245,20,863.1308510780334,0.0003
1359,-166.5136972235294,4,94.70588235294117,8192,6,447.14422607421875,-0.0024988651275634766,0.2,-1.3680125206708909,0.031494140625,-0.008818871852417942,0.009082088,30,928.7131148815155,0.0003
1327,-164.90236532999998,5,97.52,10240,7,740.373291015625,-0.0029505491256713867,0.2,-1.3400008831173182,0.106298828125,-0.010048045167059172,0.013396023,40,724.7580869674682,0.0003
1306,-170.91331081999996,6,99.89,12288,9,208.5642547607422,-0.15417468547821045,0.2,-1.3348589163273572,0.075830078125,-0.0010704423919378314,0.0060232664,50,841.3001194953919,0.0003
1293,-171.47958456000003,7,101.17,14336,11,182.61376953125,-0.00010693073272705078,0.2,-1.3279577251523733,0.207763671875,-0.014835893288545777,0.011916797,60,357.70166420936584,0.0003
1278,-165.45616273,8,105.35,16384,12,129.79541015625,-0.00045883655548095703,0.2,-1.3135477017611266,0.0935546875,-0.0050657103267440105,0.01305034,70,347.69302358627317,0.0003
1271,-157.28757406,9,110.96,18432,14,210.11058044433594,-0.013457417488098145,0.2,-1.2760385438799857,0.025927734375,-0.006203010420722421,0.00671211,80,455.22227630615237,0.0003
1266,-154.95255207999998,10,115.47,20480,16,155.4658966064453,0.010927081108093262,0.2,-1.2315181627869607,0.14013671875,-0.013700561877340079,0.013092866,90,444.709296131134,0.0003
1258,-154.51491110000003,11,121.47,22528,17,319.4939270019531,0.01789170503616333,0.2,-1.2613487098366023,0.0392578125,-0.005138628360145958,0.0072554573,100,270.32508499622344,0.0003
1254,-151.15918261,12,126.95,24576,19,176.9919891357422,0.025005042552947998,0.2,-1.2438132952898742,0.020068359375,-0.006841836067178519,0.0044301376,110,297.2060536146164,0.0003
1244,-144.68478715999998,13,136.72,26624,21,323.738037109375,0.02552562952041626,0.2,-1.205756151303649,0.0455078125,-0.00539789768808987,0.012137287,120,544.3870913028717,0.0003
1234,-140.5412369,14,145.9,28672,23,119.54174041748047,0.05021393299102783,0.2,-1.1423184204846621,0.075146484375,-0.009159146531601436,0.010546153,130,322.68756573200227,0.0003
