time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/loss
0,-162.4121317272727,2048,92.0,1,2314,,,,,,,,,,
2,-161.8237436444444,4096,90.75555555555556,2,1730,0.026220703125,1915.3578548431396,0.0003,-0.005812406539916992,0.2,-0.008068985738646006,0.0097100735,-1.381687144562602,10,885.4021606445312
3,-168.26350758208955,6144,91.50746268656717,3,1581,0.02255859375,868.5517189979553,0.0003,-0.0088883638381958,0.2,-0.0038428806416050064,0.005511115,-1.3724128901958466,20,369.8280944824219
5,-160.63729586206895,8192,93.25287356321839,4,1529,0.06943359375,1203.783941268921,0.0003,-0.030516624450683594,0.2,-0.007357574425259372,0.010333146,-1.3560815963894128,30,359.1852111816406
6,-159.91575400999997,10240,94.78,5,1493,0.077783203125,1203.0876323699952,0.0003,-0.08268225193023682,0.2,-0.007256572977348696,0.013306361,-1.3552565060555934,40,746.7283935546875
8,-152.89345781,12288,99.13,6,1466,0.051416015625,651.8820652008056,0.0003,-0.0033159255981445312,0.2,-0.0073143523011822255,0.005649464,-1.331981011480093,50,207.37255859375
10,-150.14221108999996,14336,106.06,7,1433,0.060595703125,550.4389659881592,0.0003,-0.003642439842224121,0.2,-0.0079121640563244,0.009594517,-1.289204765111208,60,304.0176696777344
11,-142.66472272,16384,112.6,8,1404,0.122119140625,486.28634057044985,0.0003,-5.936622619628906e-05,0.2,-0.011079112402512692,0.009096884,-1.2553062807768582,70,201.7440185546875
13,-141.4105801,18432,121.03,9,1390,0.072998046875,289.9249373912811,0.0003,-0.00013375282287597656,0.2,-0.008792391826864332,0.007907562,-1.2375422049313785,80,139.4617919921875
14,-137.73481508000003,20480,130.51,10,1377,0.07177734375,425.4513981819153,0.0003,0.00034302473068237305,0.2,-0.008780352403118741,0.011569848,-1.1435505352914332,90,189.7560577392578
16,-138.94494449,22528,137.61,11,1373,0.09921875,377.8573507785797,0.0003,-0.0015459060668945312,0.2,-0.009667576845095028,0.008033365,-1.184968550875783,100,164.97352600097656
18,-137.48292244,24576,151.22,12,1318,0.052197265625,475.71704721450806,0.0003,-0.0002598762512207031,0.2,-0.008322347770445049,0.004078991,-1.1584723759442568,110,452.5869140625
20,-135.77745206,26624,162.23,13,1312,0.012109375,357.7536570310593,0.0003,0.0009438395500183105,0.2,-0.003591977374890121,0.0063214735,-1.2392170123755932,120,199.8037109375
22,-132.93272631999997,28672,170.05,14,1302,0.03564453125,332.72373247146606,0.0003,-0.007153987884521484,0.2,-0.007454417467670282,0.0062841214,-1.099818544089794,130,169.6608123779297
24,-129.43811871,30720,184.26,15,1247,0.00869140625,316.1536182641983,0.0003,0.026925325393676758,0.2,-0.006103653467289405,0.0041261897,-1.1088463936001063,140,152.73159790039062
27,-127.61023390999998,32768,199.07,16,1195,0.040380859375,201.0838785648346,0.0003,0.07240861654281616,0.2,-0.006043011546717025,0.007490035,-1.0807817321270705,150,121.82584381103516
29,-124.32257269000002,34816,213.17,17,1168,0.04951171875,202.07672889232634,0.0003,0.0768476128578186,0.2,-0.006173796269285959,0.008851679,-1.1792075045406818,160,89.93730926513672
32,-124.27820824,36864,229.02,18,1142,0.030126953125,277.0372408866882,0.0003,0.06191831827163696,0.2,-0.003605241998593556,0.007450289,-1.1943145230412484,170,103.95890808105469
34,-121.35253361999997,38912,238.52,19,1132,0.054833984375,261.8279292345047,0.0003,0.11186003684997559,0.2,-0.007451962459890637,0.00771291,-1.1290561243891717,180,76.25984954833984
37,-118.82126704000001,40960,256.61,20,1085,0.05859375,299.81825640201566,0.0003,0.08121597766876221,0.2,-0.007849835457454902,0.00973078,-1.083410720154643,190,192.66036987304688
41,-116.31313487,43008,274.79,21,1029,0.04462890625,211.058709192276,0.0003,0.23171943426132202,0.2,-0.007989019055094105,0.006069544,-1.178823871538043,200,415.6490478515625
46,-113.29267735000003,45056,287.45,22,963,0.146435546875,109.46288993358613,0.0003,0.5450659990310669,0.2,-0.008661502440372715,0.014235909,-1.2455104500055314,210,23.366430282592773
50,-111.07000191000002,47104,304.81,23,928,0.066943359375,147.18900761604309,0.0003,0.3315114378929138,0.2,-0.008515539004292805,0.0068775946,-0.854166017100215,220,41.92950439453125
54,-108.75203194000001,49152,321.9,24,899,0.085498046875,56.31372795701027,0.0003,0.7413089573383331,0.2,-0.006939027889893623,0.009255384,-1.1893242564052344,230,16.30763053894043
57,-107.17292961,51200,333.15,25,883,0.098046875,79.0850236415863,0.0003,0.6809132397174835,0.2,-0.010177197307348252,0.010812502,-1.1871041495352983,240,36.38905334472656
62,-103.95222688,53248,350.1,26,856,0.04111328125,150.2656815469265,0.0003,0.481700599193573,0.2,-0.0048063913811347446,0.0063813063,-1.1409819696098566,250,20.740415573120117
65,-99.90822284,55296,367.47,27,847,0.09306640625,46.16335445046425,0.0003,0.7920297086238861,0.2,-0.0065032020822400225,0.011294819,-1.016611678339541,260,256.8203125
68,-96.740097,57344,394.1,28,838,0.097998046875,53.82490831017494,0.0003,0.7501507103443146,0.2,-0.004901989348581992,0.008899933,-1.0264456806704403,270,18.210187911987305
71,-96.45087071,59392,408.5,29,832,0.217529296875,59.29734942615032,0.0003,0.6441053152084351,0.2,-0.018014251068234444,0.023959126,-1.126314114034176,280,8.76053524017334
75,-90.32075080999998,61440,427.18,30,814,0.033349609375,154.77682505846025,0.0003,0.0017606616020202637,0.2,-0.005708977938047611,0.005972188,-0.9673243440687657,290,36.21168518066406
78,-90.26768316000002,63488,441.19,31,805,0.056103515625,170.0578154563904,0.0003,0.2434660792350769,0.2,-0.009879478174116229,0.007848208,-1.0073338216170669,300,107.65106201171875
82,-86.96418825999999,65536,456.15,32,797,0.066015625,70.87577251791954,0.0003,0.4890878200531006,0.2,-0.006697917811834486,0.008544749,-0.8851689700037241,310,53.80295944213867
85,-84.57113008999997,67584,472.71,33,785,0.081640625,58.923483315110204,0.0003,0.7624660432338715,0.2,-0.005858321527193766,0.007285677,-0.9162609070539475,320,13.324091911315918
91,-81.76913610999998,69632,488.64,34,763,0.084814453125,54.4903649687767,0.0003,0.5108799934387207,0.2,-0.00683448869312997,0.009558959,-1.0437650430947543,330,6.4913225173950195
95,-79.41387829,71680,505.48,35,752,0.122119140625,35.37330123186111,0.0003,0.5382649898529053,0.2,-0.008010369713883848,0.010217185,-1.046188047900796,340,4.570377826690674
98,-76.29940085,73728,523.22,36,746,0.078955078125,31.003874444961546,0.0003,0.38031548261642456,0.2,-0.004682648957532365,0.0067523783,-1.0669704869389534,350,2.8035097122192383
102,-71.65206294999999,75776,538.94,37,736,0.0826171875,45.07229251265526,0.0003,0.5972446501255035,0.2,-0.004544645562054939,0.008537844,-1.022700645402074,360,2.898308277130127
108,-68.3357599,77824,555.91,38,719,0.078076171875,30.39141431711614,0.0003,0.6849929988384247,0.2,-0.005548833470675163,0.00920248,-0.9529545230790972,370,3.693669319152832
111,-67.99680883,79872,571.12,39,714,0.051513671875,40.56158196255565,0.0003,0.6368350386619568,0.2,-0.00415795634908136,0.0052843094,-0.9642862537875772,380,4.333322048187256
115,-63.94737593,81920,588.26,40,708,0.03076171875,111.51748647987843,0.0003,0.19460570812225342,0.2,-0.0014887120938510633,0.00427233,-0.9477852839976549,390,5.3858771324157715
119,-60.876430809999995,83968,614.17,41,704,0.058154296875,45.10800005048513,0.0003,0.6592907309532166,0.2,-0.005115364280936774,0.009707285,-0.9715476309880614,400,3.3007004261016846
124,-58.026257429999994,86016,629.69,42,693,0.090185546875,67.90092078261077,0.0003,0.48663264513015747,0.2,-0.005639101118867984,0.00585774,-0.8751890424638986,410,4.89310359954834
127,-57.99446498,88064,638.04,43,692,0.131884765625,23.074499928951262,0.0003,0.35523879528045654,0.2,-0.006259816864621825,0.0123626795,-1.0367318842560054,420,2.2238523960113525
130,-53.920776020000005,90112,654.76,44,689,0.084521484375,27.807572609186174,0.0003,0.3512457609176636,0.2,-0.0027945920897764153,0.006286778,-1.0003757130354642,430,4.2114949226379395
135,-50.93059694000001,92160,670.5,45,682,0.17294921875,18.22358593121171,0.0003,0.5008350014686584,0.2,-0.011566877957375255,0.010687422,-1.053613805025816,440,0.9677509665489197
139,-50.96004207,94208,683.82,46,676,0.058349609375,42.31409579906612,0.0003,0.6628884375095367,0.2,-0.0032109966239659117,0.0053468593,-0.8949302565306425,450,5.794010162353516
142,-49.397709230000004,96256,703.08,47,676,0.031689453125,58.525224312394855,0.0003,0.4659738540649414,0.2,-0.0013438721445709235,0.0037620394,-0.9343851493671537,460,2.0997562408447266
146,-45.29281972999999,98304,719.53,48,669,0.05341796875,97.43439458608627,0.0003,0.5424091219902039,0.2,-0.008111958022345789,0.005172513,-0.9124799467623234,470,13.387146949768066
150,-43.236669949999985,100352,731.77,49,665,0.058251953125,85.90318678468466,0.0003,0.4607505798339844,0.2,-0.003636519508290803,0.005887706,-0.8285061065107584,480,56.11106491088867
154,-37.14637165,102400,748.59,50,664,0.078466796875,69.82081464529037,0.0003,0.42926228046417236,0.2,-0.004344312324974453,0.0064418055,-0.826608007773757,490,5.667169094085693
157,-32.482363660000004,104448,761.05,51,664,0.020947265625,181.1589175194502,0.0003,0.33336877822875977,0.2,-0.0016332611467078095,0.0050309133,-0.8004759261384606,500,67.08109283447266
159,-29.297215520000005,106496,769.35,52,666,0.010205078125,210.86134947538375,0.0003,0.2035565972328186,0.2,-0.0025523984921164812,0.004223105,-0.8216954533010721,510,108.65980529785156
163,-22.8125439,108544,788.42,53,664,0.039404296875,79.28044458627701,0.0003,0.4665389060974121,0.2,-0.0018908088633907028,0.0066604624,-0.8788472274318337,520,32.06024932861328
167,-20.915616930000002,110592,797.2,54,661,0.06787109375,115.09718123823404,0.0003,0.40347886085510254,0.2,-0.0027160300574905704,0.007496217,-0.9150833550840616,530,35.61137771606445
