time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction
1,0,-164.96679545,2048,101.35,2147,,,,,,,,,,
2,2,-167.18835902380954,4096,96.78571428571429,1646,-1.3834851153194905,543.6593627929688,10,0.0014342069625854492,0.2,-0.00783887610741658,0.005055335,0.0003,1995.0204273223876,0.020458984375
3,4,-164.5965223870968,6144,98.1774193548387,1529,-1.3791069600731134,316.7015686035156,20,0.003085017204284668,0.2,-0.005728247285151156,0.009648651,0.0003,951.1200407028198,0.04130859375
4,5,-167.05401992857145,8192,97.0952380952381,1469,-1.3694496434181929,383.64398193359375,30,0.0034335851669311523,0.2,-0.009603336998407031,0.0066844523,0.0003,895.7862448692322,0.04951171875
5,7,-164.13987483,10240,99.09,1412,-1.3479489896446466,168.50119018554688,40,-0.014539718627929688,0.2,-0.008106113175745121,0.015728608,0.0003,568.327910900116,0.07861328125
6,8,-163.85717648000002,12288,101.19,1366,-1.3377439297735692,379.67254638671875,50,-0.0015680789947509766,0.2,-0.010530379840929527,0.011830414,0.0003,807.6251775741578,0.157861328125
7,10,-164.50450110000003,14336,106.94,1333,-1.2963425032794476,182.0934295654297,60,-0.0857992172241211,0.2,-0.010333332333539147,0.012816341,0.0003,495.77756509780886,0.131640625
8,12,-160.59868240000003,16384,115.18,1301,-1.2892290163785218,306.568115234375,70,-0.0005631446838378906,0.2,-0.00582963371562073,0.016237993,0.0003,472.5984804153442,0.14560546875
9,14,-157.08446814,18432,121.67,1287,-1.2201039481908083,362.02667236328125,80,-0.0003826618194580078,0.2,-0.010079602674522903,0.017029466,0.0003,336.3093096733093,0.12841796875
10,16,-147.59341312,20480,130.67,1270,-1.1642363250255585,143.98265075683594,90,-5.91278076171875e-05,0.2,-0.01069417671096744,0.008912468,0.0003,403.47453179359434,0.106494140625
11,18,-147.98351751,22528,145.6,1219,-1.0975384548306466,159.74066162109375,100,-9.369850158691406e-05,0.2,-0.007853172102477402,0.007948194,0.0003,379.9197697162628,0.083984375
12,20,-145.17130229,24576,159.36,1196,-1.142685492709279,87.65693664550781,110,-0.00011241436004638672,0.2,-0.006994846142333699,0.010532797,0.0003,267.3713782787323,0.0564453125
13,22,-137.13381455,26624,170.89,1177,-1.0726895965635777,176.39724731445312,120,-0.0001894235610961914,0.2,-0.006101740957819857,0.005266083,0.0003,567.9776544094086,0.0486328125
14,24,-132.89091885000002,28672,182.6,1168,-1.0689131688326596,174.90066528320312,130,0.0005115866661071777,0.2,-0.004709971217380371,0.01148168,0.0003,449.2501303195953,0.06728515625
15,26,-127.25314299,30720,197.47,1146,-1.1369589041918515,404.2066650390625,140,-0.0010868310928344727,0.2,-0.010514720180799486,0.0103593245,0.0003,324.0613716840744,0.12197265625
16,28,-129.67144917999997,32768,207.61,1145,-1.0777312930673362,82.36372375488281,150,0.06952893733978271,0.2,-0.0025395652028237237,0.003109568,0.0003,234.95130492448806,0.0009765625
17,30,-122.85770733999999,34816,221.17,1135,-1.0853587947785854,211.60110473632812,160,0.18213313817977905,0.2,-0.0025302866350102706,0.0032383609,0.0003,432.5362624645233,0.001806640625
18,33,-118.75963027,36864,236.06,1111,-1.0772284727543593,78.24962615966797,170,0.3337916135787964,0.2,-0.001195320633269148,0.004365389,0.0003,221.2030242204666,9.765625e-05
19,35,-117.97723752000002,38912,247.0,1109,-0.9911988753825426,128.65512084960938,180,0.4557759761810303,0.2,-0.004195947896369035,0.004857263,0.0003,149.5800258040428,0.017431640625
20,37,-113.36028057000001,40960,255.93,1103,-1.0336225897073745,221.68997192382812,190,0.2330230474472046,0.2,-0.004469544562743977,0.004123633,0.0003,579.7698177337646,0.0103515625
21,40,-110.65110241000004,43008,274.77,1065,-1.043916892260313,218.20445251464844,200,0.28332990407943726,0.2,-0.006574152557004709,0.006842373,0.0003,427.8954002857208,0.030419921875
22,43,-108.47464432000001,45056,288.53,1040,-1.0570464618504047,70.93896484375,210,0.40828126668930054,0.2,-0.0054624002390482925,0.0048663607,0.0003,124.23617443442345,0.021728515625
23,45,-107.03867185999998,47104,301.62,1031,-0.899625520594418,88.09269714355469,220,-0.004979133605957031,0.2,-0.0033972124525462276,0.004032572,0.0003,287.474911570549,0.014892578125
24,48,-104.96080918000003,49152,314.79,1020,-1.0631724115461112,95.24713897705078,230,0.17785906791687012,0.2,-0.0075220062833977865,0.0074350284,0.0003,252.39730978012085,0.06904296875
25,51,-101.47614022000002,51200,332.95,998,-1.0362888336181642,55.49929428100586,240,0.5376608073711395,0.2,-0.004585204994509695,0.007883048,0.0003,170.47822189331055,0.04111328125
26,53,-102.06240552999999,53248,342.46,988,-1.0927973791956902,105.79792022705078,250,0.6069464683532715,0.2,-0.0060687362987664525,0.008427391,0.0003,160.33667746782302,0.048193359375
27,56,-98.15273056,55296,362.13,972,-1.0540413720533253,20.16316032409668,260,0.6292585730552673,0.2,-0.0067389149160590025,0.00863549,0.0003,113.10087661147118,0.04970703125
28,59,-97.45144995000001,57344,379.95,960,-0.9120468191802502,35.110809326171875,270,0.5596545934677124,0.2,-0.007611838582670316,0.0048533534,0.0003,134.37636499404908,0.03232421875
29,63,-97.77867972000001,59392,395.68,937,-0.9885488264262676,71.49602508544922,280,0.32512807846069336,0.2,-0.0033571648542420006,0.003437584,0.0003,181.94467915296553,0.0109375
30,66,-97.26950189000003,61440,408.31,917,-0.9958695061504841,71.87142181396484,290,0.5217250883579254,0.2,-0.005587739101611078,0.006072756,0.0003,116.95822265148163,0.048876953125
31,69,-94.37100199000001,63488,419.97,908,-1.0445870943367481,23.6583251953125,300,0.7076787650585175,0.2,-0.005846097358153201,0.0082955165,0.0003,53.98212496638298,0.092431640625
32,73,-91.25309203999997,65536,434.78,895,-1.0173179848119616,28.948604583740234,310,0.3699461817741394,0.2,-0.005571268148196395,0.0058504525,0.0003,129.03094924092292,0.03720703125
33,75,-89.66175168,67584,448.89,892,-1.090997302532196,70.07856750488281,320,0.5192427337169647,0.2,-0.007705600102781318,0.010385219,0.0003,50.51060466170311,0.133642578125
34,79,-85.21786108,69632,459.52,870,-0.9948900016024709,119.20498657226562,330,0.8003535717725754,0.2,-0.0045835286058718335,0.005225241,0.0003,72.04940540790558,0.035693359375
35,84,-82.51935958000001,71680,473.9,848,-0.9919584399089217,100.18898010253906,340,0.6050340533256531,0.2,-0.010141229435976128,0.011070963,0.0003,89.99857233166695,0.137841796875
36,87,-79.72574587,73728,495.1,839,-1.0314957838505507,8.269804000854492,350,0.3280237317085266,0.2,-0.007469811812916305,0.011335876,0.0003,76.1864968150854,0.14638671875
