time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/explained_variance,train/learning_rate
2048,2098,95.0952380952381,1,0,-152.23753152380954,,,,,,,,,,
4096,1616,98.73170731707317,2,2,-166.92661721951217,-0.007761901785852387,0.2,10,-1.3797455713152886,0.067236328125,837.5130004882812,0.011637406,1418.036808013916,0.00018131732940673828,0.0003
6144,1523,97.93548387096774,3,4,-160.90876490322577,-0.004800393374171108,0.2,20,-1.3740742921829223,0.02880859375,644.93212890625,0.0097192405,1412.6551626205444,9.387731552124023e-05,0.0003
8192,1437,97.52380952380952,4,5,-162.30754016666666,-0.010367695323657245,0.2,30,-1.3691921945661307,0.085595703125,625.2684936523438,0.013080673,1648.7838888168335,-0.009845614433288574,0.0003
10240,1395,101.4,5,7,-160.13662408,-0.01041795761193498,0.2,40,-1.3539148706942796,0.1150390625,216.42849731445312,0.012913378,640.2543237686157,-0.004213571548461914,0.0003
12288,1365,106.77,6,8,-160.14054528000003,-0.009475496200320777,0.2,50,-1.3009570892900229,0.0830078125,1773.4649658203125,0.012374167,1081.8363554954528,-0.08202993869781494,0.0003
14336,1344,112.66,7,10,-150.25814026,-0.0035151585325365886,0.2,60,-1.2864008892327548,0.050732421875,279.16949462890625,0.009704035,795.9319375991821,-0.010773181915283203,0.0003
16384,1267,125.2,8,12,-148.78925601999998,-0.007042633986566215,0.2,70,-1.2337905693799258,0.11767578125,425.1572265625,0.008313239,1065.26203622818,-0.0031851530075073242,0.0003
18432,1212,130.9,9,15,-144.99729308999997,-0.005943040126294363,0.2,80,-1.309880841523409,0.04833984375,124.09297943115234,0.0074334345,316.6296072483063,0.012454867362976074,0.0003
20480,1188,145.96,10,17,-138.66086394,-0.006211158850055654,0.2,90,-1.2399156168103218,0.05029296875,107.28722381591797,0.010299357,463.6932669878006,0.0821036696434021,0.0003
22528,1187,153.47,11,18,-132.80589358,-0.007524741115048528,0.2,100,-1.19689672999084,0.088037109375,305.32464599609375,0.010223306,480.80090322494505,-0.049610137939453125,0.0003
24576,1186,164.31,12,20,-125.61007027000001,-0.007054384212824516,0.2,110,-1.1324831061065197,0.0599609375,673.4046020507812,0.009235584,1766.4862295150756,-0.07168304920196533,0.0003
26624,1176,174.71,13,22,-126.43947435000001,-0.006589378548233072,0.2,120,-1.1355695810168982,0.045068359375,246.7953338623047,0.006518589,445.9706551551819,0.06687742471694946,0.0003
