rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_range
-166.94299780952383,2146,2048,96.9047619047619,1,0,,,,,,,,,,
-160.5766456097561,1589,4096,98.0,2,2,0.02724609375,-1.3809764362871646,0.011509284,0.0003,563.3848266601562,10,-0.0066716670989990234,1385.3272411346436,-0.00710765964249731,0.2
-154.0407450327869,1493,6144,100.08196721311475,3,4,0.032080078125,-1.3736884023994207,0.0074508307,0.0003,513.2799682617188,20,-0.06048142910003662,1299.509633922577,-0.006431344208249356,0.2
-158.4347318902439,1454,8192,99.8048780487805,4,5,0.0078125,-1.3686462014913559,0.006881953,0.0003,287.89691162109375,30,-0.030096888542175293,994.473530960083,-0.004836270720988978,0.2
-157.72399513,1431,10240,101.59,5,7,0.023046875,-1.344175300374627,0.0076340693,0.0003,315.8509216308594,40,-0.001165151596069336,635.1794927120209,-0.0060300499317236245,0.2
-152.97527169,1404,12288,106.4,6,8,0.1482421875,-1.302373956888914,0.011730894,0.0003,213.30380249023438,50,-0.01709449291229248,640.4425455570221,-0.00902456832700409,0.2
-151.38835819,1379,14336,110.93,7,10,0.01962890625,-1.2778713203966618,0.008840824,0.0003,235.84747314453125,60,-0.001106858253479004,826.0461199760437,-0.007296690969087649,0.2
-151.83246291,1351,16384,115.89,8,12,0.03212890625,-1.2489964473992585,0.0061839493,0.0003,138.69061279296875,70,0.00034987926483154297,534.2939239025116,-0.004170878776494647,0.2
-147.98828922999996,1337,18432,121.14,9,13,0.069140625,-1.2186913706362248,0.011409285,0.0003,436.64837646484375,80,0.00200808048248291,784.592770767212,-0.008955968067311915,0.2
-139.94808853,1308,20480,131.13,10,15,0.121728515625,-1.1245511643588544,0.0136129595,0.0003,93.57121276855469,90,0.006936490535736084,333.84715592861176,-0.006444850874686381,0.2
-137.50672219999998,1291,22528,140.13,11,17,0.102685546875,-1.1484385266900063,0.011428459,0.0003,352.15478515625,100,0.01246732473373413,1179.5672674179077,-0.006853784926352091,0.2
-132.95782774,1281,24576,149.65,12,19,0.054833984375,-1.1177299544215202,0.0069814594,0.0003,185.4692840576172,110,0.02447187900543213,340.0595415592194,-0.007034133920387831,0.2
-129.69833233,1226,26624,164.28,13,21,0.05869140625,-1.0880840335041284,0.0067388546,0.0003,327.9900207519531,120,0.01701432466506958,417.7921970367432,-0.007163554003636818,0.2
-126.38898030000001,1163,28672,178.3,14,24,0.045654296875,-1.1873961418867112,0.009216694,0.0003,69.1380615234375,130,0.001846611499786377,284.76459338665006,-0.006331095649511553,0.2
