time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/n_updates,train/loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/explained_variance
0,2048,1,-168.7150867826087,2379,88.95652173913044,,,,,,,,,,
2,4096,2,-173.2063195434783,1790,87.45652173913044,0.04287109375,0.006465687,0.0003,1535.4134859085084,10,1416.738525390625,-1.3828140292316675,0.2,-0.00587674741691444,0.00791788101196289
3,6144,3,-167.91627389552235,1654,91.44776119402985,0.0232421875,0.010508571,0.0003,1239.9405672073365,20,262.99176025390625,-1.3741920910775662,0.2,-0.00532284461078234,-0.05598938465118408
5,8192,4,-164.575286091954,1578,93.32183908045977,0.06044921875,0.0082918685,0.0003,1190.0890836715698,30,507.39154052734375,-1.3622306223958731,0.2,-0.009303158696275205,-0.0005601644515991211
6,10240,5,-161.78521789,1541,93.56,0.089111328125,0.005003011,0.0003,593.1715339183808,40,344.9888000488281,-1.3567340780049562,0.2,-0.008476427238201722,-0.003562450408935547
8,12288,6,-159.06137997,1516,94.12,0.02705078125,0.0077390554,0.0003,591.7808438301087,50,311.6213684082031,-1.3586706154048442,0.2,-0.0041441801986366045,-0.004473686218261719
9,14336,7,-156.65255676,1488,98.69,0.04306640625,0.0064400556,0.0003,492.8355157852173,60,187.12391662597656,-1.3362342610955238,0.2,-0.0020038848975673317,-0.0026372671127319336
11,16384,8,-152.49239691999998,1463,102.88,0.040478515625,0.0060173795,0.0003,607.9662291526795,70,180.1902618408203,-1.310912662744522,0.2,-0.006908260376076214,-0.0007698535919189453
12,18432,9,-151.09318771,1451,107.63,0.071142578125,0.013004471,0.0003,372.5217649459839,80,130.765625,-1.2794039018452168,0.2,-0.008459969714749604,-0.004170060157775879
14,20480,10,-149.22976765000004,1437,115.46,0.096533203125,0.011420265,0.0003,480.1985082626343,90,389.3673400878906,-1.2144907385110855,0.2,-0.01023881090732175,0.1297980546951294
