time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/value_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/policy_gradient_loss
2048,1,-166.51681495238097,95.66666666666667,0,2251,,,,,,,,,,
4096,2,-166.87067546341464,97.4390243902439,2,1743,1806.1892763137816,0.005277872085571289,0.2,-1.3844201285392046,0.0049040252,0.0003,0.003662109375,10,923.2301025390625,-0.0040708557848120105
6144,3,-161.44904999999997,98.47540983606558,3,1627,935.0662433624268,-0.011160016059875488,0.2,-1.3756175272166729,0.00773307,0.0003,0.058740234375,20,519.2260131835938,-0.007589267249568365
8192,4,-160.5260725822785,103.60759493670886,5,1565,1030.0813876152038,-0.021225452423095703,0.2,-1.3607497837394475,0.0073337397,0.0003,0.0056640625,30,346.47735595703125,-0.0047069145133718845
10240,5,-160.4686715833333,105.75,6,1531,703.9127737522125,-0.006327271461486816,0.2,-1.3290437944233418,0.0063870093,0.0003,0.04775390625,40,255.99024963378906,-0.006273805077944417
12288,6,-155.68777558,109.69,8,1507,743.5506833076477,-0.004766583442687988,0.2,-1.3237677302211524,0.00783461,0.0003,0.05537109375,50,313.5769348144531,-0.009299251916672802
14336,7,-152.2889286,113.77,9,1486,663.6608719825745,-7.534027099609375e-05,0.2,-1.3199507150799037,0.008987907,0.0003,0.0533203125,60,420.3035888671875,-0.004926633610739373
16384,8,-147.55947725,117.17,11,1467,1193.8632130622864,-0.012280702590942383,0.2,-1.31133975982666,0.010462331,0.0003,0.065625,70,894.40576171875,-0.008623458510555793
18432,9,-149.34219885000002,118.79,12,1451,532.818234872818,-0.005106568336486816,0.2,-1.2803077835589647,0.014759893,0.0003,0.13681640625,80,198.68328857421875,-0.013098759589775
20480,10,-146.37802046,129.25,14,1379,659.9286046028137,0.012597739696502686,0.2,-1.240670182928443,0.01228235,0.0003,0.1126953125,90,256.1302185058594,-0.011593050209921785
22528,11,-140.87805603999996,136.33,16,1370,410.7472870349884,0.03986763954162598,0.2,-1.2409491766244174,0.015416492,0.0003,0.09365234375,100,203.97305297851562,-0.008597233855107333
24576,12,-135.12927011,139.02,17,1367,984.1987491607666,-0.059293389320373535,0.2,-1.1887345198541879,0.012848457,0.0003,0.0974609375,110,441.2393493652344,-0.008498644466453698
26624,13,-131.11230132,145.8,19,1362,616.0502900600434,-0.02609872817993164,0.2,-1.1655909020453692,0.008897489,0.0003,0.054541015625,120,214.8617706298828,-0.00921822374803014
28672,14,-129.06432623,153.81,21,1355,756.3562766075135,-0.013129234313964844,0.2,-1.2252023424953222,0.00582355,0.0003,0.06708984375,130,276.36126708984375,-0.006829211721196771
30720,15,-130.63183167,161.92,22,1350,336.4872266292572,0.020917832851409912,0.2,-1.1722727566957474,0.007781675,0.0003,0.07666015625,140,407.64288330078125,-0.009656343549431767
32768,16,-129.77736878000002,168.85,24,1321,303.74672224521635,0.143199622631073,0.2,-1.1131830662488937,0.0072943997,0.0003,0.062158203125,150,123.58187103271484,-0.008661342199047795
34816,17,-129.37548896,183.64,26,1292,297.01045134067533,0.1750287413597107,0.2,-1.1366806253790855,0.0068665706,0.0003,0.04677734375,160,148.75843811035156,-0.009298178988683504
36864,18,-125.80895505000001,196.71,29,1255,335.6541516780853,0.16609686613082886,0.2,-1.1225675158202648,0.0071648164,0.0003,0.05859375,170,111.94326782226562,-0.006008131415001117
38912,19,-123.24146879000001,211.22,31,1237,218.85007256269455,0.23244696855545044,0.2,-1.1532581217586995,0.0068921675,0.0003,0.0322265625,180,45.09663009643555,-0.00705737144962768
40960,20,-123.62363508,215.64,33,1216,276.36938815116883,0.11190062761306763,0.2,-1.053548553586006,0.008717936,0.0003,0.051416015625,190,89.63188934326172,-0.006877794973843265
43008,21,-117.10867441999999,228.67,35,1203,252.70438764095306,0.037000179290771484,0.2,-1.087067724764347,0.0070517147,0.0003,0.03515625,200,170.58192443847656,-0.003447592633892782
45056,22,-115.30000996000001,243.64,37,1199,292.5965103626251,0.05210167169570923,0.2,-1.0618427582085133,0.0038516198,0.0003,0.011474609375,210,134.55264282226562,-0.004508420021738857
47104,23,-115.36587753000002,255.3,40,1176,347.10811393260957,0.16427862644195557,0.2,-1.0487982945516705,0.012575567,0.0003,0.0859375,220,82.62834930419922,-0.013018451603420545
49152,24,-115.00815939,262.74,41,1174,235.22834465503692,0.1787436604499817,0.2,-1.0290854275226593,0.006981468,0.0003,0.068603515625,230,46.62321472167969,-0.007777059288491728
51200,25,-111.18064797000001,275.66,44,1157,421.13816084861753,0.22509640455245972,0.2,-0.9802859408780933,0.010773986,0.0003,0.09814453125,240,149.39349365234375,-0.009872537280898541
53248,26,-108.49478821000001,288.96,46,1150,368.3915858507156,-0.0021103620529174805,0.2,-1.0233033681288362,0.0062175207,0.0003,0.022607421875,250,138.3450469970703,-0.0042836863911361435
55296,27,-109.14650205999999,301.8,48,1129,249.90997788906097,0.2945951223373413,0.2,-0.983135806210339,0.013644367,0.0003,0.128564453125,260,167.49354553222656,-0.008710765252180864
57344,28,-107.99591004999998,319.89,53,1080,240.41256153583527,0.21272945404052734,0.2,-1.006165229715407,0.00629047,0.0003,0.062158203125,270,142.629150390625,-0.008727222613379127
59392,29,-103.67131816,337.08,55,1065,109.34381942749023,0.49988269805908203,0.2,-1.083920607343316,0.0059655453,0.0003,0.060009765625,280,23.195890426635742,-0.005436637960519875
61440,30,-103.32804838999999,351.29,58,1046,88.11536193490028,0.5878675282001495,0.2,-0.9973847057670355,0.007935054,0.0003,0.063623046875,290,32.100929260253906,-0.0021800458011057345
63488,31,-103.04010904999997,369.35,61,1029,98.34273524284363,0.4670799970626831,0.2,-1.0193520521745085,0.008356253,0.0003,0.09921875,300,40.95841979980469,-0.006198138101899531
65536,32,-98.94449893,385.13,65,997,147.39109486341476,-0.012467384338378906,0.2,-1.0640394059941172,0.0043282905,0.0003,0.030908203125,310,111.13885498046875,-0.006162849818065297
67584,33,-99.21272657000002,397.79,69,971,53.33660927414894,0.502788245677948,0.2,-1.0341350624337793,0.006517791,0.0003,0.08076171875,320,12.120585441589355,-0.007577887614024803
69632,34,-96.37619603000003,414.04,73,950,93.66897655129432,0.6023598909378052,0.2,-0.9097442470490933,0.007190923,0.0003,0.085107421875,330,40.083824157714844,-0.00802030158083653
71680,35,-95.81444332999999,427.24,76,936,60.39351672232151,0.6112386584281921,0.2,-0.8787759957835078,0.0061461283,0.0003,0.03447265625,340,20.30308723449707,-0.0034843254288716707
73728,36,-93.21317023000002,442.36,80,920,74.02912947535515,0.5058512091636658,0.2,-0.9603849515318871,0.016570857,0.0003,0.133935546875,350,16.17177391052246,-0.006909606988483574
75776,37,-90.43405120000003,460.19,84,902,40.625847917795184,0.6654961109161377,0.2,-0.9947193145751954,0.0051498716,0.0003,0.048486328125,360,8.052312850952148,-0.006285571776970755
77824,38,-87.11370963000002,476.86,88,878,43.205056481063366,0.8086491227149963,0.2,-0.8689712885767221,0.006097202,0.0003,0.045751953125,370,4.680740833282471,-0.002911425287857128
79872,39,-81.34527496000003,500.64,91,873,47.0507498383522,0.5821881890296936,0.2,-1.0369073528796435,0.008660713,0.0003,0.093408203125,380,4.594400882720947,-0.00872880113456631
81920,40,-80.18143309999999,516.42,95,856,60.55730471909046,0.5772981345653534,0.2,-0.873630952462554,0.0053071054,0.0003,0.047314453125,390,15.820773124694824,-0.002876590859523276
83968,41,-74.26981683000001,531.14,99,843,45.401874266564846,0.7446132898330688,0.2,-0.9454009316861629,0.00896856,0.0003,0.096923828125,400,5.594891548156738,-0.004460898727847962
86016,42,-71.4990995,543.9,102,842,128.57516230642796,0.3860968351364136,0.2,-0.8443860277533531,0.031041162,0.0003,0.09423828125,410,11.367920875549316,-0.010105782751634252
88064,43,-69.74534618000001,556.6,105,837,144.07176762521266,0.4995071291923523,0.2,-0.9234243160113692,0.0056085554,0.0003,0.038916015625,420,85.82583618164062,-0.0029652364275534636
90112,44,-67.18220303999999,564.02,108,831,105.50823638886213,0.6243483424186707,0.2,-0.8137052772566676,0.005485817,0.0003,0.034228515625,430,13.373299598693848,-0.0024834176976582965
92160,45,-64.85462882999998,577.16,111,825,151.53356249034405,0.4205396771430969,0.2,-0.880709127523005,0.0044560945,0.0003,0.03681640625,440,18.530141830444336,-0.0025025464841746726
94208,46,-58.710994469999996,591.52,114,820,112.4964944601059,0.7311266660690308,0.2,-0.886738789640367,0.0048739696,0.0003,0.0388671875,450,70.06394958496094,-0.004081147874967428
96256,47,-60.48737119,608.88,117,817,180.68675737082958,0.6395272612571716,0.2,-0.8714280342683196,0.003689234,0.0003,0.014013671875,460,43.122657775878906,-0.0029490505112335086
98304,48,-58.93838866,606.51,121,809,121.31146564185619,0.7180840075016022,0.2,-0.8500685879960657,0.005634113,0.0003,0.060693359375,470,74.56375885009766,-0.004966414406226249
100352,49,-51.27736066000001,622.64,124,806,145.02782353758812,0.6397410035133362,0.2,-0.8348307484760881,0.0038220286,0.0003,0.021142578125,480,18.871034622192383,-0.001517687021259917
102400,50,-48.92230487,637.78,127,802,187.23403440117835,0.25611400604248047,0.2,-0.8765811802819371,0.0045206742,0.0003,0.030224609375,490,94.09606170654297,-0.003819804706290597
104448,51,-45.81710244999999,644.19,130,800,129.21866256296636,0.5518879890441895,0.2,-0.8185569951310754,0.0057777846,0.0003,0.04951171875,500,5.044134140014648,-0.0027489165295264684
106496,52,-43.93059246,656.54,133,798,162.46405489444732,0.5285474061965942,0.2,-0.9124080628156662,0.0024861614,0.0003,0.027490234375,510,5.524834156036377,-0.004711205667990726
108544,53,-45.07223424000001,658.18,136,794,125.89227713495492,0.791017547249794,0.2,-0.8876833552494645,0.012214826,0.0003,0.0904296875,520,13.327988624572754,-0.0038342403444403318
110592,54,-39.40550034,669.0,139,791,115.51708248853683,0.6687778532505035,0.2,-0.8651659255847335,0.0042138165,0.0003,0.0361328125,530,15.633530616760254,-0.005972946817928459
112640,55,-35.179684449999996,678.16,142,790,191.16845466196537,0.4597022533416748,0.2,-0.8272997645661235,0.0034336622,0.0003,0.02890625,540,219.37696838378906,-0.0029786778999550735
114688,56,-34.70965201999999,695.5,145,786,178.21621828973292,0.457336962223053,0.2,-0.9266157003119588,0.0047150636,0.0003,0.031005859375,550,5.060770511627197,-0.004898775702531566
116736,57,-31.40817898,699.43,148,785,108.06538918018342,0.7626333087682724,0.2,-0.9039801554754376,0.0068999752,0.0003,0.049658203125,560,31.87022590637207,-0.003516820297954837
118784,58,-26.972939910000004,711.66,151,783,177.98754293322563,0.2658085227012634,0.2,-0.8586922708898783,0.006260879,0.0003,0.04345703125,570,51.53895568847656,-0.003984630580089288
120832,59,-26.392215379999993,723.43,154,784,69.64026290625334,0.7558976262807846,0.2,-0.9050450397655367,0.01328349,0.0003,0.169873046875,580,20.55231285095215,-0.008416232097079045
122880,60,-22.755344969999996,740.34,157,778,126.37363861352205,0.5386976301670074,0.2,-0.8903836440294981,0.0030657076,0.0003,0.044873046875,590,4.660497665405273,-0.0028257891004614065
124928,61,-22.812333659999993,747.84,161,775,104.32232175320387,0.461814820766449,0.2,-0.8463348425924778,0.006454585,0.0003,0.03916015625,600,10.407224655151367,-0.0027833087009639713
126976,62,-14.774205709999999,765.97,164,774,75.91102681159973,0.673238605260849,0.2,-0.8927678044885397,0.00446926,0.0003,0.040966796875,610,24.038537979125977,-0.0009205618567648344
129024,63,-15.714779020000002,769.27,167,768,101.30787176787854,0.5903676450252533,0.2,-0.8241157179698348,0.010554766,0.0003,0.129638671875,620,8.74870777130127,-0.0046057402942096815
131072,64,-16.10438268,779.72,171,765,96.27402888536453,0.4764156937599182,0.2,-0.9479235917329788,0.0053997664,0.0003,0.048046875,630,76.2210464477539,-0.002067751200229395
133120,65,-14.059245600000002,788.9,175,759,102.64767813682556,0.674821674823761,0.2,-0.8940184967592358,0.0034253842,0.0003,0.042138671875,640,10.290740013122559,-0.0021095430736750133
135168,66,-10.081064759999999,798.68,178,756,72.35001434013247,0.7059715390205383,0.2,-0.9384749425575137,0.007686142,0.0003,0.07890625,650,43.33100128173828,-0.003333633706643013
137216,67,-11.361755839999999,796.77,181,754,53.79905214905739,0.7642308622598648,0.2,-0.9689936244860291,0.006088933,0.0003,0.063330078125,660,3.4499542713165283,-0.0026738266307802403
139264,68,-11.236318389999997,790.6,185,752,78.06611550301314,0.6746313571929932,0.2,-0.9178666971623898,0.005989267,0.0003,0.036181640625,670,53.62390899658203,-0.0023705181891273243
141312,69,-7.912027439999998,793.01,188,748,127.23090565949678,0.6613243222236633,0.2,-0.8604502433910965,0.008663833,0.0003,0.062451171875,680,34.742767333984375,-0.0028395484274369664
143360,70,-5.447746449999998,795.67,192,745,59.624132773280145,0.6114087402820587,0.2,-0.9266095565631985,0.003960044,0.0003,0.062255859375,690,4.885146617889404,-0.004339945749961771
145408,71,-5.584236869999997,794.13,196,739,71.65065994411707,0.7396498918533325,0.2,-0.8075771408155561,0.003326164,0.0003,0.027294921875,700,11.353096961975098,-0.0043781661304819865
