rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate
96.0,2382,1,0,2048,-152.98262671428571,,,,,,,,,,
96.95238095238095,1790,2,2,4096,-153.1237124047619,2362.9948835372925,10,1207.06787109375,0.0077796923,-1.3826174173504113,-0.005970216864079702,0.001974761486053467,0.2,0.02177734375,0.0003
97.36507936507937,1654,3,3,6144,-153.36159023809526,2564.3307231903077,20,1044.0792236328125,0.007605277,-1.3797047186642886,-0.007094771134870825,0.004867434501647949,0.2,0.045947265625,0.0003
97.49397590361446,1595,4,5,8192,-147.05713375903613,2265.371850967407,30,1138.51953125,0.0050007314,-1.3808074705302715,-0.003998927706561517,-0.021933913230895996,0.2,0.015283203125,0.0003
99.9,1560,5,6,10240,-146.40732867999998,1198.4006811141967,40,1984.17431640625,0.006296407,-1.3741723597049713,-0.007636124488635687,-0.00662076473236084,0.2,0.02998046875,0.0003
99.91,1538,6,7,12288,-144.70944963000002,893.7193318367005,50,284.5350036621094,0.010788785,-1.357981938123703,-0.007771280730958096,-0.009243965148925781,0.2,0.09775390625,0.0003
101.56,1521,7,9,14336,-142.42371428,687.8092431545258,60,468.1435546875,0.013820267,-1.3411349311470986,-0.004567653807316674,-0.002634406089782715,0.2,0.04638671875,0.0003
106.77,1502,8,10,16384,-143.78876619000002,500.2767150402069,70,197.15057373046875,0.0133160725,-1.3066076792776584,-0.013951657415600494,-0.0010251998901367188,0.2,0.206982421875,0.0003
111.77,1490,9,12,18432,-143.09329206,517.847478055954,80,299.7567443847656,0.0051580947,-1.288312778249383,-0.004878547224870999,-0.006883859634399414,0.2,0.0490234375,0.0003
123.04,1403,10,14,20480,-141.70756869999997,524.6003922462463,90,177.06044006347656,0.013415531,-1.2306806590408086,-0.005766494557610713,-3.135204315185547e-05,0.2,0.12841796875,0.0003
126.72,1401,11,16,22528,-141.26422911,637.5853629112244,100,364.50811767578125,0.002981669,-1.3040828336030246,-0.0018255885661346838,-1.6927719116210938e-05,0.2,0.002783203125,0.0003
133.31,1397,12,17,24576,-135.23471105000002,641.3433609485626,110,424.17022705078125,0.0051879277,-1.2181025613099337,-0.006236723308393266,-0.009601831436157227,0.2,0.0337890625,0.0003
140.76,1394,13,19,26624,-132.60041370000002,300.06128611564634,120,160.97352600097656,0.0076988535,-1.2106151089072228,-0.010642399272182957,-0.0008296966552734375,0.2,0.054443359375,0.0003
146.9,1390,14,20,28672,-132.59916022000002,504.51326141357424,130,213.96035766601562,0.0120869,-1.184150382503867,-0.009269082635000814,-5.924701690673828e-05,0.2,0.065283203125,0.0003
160.96,1345,15,22,30720,-128.88265962,426.43982968330386,140,228.6706085205078,0.012133224,-1.120363875851035,-0.008570078651246149,0.017843306064605713,0.2,0.074365234375,0.0003
172.16,1294,16,25,32768,-125.09312552000002,375.36629781723025,150,160.716796875,0.0038089615,-1.1844679690897464,-0.002898225825629197,0.06148654222488403,0.2,0.00517578125,0.0003
177.79,1292,17,26,34816,-124.12164375000002,424.3009819507599,160,175.3988037109375,0.0011476097,-1.1738285154104233,-0.001604109762411099,0.16719627380371094,0.2,0.0,0.0003
189.6,1227,18,30,36864,-123.13230928000003,386.9430601596832,170,177.0377197265625,0.0071903076,-1.1359732877463102,-0.004244200691755395,0.04944419860839844,0.2,0.0251953125,0.0003
184.56,1233,19,31,38912,-120.07357310000002,251.63047096729278,180,46.672393798828125,0.009178697,-1.2370556354522706,-0.0063410273301997225,0.3363298177719116,0.2,0.023486328125,0.0003
196.21,1218,20,33,40960,-122.37932545,441.9364729881287,190,134.30224609375,0.004527425,-1.1474022913724184,-0.0035368701828701887,0.27795326709747314,0.2,0.003662109375,0.0003
197.86,1224,21,35,43008,-118.94262082000002,393.20462970733644,200,293.27056884765625,0.006720023,-1.238575803115964,-0.006833869105321355,0.30371201038360596,0.2,0.02177734375,0.0003
200.22,1228,22,36,45056,-118.96235073000001,449.2568223953247,210,358.00592041015625,0.0064590946,-1.097568980231881,-0.0035235703777289017,0.19976621866226196,0.2,0.04130859375,0.0003
204.12,1214,23,38,47104,-117.80981394999999,514.0360960960388,220,268.59356689453125,0.008632893,-1.059214036911726,-0.013491546423756518,0.45421266555786133,0.2,0.06337890625,0.0003
214.72,1206,24,40,49152,-117.73441009,406.25309362411497,230,276.1440124511719,0.0073138056,-1.1706053730100394,-0.009597313572885468,0.3753895163536072,0.2,0.048974609375,0.0003
219.12,1203,25,42,51200,-111.27018208999999,581.5536593437195,240,285.9422607421875,0.011046897,-1.0729833455756306,-0.007898569481767481,0.20888668298721313,0.2,0.0771484375,0.0003
229.29,1170,26,45,53248,-114.04947204000001,391.6044328212738,250,208.55471801757812,0.010177501,-1.0432201121002436,-0.011860165777761722,0.32417917251586914,0.2,0.11171875,0.0003
229.58,1154,27,47,55296,-113.94039099000001,133.7538000702858,260,62.01020812988281,0.009848966,-1.2051844511181116,-0.0063239720730052795,0.43274587392807007,0.2,0.0779296875,0.0003
245.76,1135,28,50,57344,-108.93312947,186.1009948849678,270,436.23663330078125,0.0058563612,-1.2113620381802321,-0.006322779836409609,0.4751695990562439,0.2,0.04453125,0.0003
264.37,1121,29,52,59392,-108.92532757,103.64736171960831,280,30.71122169494629,0.011307148,-1.1693810541182756,-0.009859665831027088,0.5284928977489471,0.2,0.13720703125,0.0003
271.17,1115,30,55,61440,-108.76430997,164.50932540893555,290,84.84076690673828,0.007818502,-1.2086323454976082,-0.008815207180305151,0.5190763473510742,0.2,0.083935546875,0.0003
289.33,1088,31,58,63488,-104.45337544,220.19683198928834,300,264.07708740234375,0.007498754,-1.0616179779171944,-0.006715559578151442,0.356941282749176,0.2,0.07568359375,0.0003
290.69,1065,32,61,65536,-105.35722754000003,118.7028873205185,310,97.73645782470703,0.004682719,-1.1411754921078683,-0.006177633906190749,0.6251250207424164,0.2,0.05810546875,0.0003
309.51,1049,33,64,67584,-101.86426402000001,71.67942997217179,320,14.41672420501709,0.008212796,-1.221083751320839,-0.007376952716003871,0.6991359889507294,0.2,0.060498046875,0.0003
325.25,1025,34,67,69632,-99.40585484000003,72.08537281155586,330,46.086509704589844,0.009615085,-1.082488039508462,-0.008222474325884832,0.7140865921974182,0.2,0.100927734375,0.0003
343.24,1013,35,70,71680,-97.54896484999999,44.69267610907555,340,9.028841972351074,0.014120233,-1.074354451149702,-0.010559739806922153,0.8045343458652496,0.2,0.1166015625,0.0003
356.58,999,36,73,73728,-95.12846378,83.86500097513199,350,16.184696197509766,0.008493871,-1.056157642416656,-0.0048332543625292605,0.6329097747802734,0.2,0.065380859375,0.0003
375.29,991,37,76,75776,-92.13182036,69.12219210863114,360,290.99749755859375,0.007507446,-1.0719976905733346,-0.0048189613124122845,0.6741244196891785,0.2,0.046240234375,0.0003
389.42,980,38,79,77824,-90.47637289000001,158.7820952951908,370,14.495169639587402,0.0074134395,-1.1270057737827301,-0.004921165839186869,0.27584588527679443,0.2,0.056591796875,0.0003
405.83,956,39,83,79872,-85.94433634,90.81446752250194,380,133.2416229248047,0.005025513,-0.9875872081145645,-0.0017133828994701616,0.46228188276290894,0.2,0.03017578125,0.0003
419.01,942,40,86,81920,-88.57668456000002,47.599910114705565,390,6.538241863250732,0.010645956,-1.0510914584621787,-0.0070076241390779614,0.7693413347005844,0.2,0.090966796875,0.0003
435.48,929,41,90,83968,-85.36881887999999,84.6260176628828,400,261.22882080078125,0.0075994967,-1.0802699532359838,-0.0029943833440484015,0.6838198900222778,0.2,0.049853515625,0.0003
443.92,924,42,93,86016,-80.84337584,51.57820726931095,410,8.395236015319824,0.005301389,-0.9387052342295646,-0.004962570677889744,0.7778714746236801,0.2,0.055810546875,0.0003
460.1,910,43,96,88064,-82.10337944999999,62.038088569045065,420,51.38816452026367,0.0066754525,-0.9754879986867309,-0.005752550427860115,0.7378693521022797,0.2,0.05673828125,0.0003
485.95,900,44,100,90112,-78.67222869,79.24225422739983,430,4.33027982711792,0.0055818777,-0.959570667333901,-0.0036553111021930818,0.5537518262863159,0.2,0.052001953125,0.0003
503.21,888,45,103,92160,-75.70945203000001,60.59771694093943,440,4.114442348480225,0.0060835276,-0.9597916843369603,-0.0047658207789936565,0.6404141485691071,0.2,0.05732421875,0.0003
514.65,877,46,107,94208,-74.62667139,34.634297193586825,450,6.066087245941162,0.018466849,-1.0130605310201646,-0.010504820334608667,0.77606301009655,0.2,0.134033203125,0.0003
531.62,864,47,111,96256,-72.41633675,63.42809075564146,460,8.943862915039062,0.006611541,-1.0119231756776572,-0.002947256601692061,0.5889414548873901,0.2,0.075830078125,0.0003
548.12,856,48,114,98304,-68.48451,27.551321202516554,470,5.081113815307617,0.007049293,-0.9583065617829561,-0.004686927108559757,0.8158335983753204,0.2,0.0578125,0.0003
563.71,847,49,118,100352,-64.34946799999999,134.00602681338788,480,67.12703704833984,0.009773126,-0.9980676094070077,-0.004800763563980581,0.2707480192184448,0.2,0.07802734375,0.0003
583.23,841,50,121,102400,-60.11813685,64.26199750751258,490,32.87051773071289,0.011580498,-0.9101088227704167,-0.009106115521717584,0.36264270544052124,0.2,0.0734375,0.0003
598.33,840,51,124,104448,-56.56922191000002,119.10320416688918,500,48.064022064208984,0.003291858,-0.9902309164404869,-0.0033091126759245528,0.5042087435722351,0.2,0.0248046875,0.0003
610.87,836,52,127,106496,-50.47653779999999,120.36936269700527,510,67.2461929321289,0.0035971566,-0.9232818802818656,-0.0033059962661354803,0.6098425388336182,0.2,0.02490234375,0.0003
627.03,832,53,130,108544,-49.41980503,144.86899882555008,520,71.8139877319336,0.008612787,-0.958007195778191,-0.003803568857256323,0.1578754186630249,0.2,0.049365234375,0.0003
645.16,831,54,132,110592,-44.41887344,62.979001469910145,530,10.360574722290039,0.0041964147,-0.935796745866537,-0.004130560451449128,0.3611452579498291,0.2,0.05537109375,0.0003
659.08,830,55,135,112640,-40.279692389999994,61.63037805706263,540,6.300181865692139,0.008247765,-0.9666835332289339,-0.0034428414473950397,0.5441100001335144,0.2,0.085986328125,0.0003
665.0,830,56,138,114688,-41.24530546,118.71893083155155,550,63.33603286743164,0.0080465,-0.9458867335692048,-0.0071210642883670515,0.46766817569732666,0.2,0.082080078125,0.0003
682.07,829,57,140,116736,-35.92064979,129.33379108309745,560,24.769193649291992,0.0038682257,-1.031551779434085,-0.002667474818008486,0.4411199688911438,0.2,0.055419921875,0.0003
696.83,827,58,143,118784,-34.264109559999994,129.61137642860413,570,20.554264068603516,0.0030133775,-0.8233375366777181,-0.0025673313124570996,0.6178815364837646,0.2,0.025732421875,0.0003
713.54,822,59,146,120832,-28.3789843,51.67881054729223,580,6.214453220367432,0.0070166076,-1.0002603366971017,-0.0033882424817420543,0.7367283403873444,0.2,0.105126953125,0.0003
729.04,816,60,150,122880,-23.65863335,79.20106377005577,590,21.59816551208496,0.005234042,-0.9206576669588685,-0.0016210952042456483,0.5998421013355255,0.2,0.027978515625,0.0003
746.78,810,61,154,124928,-19.905828399999997,42.263621382415295,600,4.465759754180908,0.0058167693,-0.9379871591925621,-0.003706154611427337,0.7070662081241608,0.2,0.076025390625,0.0003
747.59,808,62,156,126976,-21.181774410000003,118.91137898564338,610,11.389267921447754,0.0040776916,-0.9118615224957466,-0.0008727380864002043,0.5675457417964935,0.2,0.02744140625,0.0003
755.7,808,63,159,129024,-16.46594342,144.60856573581697,620,18.620813369750977,0.006911386,-0.9264530947431922,-0.00475506769362255,0.4666537642478943,0.2,0.057470703125,0.0003
761.0,806,64,162,131072,-17.257140760000002,127.37090691030025,630,33.21881866455078,0.004800331,-0.9612712550908327,-0.004014448917587288,0.3590119481086731,0.2,0.06298828125,0.0003
769.27,804,65,165,133120,-13.448024359999998,108.92581958174705,640,52.020484924316406,0.0046912697,-0.9673659699037671,-0.0007106624001607997,0.33090460300445557,0.2,0.034033203125,0.0003
771.1,797,66,169,135168,-15.431399210000002,112.94879796802998,650,25.241973876953125,0.0046827695,-0.9220278628170491,-0.0032908854467677885,0.5761509537696838,0.2,0.056884765625,0.0003
773.98,795,67,172,137216,-14.96148502,85.11119894683361,660,24.257190704345703,0.005878628,-0.9418155189603568,-0.0023591666089487263,0.6614136099815369,0.2,0.029248046875,0.0003
785.87,790,68,176,139264,-12.923553159999999,55.31730624139309,670,20.656787872314453,0.005251648,-0.8708630407229065,-0.0014116200683929492,0.8559666723012924,0.2,0.054345703125,0.0003
791.37,790,69,178,141312,-15.35323377,29.715088644623755,680,4.121251583099365,0.009672051,-0.96069948785007,-0.0017172223902889527,0.9029303267598152,0.2,0.061328125,0.0003
797.34,789,70,181,143360,-14.56158664,56.677864676713945,690,18.827003479003906,0.0048197927,-0.8925454033538699,-0.0005279241711832583,0.9195096641778946,0.2,0.042822265625,0.0003
795.31,789,71,184,145408,-13.36157356,47.3312068760395,700,39.475921630859375,0.013972905,-0.7924506807699799,-0.0026865326035476755,0.9140751659870148,0.2,0.085498046875,0.0003
794.47,786,72,187,147456,-13.51914466,190.86965781152247,710,196.58717346191406,0.004430915,-0.8541442042216658,-0.001806225116888527,0.676118940114975,0.2,0.01923828125,0.0003
790.55,784,73,190,149504,-14.748055019999997,70.57319633066655,720,15.504745483398438,0.004147995,-0.9312623033300043,-0.002296017530170502,0.8449658900499344,0.2,0.03388671875,0.0003
