rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/explained_variance,train/loss,train/clip_range,train/value_loss
-185.99764052380954,2208,2048,95.71428571428571,0,1,,,,,,,,,,
-161.2339779767442,1706,4096,93.76744186046511,2,2,10,-0.009611427019990515,-1.379955693334341,0.010536514,0.0003,0.051416015625,-0.00384676456451416,460.9515075683594,0.2,1927.2618419647217
-162.99209009090907,1554,6144,92.89393939393939,3,3,20,-0.00882189452968305,-1.3774503897875547,0.007011756,0.0003,0.036328125,-0.019538044929504395,678.2847900390625,0.2,1776.7415660858155
-160.80314868965522,1502,8192,93.47126436781609,5,4,30,-0.004786266826704378,-1.374771659448743,0.011849183,0.0003,0.032421875,-0.0059784650802612305,477.95550537109375,0.2,913.6163167953491
-164.27448172,1486,10240,91.94,6,5,40,-0.009034243331552717,-1.3588294215500354,0.006551363,0.0003,0.035498046875,-0.0025914907455444336,243.76075744628906,0.2,1059.3729617118836
-157.65540219000002,1467,12288,93.84,8,6,50,-0.010630466519796756,-1.3284806326031684,0.010131881,0.0003,0.0875,-0.03822755813598633,409.814208984375,0.2,1175.835652256012
-154.49291698,1456,14336,97.53,9,7,60,-0.0064708278485341,-1.3198869299143552,0.00787721,0.0003,0.079443359375,-0.0014379024505615234,308.1761474609375,0.2,581.5631701469422
-150.11865622,1448,16384,101.36,11,8,70,-0.0033991679425525944,-1.3003879260271787,0.009533071,0.0003,0.081640625,-0.006891608238220215,278.9212341308594,0.2,766.7772041320801
-146.75253185000003,1441,18432,105.7,12,9,80,-0.00868941515655024,-1.2987332314252853,0.010653339,0.0003,0.08251953125,6.4373016357421875e-06,1196.8489990234375,0.2,853.488865661621
-146.69501413,1370,20480,108.87,14,10,90,-0.005638250292395242,-1.2707722049206496,0.016299017,0.0003,0.090283203125,-0.001973867416381836,231.8621368408203,0.2,500.9121284484863
-138.02221125000003,1365,22528,122.24,16,11,100,-0.006268333959451411,-1.305820869281888,0.0034038855,0.0003,0.018994140625,0.002427399158477783,220.29910278320312,0.2,454.41414375305175
-142.22110381000002,1366,24576,128.12,17,12,110,-0.00641891129562282,-1.2341255970299243,0.0082723275,0.0003,0.0259765625,-0.04189753532409668,107.84584045410156,0.2,497.9938690662384
-136.69576511,1359,26624,136.43,19,13,120,-0.008871347772947047,-1.1813033454120159,0.008692776,0.0003,0.050830078125,0.015356838703155518,278.1820983886719,0.2,653.2625210762023
-138.81995053000003,1354,28672,143.63,21,14,130,-0.0063894460123265166,-1.1860377192497253,0.008883515,0.0003,0.029833984375,-0.008559346199035645,391.707763671875,0.2,900.1362444877625
-135.35695811000002,1347,30720,154.69,22,15,140,-0.0029315490079170558,-1.143689190596342,0.0067637945,0.0003,0.0099609375,-0.13957250118255615,236.9719696044922,0.2,648.9412724494935
-135.96571981,1306,32768,167.61,25,16,150,-0.0068253233839641325,-1.1266468085348607,0.007198083,0.0003,0.048046875,0.08267337083816528,186.1605987548828,0.2,369.05390577316285
-130.47516596000003,1301,34816,178.15,26,17,160,-0.011613175185630098,-1.2337697699666024,0.0094945645,0.0003,0.0859375,-0.005649685859680176,172.5570526123047,0.2,402.74774208068845
-130.09173349,1298,36864,186.86,28,18,170,-0.00555605521731195,-1.1078434824943542,0.005472939,0.0003,0.02099609375,0.030581951141357422,104.11984252929688,0.2,406.70366954803467
-128.16662596000003,1294,38912,196.15,30,19,180,-0.005746341589838266,-1.07261478677392,0.006751591,0.0003,0.028857421875,0.006675601005554199,275.09490966796875,0.2,401.31615724563596
-123.69459645,1210,40960,213.82,33,20,190,-0.003933537608827464,-1.0265724306926132,0.003325625,0.0003,0.006982421875,0.13360202312469482,394.0555114746094,0.2,597.9073249816895
-123.66341816999999,1210,43008,212.92,35,21,200,-0.005178589180286508,-1.2426936961710453,0.008247571,0.0003,0.038037109375,0.2360108494758606,46.84876251220703,0.2,183.86003105640413
-121.83539051999998,1171,45056,229.27,38,22,210,-0.0062136287495377475,-0.9815623851493,0.010718726,0.0003,0.080712890625,0.08901697397232056,167.47573852539062,0.2,640.1403078079223
-119.74470814000001,1165,47104,237.27,40,23,220,-0.00809683628322091,-1.1201506927609444,0.010663854,0.0003,0.084619140625,0.2960089445114136,90.44583129882812,0.2,270.1636587381363
-115.41762405,1150,49152,251.8,42,24,230,-0.007885998696292518,-1.016909177787602,0.008132962,0.0003,0.07138671875,0.17962080240249634,101.42223358154297,0.2,333.3070700645447
-117.00493357,1151,51200,260.77,44,25,240,-0.004599181731464341,-1.0292167944833637,0.004997197,0.0003,0.028369140625,0.18220484256744385,206.88470458984375,0.2,392.99840517044066
-110.59078404000002,1145,53248,268.12,46,26,250,-0.008177238040661904,-0.968956190533936,0.009809561,0.0003,0.096826171875,0.4846559762954712,208.15692138671875,0.2,455.6494707107544
-113.57611121000002,1133,55296,272.74,48,27,260,-0.005886857039877213,-0.9540737783536315,0.004974763,0.0003,0.039208984375,0.4410918354988098,281.2079772949219,0.2,424.75687403678893
-112.67292809,1099,57344,289.13,52,28,270,-0.006465525353269186,-1.005879094824195,0.0064146165,0.0003,0.054541015625,0.5073957741260529,158.28067016601562,0.2,314.12613492012025
-107.44622368,1081,59392,302.01,54,29,280,-0.00209629659584607,-1.0976619631052018,0.0038781937,0.0003,0.010888671875,0.24883848428726196,71.29178619384766,0.2,339.8068089723587
-104.97989833,1061,61440,313.32,57,30,290,-0.007205848176090513,-1.0674337089061736,0.008891241,0.0003,0.069970703125,-0.02526700496673584,88.68096160888672,0.2,225.5566828250885
-102.1240649,1037,63488,330.66,61,31,300,-0.006957811338361352,-1.0982431065291167,0.0078072227,0.0003,0.056884765625,0.23283487558364868,60.13572311401367,0.2,225.02184456586838
-104.56531668,1036,65536,337.84,63,32,310,-0.006112646943074651,-1.1296681191772222,0.009172128,0.0003,0.037548828125,0.44061028957366943,33.844688415527344,0.2,135.02319059371948
-100.22036922,1015,67584,341.39,66,33,320,-0.00854420112009393,-1.0577072065323592,0.0071649957,0.0003,0.0640625,0.18921393156051636,42.28471755981445,0.2,181.89265836477279
-99.10225512000001,1007,69632,358.05,69,34,330,-0.007456547572655836,-1.0981853902339935,0.008330181,0.0003,0.07763671875,0.8195952624082565,14.6766939163208,0.2,69.2067452520132
-100.30707566,992,71680,374.71,72,35,340,-0.007473314100934658,-1.1407563913613559,0.00876939,0.0003,0.09560546875,0.8452080488204956,18.00334358215332,0.2,82.99210075736046
-94.87153509999999,985,73728,390.15,74,36,350,-0.003808116086293012,-1.1124427989125252,0.0030824062,0.0003,0.02744140625,0.7340275645256042,29.005220413208008,0.2,137.01850262880325
-95.95174866,988,75776,398.61,76,37,360,-0.007958087677252479,-1.0250232174992562,0.007740845,0.0003,0.0828125,0.8784642741084099,17.9260311126709,0.2,50.11829870045185
-93.53898231000001,987,77824,405.88,78,38,370,-0.006807899197156075,-0.9881409160792828,0.008298062,0.0003,0.09052734375,0.675464928150177,28.53139305114746,0.2,169.95589908361436
-93.42031906999999,966,79872,415.99,82,39,380,-0.010035510188754416,-1.0356736792251469,0.0071603246,0.0003,0.066064453125,0.756335973739624,32.02865982055664,0.2,120.20031045079232
-93.06322486999997,955,81920,429.46,85,40,390,-0.004828733131580521,-1.0581745333969592,0.019110091,0.0003,0.11728515625,0.9410647116601467,15.436619758605957,0.2,30.72776517570019
-89.54399868,950,83968,444.78,88,41,400,-0.006324081771890633,-0.9717471322044731,0.005016108,0.0003,0.0451171875,0.8709715604782104,22.731298446655273,0.2,97.61275861263275
-90.64378090000002,942,86016,446.42,91,42,410,-0.005173148887115531,-1.026587069965899,0.0084576,0.0003,0.0669921875,0.8789112493395805,18.46730613708496,0.2,63.368509939312936
-85.40694836000003,935,88064,462.38,94,43,420,-0.008583613015071023,-1.0069854578003288,0.014953128,0.0003,0.090673828125,0.8776651248335838,18.112932205200195,0.2,80.90372284501791
-82.52095512000001,919,90112,478.19,97,44,430,-0.006472245120676234,-0.9035879215225577,0.01907935,0.0003,0.110693359375,0.9300395548343658,133.38070678710938,0.2,31.829072906821967
-82.40417551,918,92160,492.79,100,45,440,-0.004356617637677118,-0.9223703993484378,0.0053859306,0.0003,0.07265625,0.8862378373742104,88.57443237304688,0.2,35.57747921943665
-80.37044024,917,94208,497.46,102,46,450,-0.008186205476522445,-0.8333163572475314,0.008361014,0.0003,0.08076171875,0.6793161630630493,52.00037384033203,0.2,136.927227216959
