rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl
-184.32251813636364,1,2048,2384,92.18181818181819,0,,,,,,,,,,
-147.899422,2,4096,1775,94.20930232558139,2,-0.0049740691829356365,-1.3839554373174905,10,0.008237183094024658,340.4338073730469,1244.493730354309,0.2,0.0003,0.006884765625,0.0057490086
-150.6414257936508,3,6144,1622,96.38095238095238,3,-0.005271490374070709,-1.3722305525094272,20,0.0014740824699401855,867.859130859375,2266.657484817505,0.2,0.0003,0.027783203125,0.00782936
-154.11882255421688,4,8192,1516,97.60240963855422,5,-0.0049858672893606125,-1.3585627131164073,30,-0.050725579261779785,341.68994140625,825.2300563812256,0.2,0.0003,0.04033203125,0.00741445
-152.06796001,5,10240,1495,97.54,6,-0.0080667870643083,-1.3675116732716561,40,0.001497805118560791,535.7866821289062,1254.3435926437378,0.2,0.0003,0.0533203125,0.007068851
-153.57780190999998,6,12288,1475,98.64,8,-0.009663830105273519,-1.3425789915025235,50,-0.0016486644744873047,385.2183837890625,586.0852548599244,0.2,0.0003,0.074658203125,0.009738004
-156.26556122,7,14336,1463,100.56,9,-0.004891428088740213,-1.3218799248337745,60,-0.0010097026824951172,232.60162353515625,621.7766560554504,0.2,0.0003,0.104296875,0.008490218
-153.90707317999997,8,16384,1451,102.52,11,-0.006378676790336613,-1.3145241484045982,70,0.0005761384963989258,461.6591796875,601.2923279762268,0.2,0.0003,0.07900390625,0.011708196
-148.82590937000003,9,18432,1423,107.95,12,-0.00778053996473318,-1.29635263197124,80,-0.03158009052276611,489.1977233886719,629.1774678230286,0.2,0.0003,0.105908203125,0.009971943
-155.95795038,10,20480,1404,115.14,14,-0.0063122221123194325,-1.2548031732439995,90,-0.008098721504211426,156.253662109375,483.55204434394835,0.2,0.0003,0.044384765625,0.0082821
-150.49066645000002,11,22528,1392,120.31,16,-0.007190281467046589,-1.266468286141753,100,0.006638050079345703,208.30169677734375,401.64240355491637,0.2,0.0003,0.051611328125,0.0085624065
-149.57142596,12,24576,1381,124.94,17,-0.006939934613183141,-1.252851190045476,110,0.010542333126068115,268.4574279785156,476.6027789592743,0.2,0.0003,0.026953125,0.008166324
-146.40099761,13,26624,1365,129.87,19,-0.006694233306916431,-1.2117596294730901,120,0.0158998966217041,164.3473663330078,464.49698305130005,0.2,0.0003,0.040283203125,0.0076150927
-144.27117091999997,14,28672,1360,136.31,21,-0.010372808761894703,-1.1982832748442889,130,0.0179712176322937,219.4923095703125,295.35728454589844,0.2,0.0003,0.142724609375,0.010532146
-141.79653667,15,30720,1357,144.83,22,-0.004163405334111303,-1.1620115894824266,140,0.01874750852584839,167.98809814453125,387.78395335674287,0.2,0.0003,0.050048828125,0.006149505
-140.0321778,16,32768,1351,153.76,24,-0.014629234310268658,-1.1262884855270385,150,0.03569513559341431,91.67090606689453,334.5022045612335,0.2,0.0003,0.16943359375,0.014355853
-134.02963912999996,17,34816,1332,159.68,26,-0.00870805057202233,-1.08302729614079,160,0.01390141248703003,622.1076049804688,600.5136415958405,0.2,0.0003,0.144287109375,0.012227661
-130.12536171,18,36864,1307,164.36,28,-0.008835868279857096,-1.1182640448212624,170,0.034321725368499756,322.1430358886719,587.9316624641418,0.2,0.0003,0.089404296875,0.008231157
-127.36180433999998,19,38912,1281,180.62,30,-0.004857101339439396,-1.1337726414203644,180,0.0369722843170166,212.21287536621094,394.05309121608735,0.2,0.0003,0.0630859375,0.0074648187
-123.88472077000002,20,40960,1257,196.08,32,-0.007818679048796184,-1.1008476242423058,190,0.03856390714645386,84.73710632324219,281.0617292881012,0.2,0.0003,0.073779296875,0.009202321
-122.62962733,21,43008,1235,209.83,34,-0.0066391398169798775,-1.0982033368200064,200,0.02303159236907959,70.51399993896484,256.5645598649979,0.2,0.0003,0.032763671875,0.0062642535
-118.6018569,22,45056,1196,223.07,37,-0.005216674051916925,-1.0420449623838066,210,0.07023417949676514,84.54864501953125,241.88382021188735,0.2,0.0003,0.03291015625,0.005390666
-121.38347702000002,23,47104,1162,238.94,40,-0.008687444719544146,-1.1328300762921573,220,0.05864894390106201,50.30508041381836,173.45700497627257,0.2,0.0003,0.0943359375,0.010862831
-115.91962745000001,24,49152,1132,254.08,43,-0.014118946346570738,-1.0948499869555235,230,0.04326629638671875,88.92472839355469,224.61599909067155,0.2,0.0003,0.17705078125,0.012567251
-112.8735556,25,51200,1088,271.98,47,-0.006139258303301176,-1.0689006585627794,240,0.28239285945892334,44.88786697387695,165.5148209810257,0.2,0.0003,0.064404296875,0.0076070195
-107.50109835,26,53248,1069,294.1,49,-0.00863354321118095,-1.0338483784347772,250,0.3424876928329468,21.343143463134766,78.97392976880073,0.2,0.0003,0.090869140625,0.008943051
-108.25268227999999,27,55296,1047,306.48,52,-0.003869227318500634,-0.9754848398268223,260,0.23859387636184692,13.753405570983887,129.83536282479764,0.2,0.0003,0.03837890625,0.0050032446
-103.51116219999999,28,57344,1033,326.56,55,-0.003229109144012909,-1.0698673237115144,270,0.3169925808906555,45.150665283203125,147.95742623806,0.2,0.0003,0.080224609375,0.006271772
