time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,train/value_loss,train/loss,train/explained_variance
2295,-170.07389782608695,0,2048,1,86.95652173913044,,,,,,,,,,
1697,-170.40206360465115,2,4096,2,93.46511627906976,0.08193359375,10,-0.01359120907727629,0.0003,-1.3775322783738375,0.013431988,0.2,1741.5520841598511,1103.841796875,0.0009502172470092773
1578,-159.565885125,3,6144,3,95.78125,0.024658203125,20,-0.008217396713553171,0.0003,-1.371253579482436,0.007678413,0.2,1685.6840492248534,508.15521240234375,-0.024936556816101074
1534,-156.72087732530116,5,8192,4,98.21686746987952,0.04716796875,30,-0.006233815661107656,0.0003,-1.3592629805207253,0.006547087,0.2,1175.0191633224488,384.30438232421875,-5.4955482482910156e-05
1496,-157.64285184,6,10240,5,101.89,0.101123046875,40,-0.008420080508949468,0.0003,-1.3387716490775348,0.0125520155,0.2,979.485535812378,461.56573486328125,-0.008449912071228027
1480,-153.25766512,8,12288,6,106.53,0.12421875,50,-0.007514065493887756,0.0003,-1.3248964555561542,0.009750497,0.2,485.53906865119933,203.42771911621094,-0.00015616416931152344
1456,-153.17196751,9,14336,7,109.32,0.00361328125,60,-0.0029680965773877686,0.0003,-1.3180039655417204,0.0056448197,0.2,651.5410199165344,153.18978881835938,-0.030060529708862305
1435,-146.84949868,11,16384,8,113.88,0.00888671875,70,-0.005747041715949308,0.0003,-1.3194374226033687,0.0036434345,0.2,889.029674243927,682.3976440429688,3.999471664428711e-05
1424,-151.58185885,12,18432,9,117.44,0.115673828125,80,-0.013643559261981863,0.0003,-1.312965175509453,0.011682822,0.2,529.241614818573,417.25579833984375,-0.0006811618804931641
1418,-147.50097438,14,20480,10,119.51,0.03388671875,90,-0.00862753984547453,0.0003,-1.3009806666523218,0.0057097925,0.2,398.3752815246582,144.255615234375,0.011422812938690186
1413,-146.67676581,15,22528,11,123.13,0.064892578125,100,-0.00805417662631953,0.0003,-1.2539911974221467,0.012449654,0.2,306.76818389892577,86.1725845336914,0.03738892078399658
1405,-143.77934257000004,17,24576,12,127.19,0.036376953125,110,-0.008172280369035435,0.0003,-1.2070053339004516,0.00707129,0.2,392.12196469306946,134.1983642578125,0.14096111059188843
1307,-141.89295969,20,26624,13,139.37,0.011181640625,120,-0.006559934186225291,0.0003,-1.1930727884173393,0.004545274,0.2,304.15069510936735,58.78438949584961,0.1536995768547058
1257,-138.35206800999998,22,28672,14,153.12,0.06513671875,130,-0.006822952018410433,0.0003,-1.227669132128358,0.010057196,0.2,271.6542450428009,93.6087646484375,0.1907590627670288
1248,-137.28972811,24,30720,15,157.69,0.012841796875,140,-0.0033116931634140203,0.0003,-1.204174181446433,0.0055414652,0.2,271.7152469396591,129.78189086914062,0.26055067777633667
1227,-136.10641887000003,26,32768,16,170.1,0.0322265625,150,-0.005619620353536447,0.0003,-1.180587314069271,0.0053847735,0.2,331.85316467285156,201.93809509277344,0.18762171268463135
1213,-132.95499285,28,34816,17,172.92,0.09921875,160,-0.006627875989215682,0.0003,-1.1410168211907148,0.0114288265,0.2,275.7815093040466,146.12564086914062,0.24508172273635864
1172,-130.62736769,31,36864,18,186.04,0.053857421875,170,-0.005854303200612776,0.0003,-1.1117449332028628,0.0069155814,0.2,456.3641888141632,329.08331298828125,0.17351257801055908
1147,-127.02227452999999,33,38912,19,206.93,0.073876953125,180,-0.0075865088947466575,0.0003,-1.1102566119283437,0.007454849,0.2,252.5760137796402,128.01278686523438,0.4358752965927124
1131,-124.42341164999999,36,40960,20,221.33,0.084814453125,190,-0.007505673702689819,0.0003,-1.1222273729741574,0.008555209,0.2,179.70576169490815,99.25172424316406,0.40010130405426025
1113,-121.79888816,38,43008,21,232.26,0.0603515625,200,-0.004785187446395866,0.0003,-1.1333170346915722,0.008436939,0.2,249.08158359527587,95.62271118164062,0.1669166088104248
1069,-118.58990062000001,42,45056,22,250.23,0.054296875,210,-0.005855600052746013,0.0003,-1.1905740968883038,0.0077819116,0.2,227.70340385437012,194.57736206054688,0.27784931659698486
1050,-116.96668566,44,47104,23,269.39,0.06796875,220,-0.0056487617563107054,0.0003,-1.215382543578744,0.00943936,0.2,97.56395441889762,40.48797607421875,0.5337471067905426
1027,-112.83488686999999,47,49152,24,289.57,0.089306640625,230,-0.00767510894802399,0.0003,-1.1326048418879509,0.009292657,0.2,162.8749427676201,156.9702911376953,0.3117716312408447
1016,-111.31148008999999,50,51200,25,304.63,0.05341796875,240,-0.004784982556884643,0.0003,-1.1807359971106053,0.005173035,0.2,112.06768357753754,371.1464538574219,0.49642086029052734
1007,-108.01348731,52,53248,26,318.95,0.033447265625,250,-0.006389052282611374,0.0003,-1.0659357134252787,0.005895509,0.2,172.45129444599152,41.37676239013672,0.34036046266555786
984,-105.60351763999999,56,55296,27,329.36,0.072509765625,260,-0.006367879513709341,0.0003,-0.9982735482975841,0.0069304,0.2,176.55198184251785,44.92905807495117,0.5148000419139862
978,-100.57935710999999,58,57344,28,348.29,0.0591796875,270,-0.00726431302682613,0.0003,-1.1115227948874236,0.00895146,0.2,81.21379941701889,34.81652069091797,0.7432645559310913
947,-94.16740474,62,59392,29,365.62,0.051220703125,280,-0.006265843924484216,0.0003,-0.9862916180863976,0.008606756,0.2,213.8739170908928,60.2730712890625,0.396409809589386
934,-94.93739528,65,61440,30,383.52,0.0681640625,290,-0.005173067987925606,0.0003,-1.0735316760838032,0.0073791724,0.2,66.60158361196518,14.788206100463867,0.7369735538959503
919,-90.93352370000002,69,63488,31,406.09,0.1775390625,300,-0.009701523909461685,0.0003,-0.9071528926491738,0.015292489,0.2,43.17007113397121,13.016755104064941,0.7175493836402893
895,-87.07961569000003,73,65536,32,421.97,0.0341796875,310,-0.004368967724440153,0.0003,-1.034566941857338,0.0053166524,0.2,103.36591051518917,4.951173782348633,0.5497177839279175
883,-85.07725581000003,76,67584,33,438.79,0.072119140625,320,-0.006055165356519865,0.0003,-1.0910605821758508,0.004707952,0.2,52.81760612726212,5.202571392059326,0.7731763124465942
883,-82.90181250999998,78,69632,34,447.39,0.171240234375,330,-0.009563307142525446,0.0003,-1.0597459316253661,0.010632789,0.2,46.178739255666734,4.105198860168457,0.8416692465543747
869,-75.63103914,82,71680,35,468.65,0.02001953125,340,-0.0031906151030852924,0.0003,-0.9147281931713224,0.0049354914,0.2,183.8088346838951,84.02719116210938,0.562992125749588
857,-74.82235863999999,85,73728,36,485.97,0.098828125,350,-0.005578851734753698,0.0003,-1.0141754331067205,0.010504389,0.2,145.99164745509626,45.025203704833984,0.6686799228191376
857,-75.19307395999998,88,75776,37,493.06,0.118408203125,360,-0.006925217079697177,0.0003,-1.0548112347722054,0.013017465,0.2,37.155919913947585,13.148537635803223,0.9182989299297333
851,-72.41900183,91,77824,38,509.8,0.06279296875,370,-0.00471762756787939,0.0003,-0.9652460683137178,0.008170315,0.2,148.86990871429444,36.29463195800781,0.7532618045806885
850,-69.4267045,93,79872,39,517.6,0.064306640625,380,-0.001038336789497407,0.0003,-0.9442473156377673,0.006729977,0.2,34.592314994335176,2.004711866378784,0.909468986093998
844,-67.75211986999999,97,81920,40,525.78,0.037548828125,390,-0.0022956113469263075,0.0003,-1.0024043720215559,0.0041544526,0.2,150.5937181711197,50.49165725708008,0.6626371443271637
833,-65.70565604,100,83968,41,541.92,0.062109375,400,-0.008456143101648194,0.0003,-0.9822990054264664,0.008108212,0.2,57.11207843050361,346.24658203125,0.849688321352005
821,-61.54811586000001,104,86016,42,567.45,0.083056640625,410,-0.0033216896939848085,0.0003,-0.912219375371933,0.010165567,0.2,42.988763463497165,6.519739151000977,0.8766559436917305
820,-60.15089201000001,107,88064,43,583.77,0.12802734375,420,-0.005728128689224832,0.0003,-0.8393313318490982,0.0124578895,0.2,37.10664965063334,2.913508176803589,0.877650797367096
821,-60.16849501000001,109,90112,44,590.55,0.067578125,430,-0.005391943805079791,0.0003,-1.0419877925887704,0.007318729,0.2,52.74093555957079,6.067119598388672,0.8448152989149094
