time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/approx_kl
1,2048,101.4,2312,-154.02436329999998,0,,,,,,,,,,
2,4096,94.3953488372093,1755,-160.92900604651163,2,-0.002577662467956543,10,1944.0207342147828,-0.008081486116861925,0.051611328125,0.0003,743.90234375,-1.3815069016069175,0.2,0.007889651
3,6144,93.46153846153847,1602,-169.4372315230769,3,-0.02692389488220215,20,1369.8822710037232,-0.007077970397222089,0.0369140625,0.0003,387.9581298828125,-1.3698632795363666,0.2,0.008271621
4,8192,91.93258426966293,1546,-167.83060243820225,5,-0.007072091102600098,30,1804.1210721969605,-0.007405827046750346,0.080126953125,0.0003,902.1133422851562,-1.3561664722859859,0.2,0.007829892
5,10240,88.62,1514,-171.39741429999998,6,-0.00016939640045166016,40,898.8495347976684,-0.008707171928836032,0.0720703125,0.0003,412.16558837890625,-1.346159252524376,0.2,0.010359141
6,12288,86.49,1503,-173.91726654000004,8,-0.0018210411071777344,50,672.4528765678406,-0.01125115813629236,0.081494140625,0.0003,178.8673553466797,-1.3558168392628431,0.2,0.008455472
7,14336,87.4,1492,-177.45396491000002,9,-0.052066922187805176,60,561.994223356247,-0.005610196376801468,0.04453125,0.0003,518.208251953125,-1.3373762290924787,0.2,0.007953468
8,16384,87.3,1485,-173.23412521999998,11,-0.004549264907836914,70,427.77554454803465,-0.012531781660800333,0.13857421875,0.0003,131.10643005371094,-1.3414910539984704,0.2,0.011043509
9,18432,91.68,1469,-169.17757635,12,-0.0031096935272216797,80,450.0256866455078,-0.0077467220668040685,0.096923828125,0.0003,267.2449645996094,-1.3256596766412259,0.2,0.010427898
10,20480,97.96,1457,-165.963698,14,-1.3947486877441406e-05,90,452.0079751968384,-0.007387981903593755,0.118603515625,0.0003,142.9154510498047,-1.3110555190593005,0.2,0.012428903
11,22528,105.81,1441,-160.62347081000001,15,-0.00012636184692382812,100,509.62498078346255,-0.01140644146798877,0.14638671875,0.0003,154.2480010986328,-1.260682213678956,0.2,0.011288485
12,24576,113.2,1430,-154.8321036,17,-1.537799835205078e-05,110,292.8279479503632,-0.007103042381640989,0.04873046875,0.0003,98.07832336425781,-1.2282487772405148,0.2,0.010035537
13,26624,123.27,1414,-152.72624448000002,18,-7.641315460205078e-05,120,590.0971036911011,-0.01129097479279153,0.122607421875,0.0003,234.68421936035156,-1.2008020356297493,0.2,0.011994067
14,28672,131.59,1405,-149.85721574000002,20,-1.71661376953125e-05,130,407.1708177566528,-0.005186671596311499,0.0392578125,0.0003,109.49793243408203,-1.107671720907092,0.2,0.009606952
15,30720,146.38,1368,-144.90922969000002,22,-7.295608520507812e-05,140,439.99063420295715,-0.010756270145066082,0.088818359375,0.0003,515.948486328125,-1.118513096496463,0.2,0.007746556
16,32768,161.95,1305,-141.74588123,25,0.00021386146545410156,150,444.6421045780182,-0.002709745246102102,0.0158203125,0.0003,175.46998596191406,-1.0316241106018424,0.2,0.0072248103
17,34816,172.79,1296,-139.10218058,26,-0.006680488586425781,160,293.6355719208717,-0.002872174584263121,0.01083984375,0.0003,185.0726318359375,-0.9902299242094159,0.2,0.0049323454
18,36864,187.02,1286,-132.45834509999997,28,0.005942642688751221,170,633.0052861690522,-0.006148200206371257,0.0310546875,0.0003,385.64300537109375,-1.0814512699842453,0.2,0.0042581614
19,38912,195.64,1284,-128.28977908,30,-0.10287332534790039,180,398.0686450242996,-0.005940993686817819,0.033544921875,0.0003,274.1144714355469,-1.077828488871455,0.2,0.009097358
20,40960,204.14,1281,-126.19659330999998,31,0.01918339729309082,190,383.1375990152359,-0.005025297895917902,0.039892578125,0.0003,169.13662719726562,-1.0800223270431162,0.2,0.010919463
21,43008,215.7,1267,-124.07733988,33,0.1871601939201355,200,426.0440372467041,-0.009034918268298497,0.05478515625,0.0003,93.50335693359375,-0.9996466916054487,0.2,0.007121536
22,45056,224.57,1246,-121.09764881999999,36,0.16070860624313354,210,459.8843465089798,-0.004015131396590732,0.015185546875,0.0003,93.82136535644531,-1.0707919511944055,0.2,0.0041504167
23,47104,229.48,1228,-118.25075259,38,0.17418324947357178,220,312.2764122247696,-0.006908553546236362,0.07373046875,0.0003,123.72284698486328,-1.0112693032249809,0.2,0.0090476135
24,49152,249.29,1214,-115.89343216000002,40,0.3324754238128662,230,331.50674121379853,-0.0038174488494405524,0.02431640625,0.0003,114.94509887695312,-1.0099254840984941,0.2,0.005623496
25,51200,257.63,1208,-114.02186663,42,0.28046613931655884,240,268.0510160446167,-0.007876555607799674,0.086865234375,0.0003,255.9915771484375,-1.0305628325790166,0.2,0.0080517195
26,53248,268.62,1185,-110.21859502000001,44,0.21240592002868652,250,337.29080829620364,-0.00718352074327413,0.027099609375,0.0003,75.71446228027344,-1.040852858684957,0.2,0.006098085
27,55296,278.76,1163,-109.31184744000002,47,0.45502400398254395,260,195.22111120224,-0.003995078646403272,0.042041015625,0.0003,282.82305908203125,-0.9369724214076995,0.2,0.006476828
28,57344,297.4,1149,-105.70883761,49,0.44885367155075073,270,182.2732903599739,-0.008964807890879455,0.11044921875,0.0003,41.08399963378906,-1.0035416677594184,0.2,0.011433788
29,59392,316.79,1125,-99.8711442,52,0.39146721363067627,280,170.54547996520995,-0.00624607455538353,0.06513671875,0.0003,46.54743957519531,-0.9750743035227061,0.2,0.006656077
30,61440,334.08,1102,-101.54114255,55,0.2430402636528015,290,100.50216466784477,-0.009962429160805187,0.125634765625,0.0003,14.291402816772461,-1.0848779369145631,0.2,0.014969515
31,63488,351.07,1068,-96.08479320999999,59,0.11519753932952881,300,53.74867073893547,-0.016934509402199184,0.24208984375,0.0003,17.14215087890625,-1.1327260948717595,0.2,0.01575883
32,65536,366.87,1050,-92.71009435999999,62,0.641272783279419,310,47.9519985049963,-0.005789623191958526,0.0603515625,0.0003,12.453261375427246,-1.0796738009899856,0.2,0.005864408
33,67584,376.72,1014,-93.04878998,66,0.2696625590324402,320,23.94907520711422,-0.01777311671467032,0.248095703125,0.0003,11.322754859924316,-1.1108573395758867,0.2,0.017432742
34,69632,392.78,990,-92.22997572999999,70,0.552668422460556,330,55.78295539319515,-0.00794788010098273,0.06669921875,0.0003,8.918831825256348,-1.0114345161244274,0.2,0.007655222
