rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/value_loss
85.04166666666667,-167.905495875,1,0,2406,2048,,,,,,,,,,
89.02222222222223,-163.17546851111112,2,2,1791,4096,-1.382836740463972,0.0003,0.000911414623260498,0.02939453125,0.008193987,-0.005348229539231397,0.2,1337.127685546875,10,2118.4327014923097
90.88059701492537,-164.84915328358207,3,3,1644,6144,-1.3742790803313256,0.0003,-0.030853748321533203,0.03857421875,0.009559996,-0.006450277368276147,0.2,809.142822265625,20,1330.2859610557557
92.02247191011236,-163.66268239325842,4,5,1571,8192,-1.3585005126893521,0.0003,-0.0005739927291870117,0.071240234375,0.010593209,-0.009784001197840553,0.2,809.2808837890625,30,1506.8005002975465
95.78,-161.56061746999998,5,6,1529,10240,-1.3486300472170114,0.0003,-0.07233166694641113,0.0466796875,0.00983931,-0.007119469012832269,0.2,311.9886169433594,40,732.0618963241577
100.08,-163.04174091000002,6,8,1490,12288,-1.337353228405118,0.0003,-0.016362905502319336,0.050927734375,0.00639958,-0.005792831492726691,0.2,434.2964782714844,50,697.6085479259491
104.13,-157.89806468,7,9,1480,14336,-1.3190257903188467,0.0003,-9.381771087646484e-05,0.0625,0.015130603,-0.007581308086810168,0.2,364.491943359375,60,553.8723801612854
108.02,-155.93671225999998,8,11,1468,16384,-1.2647357419133187,0.0003,-9.679794311523438e-05,0.117529296875,0.012462707,-0.008908667448849883,0.2,171.5072784423828,70,441.70074090957644
113.21,-151.55270614999998,9,12,1456,18432,-1.2495257321745157,0.0003,-9.894371032714844e-05,0.038623046875,0.0062569734,-0.007077139748435002,0.2,307.9688415527344,80,558.2068469047547
120.3,-147.21047947,10,14,1440,20480,-1.2148744702339171,0.0003,-0.002452850341796875,0.062939453125,0.01393405,-0.003967748025752371,0.2,253.5924530029297,90,395.17994651794436
124.88,-142.19056351999998,11,15,1429,22528,-1.1546942215412854,0.0003,-0.00031876564025878906,0.078564453125,0.0037712317,-0.004910884329001419,0.2,1432.3360595703125,100,725.0246181964874
130.13,-139.39068009,12,17,1401,24576,-1.1422978915274142,0.0003,-0.00021278858184814453,0.0978515625,0.012704654,-0.008813474632188446,0.2,199.09011840820312,110,620.4812149524689
143.91,-136.53567382,13,19,1348,26624,-1.170962891727686,0.0003,0.00208967924118042,0.01796875,0.0036370868,-0.00478711417017621,0.2,184.5877227783203,120,459.1444450378418
155.32,-131.84884123999996,14,21,1313,28672,-1.1829457804560661,0.0003,-0.008077621459960938,0.007861328125,0.004366377,-0.0039693511265795674,0.2,51.14756393432617,130,302.18050441741946
163.39,-132.04887096000002,15,23,1309,30720,-1.1775423757731915,0.0003,0.028007090091705322,0.00888671875,0.0032575205,-0.005555640655802563,0.2,187.29139709472656,140,302.4981527328491
175.47,-123.08351084,16,26,1253,32768,-1.0773221991956234,0.0003,0.12645339965820312,0.031787109375,0.011601604,-0.0062510208495950795,0.2,170.53781127929688,150,454.6619408607483
187.77,-129.26511592,17,28,1217,34816,-1.154618727043271,0.0003,0.25180763006210327,0.018603515625,0.008460969,-0.003290025690512266,0.2,86.79161071777344,160,230.4737412571907
199.96,-124.9625825,18,30,1206,36864,-1.1778730668127537,0.0003,0.19959193468093872,0.027197265625,0.0057006157,-0.004354288232570979,0.2,63.5985107421875,170,336.582879114151
209.7,-120.48722447,19,32,1206,38912,-1.1274411223828793,0.0003,0.21608173847198486,0.03359375,0.008867819,-0.004905375328962691,0.2,104.40176391601562,180,359.0616092681885
220.59,-120.38732935,20,34,1204,40960,-1.047542192786932,0.0003,0.15256589651107788,0.0150390625,0.0075368024,-0.004391853424021974,0.2,139.30697631835938,190,466.55177490711213
229.5,-119.21276846,21,35,1196,43008,-1.0198679300025106,0.0003,0.10208868980407715,0.11484375,0.013559129,-0.01014219439966837,0.2,128.86434936523438,200,284.79880394935606
244.39,-119.25822962000001,22,38,1176,45056,-1.0144607355818152,0.0003,0.33917349576950073,0.045458984375,0.0071019046,-0.006170997118169907,0.2,378.6684875488281,210,301.3816407442093
260.21,-115.57634694999999,23,40,1153,47104,-1.088523457571864,0.0003,0.38528984785079956,0.037646484375,0.0074108467,-0.0054820829507661985,0.2,171.404296875,220,294.18617832660675
272.67,-115.94011015999999,24,43,1128,49152,-1.0741325117647649,0.0003,0.5369386374950409,0.136376953125,0.011776235,-0.012168040392862168,0.2,139.92794799804688,230,161.81511195898057
286.93,-111.58608731,25,46,1103,51200,-1.1556876666843892,0.0003,0.48242074251174927,0.202099609375,0.016102353,-0.01511534946039319,0.2,39.08665466308594,240,117.37703037261963
300.6,-113.35493298,26,49,1066,53248,-0.9565998068079352,0.0003,0.48527032136917114,0.115185546875,0.014364582,-0.009978758747456596,0.2,61.790409088134766,250,151.6446609735489
