time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_range,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
1,-156.7415145909091,0,2048,92.18181818181819,2291,,,,,,,,,,
2,-169.6303250434783,2,4096,88.76086956521739,1698,0.2,730.4435424804688,10,-0.0014442205429077148,-1.3842647928744554,1662.0111383438111,0.0055514025,0.0003,0.001953125,-0.0032822895620483903
3,-170.0299983235294,3,6144,89.04411764705883,1585,0.2,470.4781799316406,20,-0.017418503761291504,-1.377734949067235,1256.71763381958,0.0057307417,0.0003,0.032421875,-0.0063095095130847765
4,-169.59592993333334,5,8192,90.15555555555555,1534,0.2,308.71966552734375,30,-0.015876173973083496,-1.376888357847929,1498.6829783439637,0.006595686,0.0003,0.039697265625,-0.007886569837864954
5,-172.23704125000003,6,10240,90.72,1510,0.2,318.0399169921875,40,-0.002010345458984375,-1.366179909184575,772.9353304862976,0.007002342,0.0003,0.071533203125,-0.00642657587013673
6,-169.95804997,8,12288,91.06,1500,0.2,160.22653198242188,50,-0.003598928451538086,-1.3524676088243723,684.5816171169281,0.012439365,0.0003,0.08115234375,-0.004432322109641973
7,-166.10921118000002,9,14336,95.71,1491,0.2,210.41021728515625,60,-0.0008261203765869141,-1.337537818774581,653.9130046367645,0.009815889,0.0003,0.043603515625,-0.005123872717376798
8,-157.50093413999997,11,16384,102.33,1472,0.2,241.94512939453125,70,-0.0004303455352783203,-1.3012046147137881,394.56814641952514,0.0055178152,0.0003,0.0751953125,-0.007526423558738315
9,-156.37713017000002,12,18432,108.64,1457,0.2,292.32470703125,80,-0.0006740093231201172,-1.2651844181120395,396.1959855556488,0.0069731,0.0003,0.050537109375,-0.009022439517138992
10,-152.28981359000002,14,20480,116.78,1441,0.2,156.01893615722656,90,0.005072355270385742,-1.2716658800840377,344.1700149059296,0.005862412,0.0003,0.0341796875,-0.004132891251356341
