time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss
1,2048,0,2272,88.91304347826087,-173.34806847826087,,,,,,,,,,
2,4096,2,1751,88.54347826086956,-168.9612533478261,0.043701171875,0.0003,-0.008218260293870117,10,-1.3799267947673797,1423.2968611717224,-0.004390597343444824,0.2,0.011305697,637.1002807617188
3,6144,3,1632,91.4776119402985,-168.68084649253728,0.07392578125,0.0003,-0.009128601240809076,20,-1.3652205426245927,1448.2466032028199,-0.06035494804382324,0.2,0.010524699,734.483642578125
4,8192,5,1569,98.19277108433735,-158.91434431325303,0.03818359375,0.0003,-0.007233053911477327,30,-1.3475164294242858,1142.3533574104308,-0.003167867660522461,0.2,0.009834497,377.0758361816406
5,10240,6,1531,102.11,-157.88440856999998,0.1525390625,0.0003,-0.009643769923422951,40,-1.2994506008923055,928.6057521820069,-0.0018219947814941406,0.2,0.0124208955,1056.9453125
6,12288,8,1505,109.15,-152.57779911,0.0646484375,0.0003,-0.005745009038946591,50,-1.2803661596029996,769.4010733604431,-0.05124664306640625,0.2,0.0082944445,257.8022155761719
7,14336,9,1479,115.31,-143.54697196,0.105615234375,0.0003,-0.006895091237674933,60,-1.258212224766612,749.8349796772003,2.4378299713134766e-05,0.2,0.013347307,698.2276611328125
8,16384,11,1463,123.86,-138.90713615999996,0.1501953125,0.0003,-0.01141113434714498,70,-1.2131888654083014,518.7028469562531,0.0009110569953918457,0.2,0.01269853,215.6796417236328
9,18432,12,1449,130.19,-135.79996315,0.04423828125,0.0003,-0.009127460133458953,80,-1.2086001064628362,458.3729426383972,0.03270310163497925,0.2,0.006407245,169.18861389160156
10,20480,14,1434,138.45,-131.52515077,0.043994140625,0.0003,-0.006399971454811748,90,-1.1561279892921448,551.3250703334809,0.07761049270629883,0.2,0.009206761,607.5997924804688
11,22528,16,1362,149.82,-132.4522486,0.068359375,0.0003,-0.00894558826330467,100,-1.1321762263774873,589.3506376743317,0.11577153205871582,0.2,0.008082403,189.55702209472656
12,24576,18,1354,157.5,-128.46593430000001,0.046044921875,0.0003,-0.007130587861320236,110,-1.1978115104138851,187.90185725688934,0.13927435874938965,0.2,0.0075696222,41.27136993408203
13,26624,20,1320,172.3,-127.82178415999999,0.1166015625,0.0003,-0.010584756218304393,120,-1.1523091342300176,550.2967176437378,0.039696574211120605,0.2,0.009361608,273.83636474609375
14,28672,21,1321,179.67,-121.17637935,0.089208984375,0.0003,-0.004656689483817899,130,-1.2360650926828385,257.46007380485537,0.11309325695037842,0.2,0.009690268,75.09353637695312
15,30720,23,1317,186.37,-124.20721653000001,0.065673828125,0.0003,-0.008218479830247816,140,-1.1043125469237567,678.7957151412963,0.04774874448776245,0.2,0.008578559,436.7464599609375
16,32768,25,1304,189.6,-123.06082384,0.032958984375,0.0003,-0.005841243784379913,150,-1.1441152945160866,591.598895406723,0.12176668643951416,0.2,0.0077748173,423.7641296386719
17,34816,26,1290,201.52,-122.65158263,0.089453125,0.0003,-0.007695998331473675,160,-1.1591921903192997,438.14115009307864,0.270935595035553,0.2,0.0105212815,144.84555053710938
18,36864,29,1266,214.76,-118.11054745999999,0.06484375,0.0003,-0.007956450664642034,170,-1.0914888098835944,488.72983145713806,0.2688016891479492,0.2,0.008140736,218.76829528808594
19,38912,30,1263,221.24,-116.70471963,0.09931640625,0.0003,-0.006779775352333673,180,-1.0380094796419144,297.80005140304564,0.16625767946243286,0.2,0.008673928,156.96856689453125
20,40960,32,1256,229.76,-112.05709687999997,0.01728515625,0.0003,-0.00380218345526373,190,-1.02387035805732,641.75502576828,0.17509996891021729,0.2,0.0047152503,277.0912170410156
21,43008,34,1235,244.11,-111.98937584999997,0.07509765625,0.0003,-0.00801398545881966,200,-0.9740040229633451,238.7343184232712,0.42602938413619995,0.2,0.008236568,118.74727630615234
22,45056,36,1220,249.51,-111.35482505000002,0.108984375,0.0003,-0.007309126554901013,210,-1.0378046993166208,268.4775650262833,0.35783159732818604,0.2,0.013088118,132.59629821777344
23,47104,39,1181,268.32,-109.70923074999999,0.04287109375,0.0003,-0.007511083950521425,220,-1.0338257383555174,470.0220189571381,0.2787197232246399,0.2,0.0072873416,226.05430603027344
24,49152,41,1181,265.24,-109.64977011,0.07138671875,0.0003,-0.007922397047514096,230,-1.071593838185072,135.7452311217785,0.4155029058456421,0.2,0.0075076795,32.152244567871094
