rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate
95.52380952380952,0,2048,1,2375,-176.70286790476192,,,,,,,,,,
95.13953488372093,2,4096,2,1782,-148.3290263023256,0.006344932,0.2,480.17230224609375,1685.6139488220215,-0.0026859045028686523,10,-1.382320226728916,0.043359375,-0.006866870851808926,0.0003
112.5925925925926,4,6144,3,1290,-146.59800070370372,0.008060714,0.2,1409.6851806640625,2233.556851005554,-0.009200453758239746,20,-1.3752579238265752,0.008544921875,-0.004067878874047892,0.0003
108.9054054054054,6,8192,4,1322,-147.30383814864865,0.009950188,0.2,352.4173278808594,611.9946563482284,0.032354116439819336,30,-1.3557455107569694,0.09951171875,-0.007877560346969403,0.0003
109.24731182795699,7,10240,5,1334,-139.11706750537633,0.0037168423,0.2,396.4295349121094,1331.7765620231628,-0.27520835399627686,40,-1.3284426189959049,0.001220703125,-0.0025406897555512844,0.0003
112.96,9,12288,6,1344,-137.1037447,0.0062690764,0.2,788.6256103515625,1670.426071357727,-0.011010885238647461,50,-1.3071369934827088,0.01064453125,-0.003466013024444692,0.0003
116.18,10,14336,7,1354,-137.04623047000004,0.009629924,0.2,746.8507690429688,1132.8448493003846,-0.1256701946258545,60,-1.3050691686570643,0.061328125,-0.007858758980000857,0.0003
117.38,12,16384,8,1362,-136.7190291,0.0053185197,0.2,1027.218505859375,1314.7724411010743,-2.2649765014648438e-06,70,-1.3249027244746685,0.03759765625,-0.004660232977039413,0.0003
111.12,13,18432,9,1367,-135.85556582,0.010292528,0.2,462.2401428222656,941.6521186828613,-0.0006461143493652344,80,-1.2933240458369255,0.111962890625,-0.0040825203512213195,0.0003
114.51,14,20480,10,1369,-133.05423291,0.008368004,0.2,577.7451171875,1005.8946090698242,0.0005055665969848633,90,-1.308402407169342,0.04833984375,-0.007189413135347422,0.0003
116.97,16,22528,11,1371,-140.46262775,0.009196648,0.2,125.3532485961914,594.0344706058502,-0.07942008972167969,100,-1.2651713103055955,0.054736328125,-0.00912488116446184,0.0003
119.95,17,24576,12,1370,-138.0735065,0.011080433,0.2,254.15362548828125,748.0517943382263,-0.0013496875762939453,110,-1.253405748680234,0.13701171875,-0.009744272612442728,0.0003
131.92,20,26624,13,1312,-132.79054013000004,0.012984468,0.2,179.217041015625,410.3428964614868,0.013061583042144775,120,-1.2146185651421546,0.042919921875,-0.006189267802983523,0.0003
138.3,21,28672,14,1310,-136.18727347,0.008550379,0.2,183.17738342285156,409.27072324752805,0.027844369411468506,130,-1.2304977662861347,0.064697265625,-0.005180108912463765,0.0003
147.66,23,30720,15,1305,-131.53084053,0.007377234,0.2,626.9764404296875,472.9678900241852,0.004401504993438721,140,-1.0944493550807237,0.069970703125,-0.006797352552530356,0.0003
154.71,25,32768,16,1265,-133.15469108,0.00914143,0.2,216.3614044189453,317.7614489078522,0.096163809299469,150,-1.1250222861766814,0.095361328125,-0.012757514680561143,0.0003
173.81,27,34816,17,1255,-129.55819898000001,0.010599579,0.2,122.84890747070312,330.16737911701205,0.0746726393699646,160,-1.1793239276856184,0.109326171875,-0.012418839395104441,0.0003
180.65,29,36864,18,1245,-125.48729057,0.003657138,0.2,132.5341033935547,599.0783035278321,0.10467404127120972,170,-1.1114996537566184,0.003173828125,-0.001767394212220097,0.0003
201.82,32,38912,19,1209,-123.78640908999998,0.0035866024,0.2,199.7406463623047,450.024885559082,0.3206673264503479,180,-1.1321375358849763,0.0146484375,-0.005036108043714194,0.0003
212.92,34,40960,20,1200,-120.91979056999998,0.0066255885,0.2,49.043182373046875,177.51551160812377,0.5802388489246368,190,-1.2079621441662312,0.04853515625,-0.005731225360068493,0.0003
226.59,36,43008,21,1178,-120.37032321999999,0.008128283,0.2,195.89723205566406,367.18015549182894,-0.010570883750915527,200,-1.0832256462424994,0.050927734375,-0.007003057503607124,0.0003
