time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss
1,0,2048,2263,-171.68920527272726,92.72727272727273,,,,,,,,,,
2,2,4096,1721,-177.23627506976743,92.72093023255815,10,-0.0017218589782714844,0.025732421875,899.2000122070312,0.0003,0.2,-0.006275099348567892,0.0049422323,1887.46141872406,-1.3836834974586965
3,3,6144,1591,-183.12236575757575,93.0,20,-0.00998830795288086,0.05087890625,436.84246826171875,0.0003,0.2,-0.00764677703846246,0.006069462,862.6726276397706,-1.3733182165771722
4,5,8192,1534,-177.29030558620693,93.27586206896552,30,-0.04181098937988281,0.049853515625,269.3978271484375,0.0003,0.2,-0.008876868151855889,0.007835677,935.668729877472,-1.3737245202064514
5,6,10240,1504,-176.07445531000008,93.69,40,-0.004037141799926758,0.141796875,306.0924987792969,0.0003,0.2,-0.012577699516987196,0.012866424,834.3786244392395,-1.3638092495501042
6,8,12288,1477,-172.12603495000002,99.05,50,-0.0009553432464599609,0.014990234375,1145.099365234375,0.0003,0.2,-0.001698411671532085,0.007077922,861.5376358032227,-1.3463432241231204
7,9,14336,1457,-166.49524966,105.5,60,-0.005375027656555176,0.08056640625,888.7215576171875,0.0003,0.2,-0.007781502888974501,0.009979153,1058.207701587677,-1.312159314379096
8,11,16384,1431,-158.73403001999998,111.94,70,0.0001456737518310547,0.160205078125,125.84858703613281,0.0003,0.2,-0.015306593841523863,0.016715793,473.93986382484434,-1.2554062042385339
9,13,18432,1414,-151.52158215,121.92,80,-0.0008182525634765625,0.088818359375,224.4678497314453,0.0003,0.2,-0.00764199135301169,0.013807854,539.5262614250183,-1.2118371080607175
10,14,20480,1406,-150.61886116,129.31,90,-0.007924795150756836,0.10458984375,435.1888122558594,0.0003,0.2,-0.00815502599143656,0.01227058,716.1359930038452,-1.2248733170330524
11,16,22528,1395,-145.94276244999998,137.65,100,-4.887580871582031e-06,0.0158203125,347.56298828125,0.0003,0.2,-0.00347641288099112,0.0065450105,502.5181244373322,-1.1964433629065752
12,17,24576,1386,-140.84245476,146.28,110,-2.9325485229492188e-05,0.07509765625,564.717041015625,0.0003,0.2,-0.006215762368810829,0.008322343,690.32335729599,-1.1883743144571781
13,19,26624,1377,-136.47986258,152.1,120,-9.28640365600586e-05,0.059619140625,171.0467071533203,0.0003,0.2,-0.004900035656100954,0.008531583,366.0575581073761,-1.1834279298782349
14,20,28672,1370,-140.05357390999998,156.43,130,0.00017940998077392578,0.018310546875,492.5128479003906,0.0003,0.2,-0.0030680046358611433,0.0068712714,588.6599840641022,-1.1716441094875336
15,22,30720,1367,-136.33919939999998,157.51,140,-0.0034254789352416992,0.022900390625,670.7877197265625,0.0003,0.2,-0.004149548272107495,0.006573495,868.4599214553833,-1.1725563026964665
16,24,32768,1359,-134.63271401999998,162.87,150,-2.7894973754882812e-05,0.095751953125,170.44288635253906,0.0003,0.2,-0.0045703248213612825,0.014696265,632.2744907855988,-1.1456688713282346
17,25,34816,1354,-130.38009046000002,160.54,160,-0.00119781494140625,0.055078125,189.42906188964844,0.0003,0.2,-0.004817511411965824,0.00674258,507.39933676719664,-1.151779006049037
18,27,36864,1342,-129.61621405999998,167.8,170,-7.140636444091797e-05,0.046435546875,316.9299621582031,0.0003,0.2,-0.00531614391511539,0.01254613,429.3735033512115,-1.0919501353055239
19,29,38912,1330,-130.44752308,176.46,180,-5.245208740234375e-06,0.056591796875,113.4141845703125,0.0003,0.2,-0.00460501047418802,0.0069552325,313.2439462900162,-1.0580725964158773
20,32,40960,1274,-125.85175844999998,191.58,190,-0.00022780895233154297,0.080419921875,191.08914184570312,0.0003,0.2,-0.007634775335463928,0.011316862,395.7728128910065,-1.0667543966323136
21,33,43008,1266,-127.51606960999999,199.09,200,0.0001971125602722168,0.037890625,153.9044647216797,0.0003,0.2,-0.005351081855042139,0.00689153,248.54351818561554,-0.9051459519192576
22,36,45056,1241,-125.56285647,212.89,210,-2.4318695068359375e-05,0.070947265625,358.2345275878906,0.0003,0.2,-0.00440365782706067,0.009086734,436.5772584438324,-1.0094436939805747
23,38,47104,1211,-122.3428328,226.07,220,0.0006770491600036621,0.0826171875,182.8456268310547,0.0003,0.2,-0.00941431602477678,0.011206268,285.2972178697586,-1.0885473910719157
24,41,49152,1197,-119.22395752999996,235.13,230,0.011757493019104004,0.0453125,119.47364044189453,0.0003,0.2,-0.007318681091419421,0.007947538,302.9975919723511,-1.092507940158248
25,42,51200,1195,-120.65364522999998,243.18,240,-0.04443657398223877,0.07568359375,112.7961654663086,0.0003,0.2,-0.008276327973726438,0.01249481,367.32171120643613,-1.1173638250678777
26,45,53248,1180,-114.70361614999997,253.38,250,0.044606685638427734,0.017822265625,85.8130874633789,0.0003,0.2,-0.002711236893082969,0.0043014376,399.9713267326355,-1.0270408928394317
27,47,55296,1161,-111.85675208999999,265.24,260,0.19675195217132568,0.029248046875,112.4802474975586,0.0003,0.2,-0.0027514077439263927,0.0060881767,266.75560874938964,-1.043550410680473
28,49,57344,1157,-113.52798736999998,277.81,270,0.2821223735809326,0.021142578125,83.8375473022461,0.0003,0.2,-0.00450077600980876,0.0046311915,236.18595719337463,-0.9766562927514315
29,52,59392,1137,-109.66312672999999,292.75,280,0.2737078070640564,0.0234375,160.86264038085938,0.0003,0.2,-0.00614820108821732,0.0054562604,261.34643211364744,-1.044187713973224
30,54,61440,1130,-106.96588626,305.23,290,0.3957478404045105,0.06845703125,129.1007843017578,0.0003,0.2,-0.006421161436446709,0.006828406,226.36753782629967,-0.8850257525220513
31,57,63488,1111,-106.42616463,314.86,300,0.4683513641357422,0.05341796875,206.78822326660156,0.0003,0.2,-0.005881780934578274,0.007228353,253.89827733039857,-1.0363295573741198
32,60,65536,1084,-105.31185880000002,321.54,310,0.5612690150737762,0.00546875,45.052001953125,0.0003,0.2,-0.002307522643059201,0.0033538279,172.01780018806457,-1.0152946619316936
33,64,67584,1041,-102.24316908,337.93,320,0.67945396900177,0.12744140625,19.680952072143555,0.0003,0.2,-0.006917949758644681,0.013713049,132.94120678305626,-1.090422173961997
34,67,69632,1030,-101.14268510000002,352.01,330,0.6892052590847015,0.13642578125,21.89681053161621,0.0003,0.2,-0.00699146627994196,0.010747846,85.86723405718803,-1.1450084913522005
35,70,71680,1017,-97.53021368,373.97,340,0.3769271969795227,0.14052734375,58.73924255371094,0.0003,0.2,-0.006694301734387409,0.014622986,190.8832778096199,-0.9925538320094347
36,73,73728,999,-96.23325343,391.11,350,0.6121740639209747,0.0640625,12.40483283996582,0.0003,0.2,-0.0031199160774121994,0.0060861586,106.78215411305428,-1.076200409606099
37,76,75776,985,-95.51006661000002,406.82,360,0.7404017448425293,0.10234375,18.54191780090332,0.0003,0.2,-0.008570654520008247,0.008496147,62.42466302514076,-1.0352781528607011
38,80,77824,971,-93.98112157,422.68,370,0.4812076687812805,0.108203125,109.88607788085938,0.0003,0.2,-0.010400821398798143,0.010513559,116.07815964221955,-1.0287520196288824
39,83,79872,957,-90.2918245,441.26,380,0.6773252189159393,0.032470703125,63.34585952758789,0.0003,0.2,-0.004941551072261063,0.0052832244,98.31243613362312,-0.9693440176546574
40,87,81920,932,-88.41016914,453.03,390,0.5199355483055115,0.075048828125,6.930329322814941,0.0003,0.2,-0.004343545350275235,0.0069802688,74.75728295743465,-1.0508984003216029
41,91,83968,914,-84.94697059,470.48,400,0.6831304430961609,0.09814453125,72.85746765136719,0.0003,0.2,-0.006917970527865691,0.007617105,65.71907357275487,-1.0395567271858455
42,94,86016,910,-82.35324598999999,480.29,410,0.6322977840900421,0.0720703125,122.04948425292969,0.0003,0.2,-0.005287839626544155,0.010216758,156.289597761631,-0.8544485742226243
43,97,88064,900,-82.692881,494.82,420,0.6146733462810516,0.103955078125,72.57369995117188,0.0003,0.2,-0.006488999643624993,0.010899659,169.19498547315598,-0.9567712310701608
44,101,90112,885,-79.38305528000001,513.77,430,0.667031317949295,0.099560546875,39.5899543762207,0.0003,0.2,-0.008287435090460349,0.009099383,60.60848600864411,-1.0500865379348396
45,105,92160,871,-78.65750806,516.01,440,0.825846254825592,0.06669921875,26.90552520751953,0.0003,0.2,-0.005775979150348576,0.0048346315,81.37772288918495,-0.923385140299797
46,110,94208,852,-73.69402371,523.9,450,0.6128223538398743,0.044775390625,15.10904312133789,0.0003,0.2,-0.003340125030808849,0.0056285253,119.57208818495273,-0.9844714265316725
47,113,96256,844,-72.60908375,544.05,460,0.8532963991165161,0.091845703125,8.459300994873047,0.0003,0.2,-0.0052979315107222645,0.008095924,52.193868055939674,-1.029213584959507
48,116,98304,841,-69.92418008,558.6,470,0.7063266038894653,0.0431640625,46.846923828125,0.0003,0.2,-0.005674484834889882,0.005744108,113.91459994614124,-0.9467982368543744
49,119,100352,837,-68.6287208,564.63,480,0.8585292398929596,0.1123046875,3.027843952178955,0.0003,0.2,-0.007583339264965616,0.008198164,40.07866628170014,-0.9924542464315891
50,123,102400,831,-64.1287615,574.92,490,0.4872567057609558,0.04423828125,27.55846405029297,0.0003,0.2,-0.0037252224992698757,0.006606926,167.54974674582482,-0.927222572080791
51,127,104448,821,-62.94466228,587.18,500,0.7411369979381561,0.119287109375,9.175427436828613,0.0003,0.2,-0.0062370298503083175,0.0073169502,69.49679749459028,-1.0240398289635777
52,130,106496,816,-63.47592978000001,596.06,510,0.8609080463647842,0.144970703125,2.0394387245178223,0.0003,0.2,-0.005441785317088943,0.011890433,35.89756090193987,-0.9849826937541366
53,134,108544,809,-58.02829339,608.49,520,0.724864274263382,0.031494140625,7.592068195343018,0.0003,0.2,-0.002940942689019721,0.0074048797,111.46764082834125,-0.8874385800212622
54,137,110592,806,-58.10565271999999,616.9,530,0.6794328093528748,0.01318359375,23.726289749145508,0.0003,0.2,-0.0020341145936981775,0.0024049722,140.4929016828537,-0.8312133001163602
55,141,112640,797,-55.68794775000001,635.82,540,0.8254472464323044,0.212158203125,12.287614822387695,0.0003,0.2,-0.008455708798283012,0.013246614,46.83772267699241,-0.9557056590914726
56,144,114688,795,-54.487074140000004,646.14,550,0.7249623835086823,0.044091796875,3.6699726581573486,0.0003,0.2,-0.0021714787875680487,0.0035329366,94.51060245633126,-0.8750180235132575
57,147,116736,790,-52.03127954000001,662.15,560,0.7863279581069946,0.059375,34.666290283203125,0.0003,0.2,-0.002959442446444882,0.009364411,80.12576094418765,-0.9545372612774372
