time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/explained_variance
2271,2048,-173.51685613636363,0,90.86363636363636,1,,,,,,,,,,
1197,4096,-159.65927444117645,3,119.32352941176471,2,0.007277145,10,0.2,-0.006155132361163851,0.01943359375,427.2261657714844,1220.1391534805298,0.0003,-1.3823885831981897,0.005828738212585449
1259,6144,-161.6497553050847,4,103.91525423728814,3,0.0053071305,20,0.2,-0.00895732082426548,0.02333984375,287.2973937988281,892.1448627471924,0.0003,-1.3754417039453983,0.05990666151046753
1288,8192,-162.4599605897436,6,104.0,4,0.013317303,30,0.2,-0.008882795853423886,0.058935546875,393.2959899902344,1040.2856260299682,0.0003,-1.3652084682136774,-0.03148925304412842
1305,10240,-159.34743797979797,7,103.27272727272727,5,0.011480376,40,0.2,-0.0039022948054480366,0.043505859375,981.3883666992188,971.6122479438782,0.0003,-1.3494665443897247,-0.0030498504638671875
1316,12288,-153.32800325,9,107.5,6,0.009166505,50,0.2,-0.007091721596225398,0.054150390625,453.7516174316406,752.9139012336731,0.0003,-1.320374597609043,-0.002154707908630371
1321,14336,-151.82049606,10,101.9,7,0.025717145,60,0.2,-0.0031816616261494345,0.15517578125,484.1071472167969,936.2865482330322,0.0003,-1.2904275592416525,-0.1594398021697998
1328,16384,-144.56162160000002,12,106.95,8,0.007673717,70,0.2,-0.0061908390089229215,0.06171875,386.6862487792969,1182.0466848373412,0.0003,-1.3095742862671613,-0.005085468292236328
1333,18432,-140.44407132,13,111.82,9,0.013998619,80,0.2,-0.013603346672607586,0.131640625,200.53733825683594,363.58275604248047,0.0003,-1.2579037319868802,-0.00034809112548828125
1330,20480,-140.09761772,15,117.67,10,0.013682662,90,0.2,-0.006594984596449649,0.109326171875,202.8909454345703,469.8410295009613,0.0003,-1.2286867555230856,-0.0032488107681274414
1327,22528,-136.13613942,16,126.06,11,0.0042209285,100,0.2,-0.0031143753963988273,0.01220703125,223.8942108154297,543.18037815094,0.0003,-1.2025450494140386,-0.00036644935607910156
1312,24576,-137.94614868,18,137.14,12,0.0104397945,110,0.2,-0.007246995511377463,0.139501953125,395.34832763671875,646.0564745903015,0.0003,-1.1325160689651965,-6.127357482910156e-05
1307,26624,-134.23759428,20,144.54,13,0.0030772565,120,0.2,-0.0035553294663259296,0.0392578125,97.40726470947266,538.6164801120758,0.0003,-1.1208499316126108,-0.0010919570922851562
1291,28672,-129.98824573,22,155.79,14,0.0028980463,130,0.2,-0.005300484647159464,0.0591796875,222.65367126464844,420.23805928230286,0.0003,-1.1521958433091641,-4.7326087951660156e-05
1283,30720,-130.16761327999998,23,164.61,15,0.0062038666,140,0.2,-0.003828023154346738,0.0251953125,99.54832458496094,362.3782190322876,0.0003,-1.1623093139380216,-0.0001838207244873047
1273,32768,-132.61302365,25,176.45,16,0.0061223917,150,0.2,-0.0041018906456884,0.069091796875,168.457275390625,573.1083879470825,0.0003,-1.038327574171126,-0.00010669231414794922
1255,34816,-129.57785516,27,188.14,17,0.009057011,160,0.2,-0.0059687775341444645,0.10263671875,108.85874938964844,292.27952909469604,0.0003,-1.0581351883709431,-1.8596649169921875e-05
1238,36864,-123.98705575000002,29,202.65,18,0.0058448697,170,0.2,-0.004599329439224675,0.051171875,109.62289428710938,348.71737039089203,0.0003,-1.058253062143922,-3.933906555175781e-06
1230,38912,-122.23812403000002,31,215.84,19,0.009697756,180,0.2,-0.004416452333680354,0.0314453125,84.96443939208984,278.3811928510666,0.0003,-1.130845095962286,0.00012624263763427734
